,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-14 00:00:00,2006-04-07 00:00:00,2000-01-14 00:00:00,2009-08-24 00:00:00,2000-01-14 00:00:00,2012-06-20 00:00:00,2000-01-14 00:00:00,2015-10-12 00:00:00,2000-01-14 00:00:00,2018-09-17 00:00:00,2000-01-14 00:00:00,2021-08-16 00:00:00
End,2006-04-06 00:00:00,2009-08-21 00:00:00,2009-08-21 00:00:00,2012-06-19 00:00:00,2012-06-19 00:00:00,2015-10-09 00:00:00,2015-10-09 00:00:00,2018-09-14 00:00:00,2018-09-14 00:00:00,2021-08-13 00:00:00,2021-08-13 00:00:00,2024-09-26 00:00:00
Period,1565 days 00:00:00,850 days 00:00:00,2415 days 00:00:00,712 days 00:00:00,3127 days 00:00:00,832 days 00:00:00,3959 days 00:00:00,738 days 00:00:00,4697 days 00:00:00,733 days 00:00:00,5430 days 00:00:00,784 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,11036.309439428214,1387.4808923700077,157469.90993744304,472.5816784720645,743633.4927037798,284.5167033630302,2073687.165071112,426.20892517124184,8739586.327836668,592.0027151683563,52162946.36998668,309.4192892746985
Total Return [%],10936.309439428214,1287.4808923700077,157369.90993744304,372.5816784720645,743533.4927037798,184.51670336303022,2073587.165071112,326.20892517124184,8739486.327836668,492.0027151683563,52162846.36998668,209.41928927469849
Benchmark Return [%],183.71893252976102,142.470295583537,573.931828873494,247.45663121949883,2239.4063465370305,43.2908377218862,3242.623289777439,111.6277606817313,6941.108653079962,182.53994386529757,19264.250814876807,53.07699549323386
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],10.551975198614855,9.773729417593733,10.551975198614855,5.415279387670183,10.551975198614855,5.4728534550357715,10.551975198614855,3.3298466754398666,10.551975198614855,10.064121942545952,10.551975198614855,8.318661533444772
