,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-14 00:00:00,2006-04-07 00:00:00,2000-01-14 00:00:00,2009-08-24 00:00:00,2000-01-14 00:00:00,2012-06-20 00:00:00,2000-01-14 00:00:00,2015-10-12 00:00:00,2000-01-14 00:00:00,2018-09-17 00:00:00,2000-01-14 00:00:00,2021-08-16 00:00:00
End,2006-04-06 00:00:00,2009-08-21 00:00:00,2009-08-21 00:00:00,2012-06-19 00:00:00,2012-06-19 00:00:00,2015-10-09 00:00:00,2015-10-09 00:00:00,2018-09-14 00:00:00,2018-09-14 00:00:00,2021-08-13 00:00:00,2021-08-13 00:00:00,2024-09-26 00:00:00
Period,1565 days 00:00:00,850 days 00:00:00,2415 days 00:00:00,712 days 00:00:00,3127 days 00:00:00,832 days 00:00:00,3959 days 00:00:00,738 days 00:00:00,4697 days 00:00:00,733 days 00:00:00,5430 days 00:00:00,784 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,8600.390249118176,974.2988187699667,85358.28080287964,400.08937475024663,345285.0629553464,332.40618286894926,1343505.0498904253,341.81515365461433,4569206.783794696,690.378575814609,31873987.932135936,328.3957585145212
Total Return [%],8500.390249118176,874.2988187699668,85258.28080287964,300.08937475024663,345185.0629553464,232.40618286894926,1343405.0498904253,241.81515365461433,4569106.783794696,590.378575814609,31873887.932135932,228.39575851452122
Benchmark Return [%],183.71893252976102,142.470295583537,573.931828873494,247.45663121949883,2239.4063465370305,43.2908377218862,3242.623289777439,111.6277606817313,6941.108653079962,182.53994386529757,19264.250814876807,53.07699549323386
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],25.47131418237731,25.532960383041946,25.532960383041946,19.757508340810112,25.532960383041946,17.96219442829743,25.532960383041946,12.515087970431576,25.532960383041946,11.149905213862093,25.532960383041946,7.649882615699231
