,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
avg_distance,0.18932096217010566,0.14428565224848314,0.29815807618498186,0.16641358882290014,0.254797760605931,0.2383075268666545,0.31759125054544823,0.17482860054183888,0.4164795159672908,0.18423276316970116,0.36437713451720016,0.2502373608682834,0.1613253942792897,0.10838414553234942,0.25936873831790286,0.40981131980082464,0.24201180290439797,0.36586467395037864,0.3539559253421494,0.3131412107057351,0.21289017043197073,0.21622065901314988,0.22737038385203298,0.2340325733175113
nr_of_rows,33.0,30.0,8.0,19.0,22.0,21.0,5.0,34.0,8.0,33.0,12.0,11.0,40.0,32.0,22.0,14.0,43.0,10.0,10.0,15.0,22.0,11.0,18.0,16.0
avg_Total Return [%]_mean,39.183883030289174,65.39177041367375,143.78507519276707,114.9941168504122,87.61317896848279,21.222944689716186,49.76788307923144,74.37653343584321,92.83910005409228,45.30764078207668,122.28750714697482,35.2286304295998,83.44241471503734,96.5668348819018,84.81946939751948,167.7916012643268,134.9923964738526,128.85499719393974,144.3682420483811,91.37848393342978,75.07487308300824,29.49189304957007,83.49788418834466,74.44750384217762
avg_Sharpe Ratio_mean,0.6820870623820889,0.8919531413942378,1.1759158259223372,1.0866956831988397,0.9689391370055017,0.45641253854619623,0.6071688515020408,1.0046537471034935,0.8181071080199572,0.7828485348795815,1.0982201937549847,0.5902330821666881,1.0562729614872097,0.9922679272634534,0.8703838884694366,1.0950197037007883,1.1784108907094,1.1617166729784414,1.0544972877342214,0.9294614727449607,0.931334243481889,0.5039410760623373,0.8724182182859962,0.8658851659794282
avg_Max Drawdown [%]_mean,19.79700819028827,23.243781454969046,27.09664928848748,25.26676870538994,23.018207822687984,18.296079631877006,30.41673420252033,19.061293857875903,30.46725626602573,22.488487526719428,25.016907372392126,22.444602468873125,19.914283260362126,28.615880970594993,27.343931019709338,30.98011675410233,22.214988856479312,22.30643102930198,31.64994824622756,28.605733738419026,24.49974566459457,27.586463257193703,25.24959363831242,22.63535001468951
avg_Total Trades_mean,49.931313131313146,35.82000000000001,45.68333333333333,43.47719298245614,52.93333333333333,48.58730158730159,99.03999999999999,41.3313725490196,84.18333333333334,47.95959595959596,57.48888888888888,72.7818181818182,39.20500000000001,37.900000000000006,69.29393939393938,60.523809523809526,47.56899224806202,46.6,42.313333333333325,39.38666666666666,38.32727272727273,82.78787878787877,61.55925925925926,61.13333333333334
avg_Total Return [%]_std_perc,0.974251295984828,0.4549749438265993,0.7634145680766983,0.7001060679585994,0.7933687090878603,1.4551070585046109,1.20868812454639,0.5252923829803176,1.0542839364763124,0.6214699050820315,0.7400983756720433,1.1689155334418635,0.5453824093817822,0.7065910200335435,0.9622745577480892,0.9267922755733196,0.7560062024936902,0.6698495299916043,0.9696158597807718,0.7400917700542454,0.5969995653793149,1.3577963499584322,0.940210755202224,0.9039771369218723
avg_Sharpe Ratio_std_perc,0.7797902187429231,0.33489535875491205,0.41970590531939733,0.4716935539664413,0.49548186554429585,1.1889610619172633,0.9263061263209181,0.34185282822185586,0.6845625483989838,0.5053010348993,0.40764366592593076,0.9574577464562112,0.41713546323016837,0.49194801294344676,0.5887644486873044,0.46732383043232817,0.4012559047782264,0.36129523275965847,0.5141458738155369,0.4817521826499082,0.3960343906317019,1.0728921083980891,0.6011712000942038,0.5629462647366541
min_Sharpe Ratio_min,-0.3519513857421533,0.09550551684327646,-0.21754666111125937,-0.36400067218411775,-0.23126531616869608,-0.49664559576422257,-0.3699611766727188,0.22445441862326024,-0.32752647475811075,-0.03133814834438194,0.22416816715079035,-0.4946165233155797,-0.018266883034023414,-0.3913114687954302,-0.1292602942447159,0.054134313323151564,-0.059455639329023195,0.33388890200996313,-0.44647767113721964,-0.18477529500237314,-0.12555072859072636,-0.46345676899719346,-0.3206810798973929,-0.03567181280808915
min_Total Return [%]_min,-30.119538105402498,-6.723398471128802,-46.22626757544959,-49.42765568243325,-35.316007552217926,-29.04019477087199,-36.385642204744904,7.7666909009244876,-38.019518302162815,-13.904605635792237,2.1835118689564297,-49.52225464405095,-14.046687108230557,-49.881935645644326,-24.799314177637214,-12.234720562210384,-24.462561128164722,17.918024538149623,-49.66810903909912,-36.623063143774424,-26.628996316584676,-45.32322593260034,-43.42928832107143,-20.83742248414208
min_Total Trades_min,31.0,31.0,34.0,37.0,38.0,31.0,81.0,31.0,68.0,32.0,43.0,53.0,31.0,31.0,52.0,41.0,36.0,31.0,32.0,32.0,31.0,66.0,53.0,49.0
max_Max Drawdown [%]_max,46.28511048311103,44.35931233448333,72.05650050049341,70.39410131012993,60.10707100988846,40.104957811432755,65.7565629675679,40.65684655461844,66.73919225275786,39.35977303190763,53.724684534741606,63.204305908784065,35.270526019948655,65.98334886058896,63.28899583504717,59.98198354250379,52.571696996350546,41.301739800246615,75.63357245212885,57.669480849362785,45.53789625788044,67.5679887448112,65.13446707982722,57.21659672506786
max_Sharpe Ratio_std_perc,0.849009505673984,0.37166827420740955,0.4586736693917619,0.4931536056225128,0.6268142539741299,1.318989749733473,1.027070477555836,0.38576227074741354,0.7527543860583478,0.5602706275017197,0.495246154995161,1.0377340179748724,0.5229361569545152,0.5344808527889128,0.7088965625725221,0.5828656553667952,0.5099551779915223,0.41655587161692564,0.6475041859777954,0.5621371363769678,0.472073356074971,1.1721178692253733,0.7495125193592507,0.6437607460174849
max_Total Return [%]_std_perc,1.148049515709479,0.5919554960928776,0.8440140116562225,0.8130754914673942,0.8841277097239283,1.5902448570060872,1.2862277447267119,0.6885920163634539,1.232045181774623,0.7235708837923304,0.9048059003907132,1.2834216379913883,0.8644009637808152,0.807162976202693,1.1560087417734852,1.1401760598252506,1.125964067902613,0.8660006055959628,1.051949420306236,0.8579364458159957,0.7197318475024433,1.5066873056049839,1.0590092473291266,1.0686363002944663
unique_cnt_window_entry,3.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,6.0,1.0,2.0,4.0
