,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
avg_similarity,0.24396765609903473,0.6576877252113956,0.5941729968055606,0.31279373332014165,0.3677700604706544,0.2761082689743753,0.49167492125457724,0.3125682805779187
nr_of_rows,30.0,12.0,17.0,14.0,35.0,26.0,11.0,29.0
avg_Total Return [%]_mean,82.15590702508801,95.56704389207647,144.78335092266605,84.0484919270704,54.86731364296548,89.31714562732132,133.9235400481097,74.02135237431308
avg_Sharpe Ratio_mean,0.9579271557913496,0.8958513804321364,1.1450364724799207,1.0738195962514996,0.8235784474097839,1.0617710525883164,1.1570003607770663,1.0015637415291072
avg_Max Drawdown [%]_mean,23.75146524491556,27.299033017181205,27.242361470133726,18.78838946433091,19.80569809345443,19.992706044231056,23.193911912687092,18.91341389674851
avg_Total Trades_mean,32.02444444444445,69.47777777777779,56.90588235294118,39.60952380952381,36.36761904761905,37.864102564102566,51.98181818181818,39.558620689655164
avg_Total Return [%]_std_perc,0.5892809888497488,0.8863048188639352,0.7215361685079983,0.4745358195381126,0.5666282078561174,0.6066196439065025,0.6887332710689761,0.5042583329582169
avg_Sharpe Ratio_std_perc,0.3515774137817282,0.510394296251097,0.3887663247315882,0.29823541456922614,0.40021519765879743,0.4510669686260985,0.36043646667670903,0.31998591153405387
min_Sharpe Ratio_min,0.2123683340782244,0.13755282046010753,0.11900711915082411,0.3809993307524499,0.07179694124105486,0.10587829081650406,0.33388890200996313,0.20966867639682962
min_Total Return [%]_min,4.829431612759308,0.6110258012615049,0.9801445238511236,23.536754455768587,0.062178917312820665,0.13646776079575318,15.387518519876094,5.864472612096691
min_Total Trades_min,24.0,49.0,40.0,27.0,19.0,23.0,42.0,20.0
max_Max Drawdown [%]_max,41.18133775602777,56.47868558662113,53.80620268713795,30.803858568827497,37.33415481509316,36.8562303779181,39.5634211156901,34.644269586576634
max_Sharpe Ratio_std_perc,0.4097528071957255,0.6598301326548057,0.46399486308120214,0.32301795012604995,0.4654012778319731,0.49827818117448586,0.46590624620488985,0.3586369428743061
max_Total Return [%]_std_perc,0.718118341039894,1.076479051898177,1.0215305717153793,0.5671644192035914,0.6880215012834485,0.8288398989511696,0.8313299608711463,0.5710212220512163
unique_cnt_custom_window_entry,3.0,5.0,5.0,2.0,7.0,4.0,5.0,4.0
unique_cnt_custom_hh_hl_counts,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
unique_cnt_custom_window_exit,7.0,3.0,4.0,6.0,9.0,8.0,4.0,8.0
unique_cnt_custom_lh_counts,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0
value_counts_custom_window_entry_1,,1.0,2.0,,,,1.0,
value_counts_custom_window_entry_2,,1.0,3.0,,,,2.0,
value_counts_custom_window_entry_3,,7.0,6.0,,1.0,,2.0,
value_counts_custom_window_entry_4,,1.0,2.0,,3.0,1.0,4.0,
value_counts_custom_window_entry_5,,2.0,4.0,12.0,5.0,2.0,2.0,21.0
value_counts_custom_window_entry_6,,,,,4.0,19.0,,3.0
value_counts_custom_window_entry_7,6.0,,,2.0,17.0,,,4.0
value_counts_custom_window_entry_8,3.0,,,,3.0,,,1.0
value_counts_custom_window_entry_9,21.0,,,,2.0,4.0,,
value_counts_custom_hh_hl_counts_1,,8.0,11.0,,,,2.0,
value_counts_custom_hh_hl_counts_2,27.0,4.0,6.0,8.0,10.0,20.0,9.0,17.0
value_counts_custom_hh_hl_counts_3,3.0,,,6.0,25.0,6.0,,12.0
value_counts_custom_hh_hl_counts_4,,,,,,,,
value_counts_custom_hh_hl_counts_5,,,,,,,,
value_counts_custom_hh_hl_counts_6,,,,,,,,
value_counts_custom_hh_hl_counts_7,,,,,,,,
value_counts_custom_hh_hl_counts_8,,,,,,,,
value_counts_custom_hh_hl_counts_9,,,,,,,,
value_counts_custom_window_exit_1,,,,,2.0,,,
value_counts_custom_window_exit_2,,4.0,,,3.0,2.0,,2.0
value_counts_custom_window_exit_3,1.0,5.0,1.0,,7.0,3.0,1.0,1.0
value_counts_custom_window_exit_4,1.0,3.0,6.0,2.0,6.0,1.0,1.0,3.0
value_counts_custom_window_exit_5,3.0,,7.0,4.0,1.0,3.0,8.0,4.0
value_counts_custom_window_exit_6,5.0,,3.0,2.0,7.0,4.0,1.0,8.0
value_counts_custom_window_exit_7,6.0,,,2.0,3.0,4.0,,5.0
value_counts_custom_window_exit_8,7.0,,,2.0,3.0,4.0,,3.0
value_counts_custom_window_exit_9,7.0,,,2.0,3.0,5.0,,3.0
value_counts_custom_lh_counts_1,7.0,3.0,1.0,5.0,11.0,7.0,,3.0
value_counts_custom_lh_counts_2,5.0,5.0,1.0,3.0,11.0,5.0,,4.0
value_counts_custom_lh_counts_3,4.0,4.0,,,7.0,3.0,1.0,5.0
value_counts_custom_lh_counts_4,8.0,,10.0,3.0,4.0,7.0,5.0,10.0
value_counts_custom_lh_counts_5,6.0,,5.0,3.0,2.0,4.0,5.0,7.0
value_counts_custom_lh_counts_6,,,,,,,,
value_counts_custom_lh_counts_7,,,,,,,,
value_counts_custom_lh_counts_8,,,,,,,,
value_counts_custom_lh_counts_9,,,,,,,,
