,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16
avg_distance,0.22961831882923878,0.28671622049219075,0.2507001003019233,0.35732436083110786,0.26818562830559783,0.3975563463641017,0.4059321625546111,0.2562172227773915,0.30616322937327933,0.110368467524896,0.16768698596167284,0.3680705216505144,0.3562660436456396,0.3795514528853878,0.34608796780050977,0.296285955133881,0.4772343510607668
nr_of_rows,34.0,25.0,27.0,12.0,37.0,8.0,25.0,34.0,23.0,21.0,24.0,18.0,6.0,10.0,12.0,30.0,11.0
avg_Total Return [%]_mean,286.43154076295247,543.0382171135512,266.98264743508923,233.3422719155793,351.5769656353904,572.2212433970437,204.91780199697433,170.74370700477343,348.26486952473454,330.6928613046893,380.19451431661565,626.9577636525846,727.4947632165105,359.6062523310371,643.7775393857056,247.28317420122266,482.4189140402779
avg_Sharpe Ratio_mean,1.2593677707266415,1.4202984779338452,1.189814666416533,1.2052703488660081,1.3110677785029996,1.5326646143291358,1.1791382047855976,1.10405299938918,1.4003475889019126,1.3135615738778603,1.3951394991855322,1.5226014681435371,1.4670514842742943,1.2932788969517552,1.7093530334055025,1.1638414997107547,1.2716352937073447
avg_Max Drawdown [%]_mean,30.382552563604495,37.998361575026664,31.93437470983238,25.434813994311114,35.65005890141906,32.30574885774605,29.197531521923093,31.201604410704675,31.633902076438883,28.08259308045313,29.304196365886085,32.72302712411427,40.266575699364815,40.88963219021913,26.160184828961334,32.06543533101586,45.99619605482746
avg_Total Trades_mean,27.411764705882348,52.43466666666667,30.037037037037035,48.01666666666667,41.07027027027028,62.258333333333326,31.981333333333332,29.117647058823525,46.05217391304347,25.56507936507936,23.300000000000008,61.91111111111112,31.311111111111114,53.67333333333333,68.66111111111111,25.61333333333333,55.42424242424242
avg_Total Return [%]_std_perc,0.7016489190233511,0.7894808700187614,0.7608798630515973,0.7331903002342116,0.6394300652475466,0.6781242661171996,0.590916304431153,0.5807572193839767,0.6289957572883481,0.7125728259116231,0.6190366430098085,0.8273980444858801,0.9447017674329964,0.6422236567336321,0.6444554840833084,0.7991795047926195,0.9166189798226515
avg_Sharpe Ratio_std_perc,0.31570086168178196,0.34664703363988464,0.43017009699714076,0.36329537771020703,0.3323936579121922,0.3064908803698641,0.26977414101015934,0.30301083412275925,0.2741157417300946,0.3349156928403152,0.29639827853539946,0.37991385356716495,0.4089553766827831,0.32422859498515016,0.28498299043158276,0.35956419471006773,0.40732161052495086
min_Sharpe Ratio_min,0.3732079257074377,0.2044502820654111,0.1098428043348976,0.33277395641760316,0.19113756943849225,0.2882399664368732,0.4701702541225224,0.2686016837085274,0.477550447320783,0.21353419518294336,0.145108771245692,0.185150401609909,0.1725194890054754,0.216781055996058,0.48921197057201915,0.24210892443611132,0.16911161160591193
min_Total Return [%]_min,22.61298728629457,2.997732758532422,0.2832721054327152,15.355152156884062,5.106252511247803,13.003299610700166,30.2727751493933,11.2972750086128,30.90731971269794,6.807382853693313,1.5869679713905498,1.6351589938523432,0.9980713987550445,6.152369766551587,34.856458409700664,8.304441223918403,0.015658097706321428
min_Total Trades_min,19.0,38.0,19.0,32.0,23.0,51.0,19.0,19.0,31.0,19.0,19.0,48.0,22.0,40.0,55.0,19.0,41.0
max_Max Drawdown [%]_max,49.57511711648453,54.66287745504631,54.70473704293729,40.75834782750265,49.93973984577974,44.80480134614196,53.98969450728438,53.2287286335014,54.72061081360711,44.22163155921369,46.34139575016382,48.2242870652386,55.0412296917668,57.98787946863312,38.004389820703786,54.94907062227171,61.78760132338624
max_Sharpe Ratio_std_perc,0.3461369870916917,0.39286944073215246,0.4598736447753903,0.412064050678824,0.39674526737888577,0.3425529040579479,0.3147838203425201,0.36827990506864833,0.3214335994949383,0.3557913175014289,0.32156377934016306,0.40807400454920023,0.44259401738277243,0.3662210656159536,0.3234466147154356,0.4164227622034388,0.4782497259173178
