,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
avg_similarity,0.16800712067923365,0.3192758167666284,0.34392476816379625,0.2785339575905565,0.19835482025773934,0.24965314368452202,0.2719331413243353,0.3691049721618112,0.4171020605840069,0.3345985928363537,0.3999443903111783,0.2508102750285412,0.11982279802054965,0.3425103994614107,0.3057704192203981,0.3231681853624549,0.25590884764786975,0.2084975059492804,0.19080710399244954,0.6069242530405407
nr_of_rows,42.0,23.0,19.0,32.0,30.0,34.0,37.0,14.0,17.0,4.0,21.0,20.0,21.0,15.0,20.0,30.0,9.0,15.0,5.0,5.0
avg_Total Return [%]_mean,351.4946725145351,602.5189069039116,361.8911502823933,276.64525527739966,172.2069194908774,342.812828557167,261.69390696169984,654.0674697908818,449.33631413801504,248.1733890091726,211.9775431299604,352.0437929748608,361.6396573995079,201.70654584646178,244.72266488074524,553.6230716063508,234.9386263551617,562.1215543794408,764.599780531193,498.4644703440047
avg_Sharpe Ratio_mean,1.3588217846502266,1.4716135448107064,1.3197613037391942,1.1920992703646875,1.1144193193500775,1.2943268220661832,1.2600377372610971,1.7057374036275916,1.261305688970594,1.309149553032237,1.1690141976617223,1.4139381273235476,1.31737144830871,1.1158678670003639,1.1818387168020696,1.4699140678662768,1.2076531960221415,1.4752658774334224,1.4512998038891394,1.3615958836059354
avg_Max Drawdown [%]_mean,28.385957723412638,35.15283408860031,36.960788635103896,33.79693196341033,31.39392070046022,36.21017560009439,29.308830951163365,26.770038974506118,46.06229706967064,29.389246511081183,29.44493278048798,31.48884156860101,32.250816592947466,31.297086853058907,30.726555622620218,35.33554099224796,24.430813848769404,34.14028911232928,42.58896532725326,46.886074520387815
avg_Total Trades_mean,24.777777777777775,59.44057971014493,44.93684210526315,29.695833333333333,29.280000000000012,41.67254901960784,30.890090090090087,68.36190476190477,53.91764705882353,85.13333333333334,26.08888888888889,46.68333333333334,22.37142857142858,34.791111111111114,25.31,55.822222222222216,49.65185185185185,37.12888888888889,34.82666666666667,95.01333333333332
avg_Total Return [%]_std_perc,0.6561963644097402,0.8343970103402667,0.6673968918623201,0.7799014363016703,0.5595444170818035,0.6315678120037875,0.6247574005269849,0.6458094698882443,0.865547510393218,0.49186533073621386,0.6432668974952627,0.6202700815859612,0.6932545434226641,0.683723418779739,0.769111207920553,0.755628508632622,0.7528504785243034,0.7893729375308773,0.9855412939457159,0.6375162520791625
avg_Sharpe Ratio_std_perc,0.29367956314454746,0.380784531780293,0.3118201445733422,0.4179322687528742,0.2923782570089316,0.32702585186581157,0.26930930337004205,0.2873321511730553,0.39393288469719195,0.3229486746552331,0.2493996030194212,0.27023138920826295,0.351442515432701,0.35661617935897805,0.31876204475065306,0.33118979090390105,0.3758716444061412,0.3764720353560801,0.4272374621375038,0.3257041491766645
min_Sharpe Ratio_min,0.3064738900104983,0.14878406794911606,0.3840910501369828,0.1098428043348976,0.2985146145812773,0.19113756943849225,0.517959271797104,0.3681062565329279,0.20118957477389535,0.14436306645551314,0.5962098735429665,0.5546038016269939,0.18227559142863436,0.11541179987734325,0.3771931356162327,0.25872190568061987,0.40454196144800025,0.14193943139455492,0.19108022134215577,0.2478431228701398
min_Total Return [%]_min,14.362734243430197,0.06756047725038172,22.300646525154562,0.2832721054327152,11.794371097591892,5.106252511247803,30.2727751493933,21.277943895570914,2.8687226997138993,2.5544368832371447,43.968906951505446,36.58781183314866,3.542985669208349,1.6858332745901095,22.402305719256844,8.605128206636039,20.632307005455402,0.2676874637297004,0.2951161715092354,8.477776712598455
min_Total Trades_min,19.0,48.0,28.0,19.0,19.0,29.0,19.0,55.0,35.0,66.0,19.0,31.0,19.0,20.0,19.0,45.0,34.0,24.0,30.0,70.0
