window_entry,hh_hl_counts,window_exit,lh_counts,Total Return [%]_count,Total Return [%]_mean,Total Return [%]_std,Total Return [%]_min,Total Return [%]_25%,Total Return [%]_50%,Total Return [%]_75%,Total Return [%]_max,Max Drawdown [%]_count,Max Drawdown [%]_mean,Max Drawdown [%]_std,Max Drawdown [%]_min,Max Drawdown [%]_25%,Max Drawdown [%]_50%,Max Drawdown [%]_75%,Max Drawdown [%]_max,Max Drawdown Duration_count,Max Drawdown Duration_mean,Max Drawdown Duration_std,Max Drawdown Duration_min,Max Drawdown Duration_25%,Max Drawdown Duration_50%,Max Drawdown Duration_75%,Max Drawdown Duration_max,Total Trades_count,Total Trades_mean,Total Trades_std,Total Trades_min,Total Trades_25%,Total Trades_50%,Total Trades_75%,Total Trades_max,Total Trades per year_count,Total Trades per year_mean,Total Trades per year_std,Total Trades per year_min,Total Trades per year_25%,Total Trades per year_50%,Total Trades per year_75%,Total Trades per year_max,Win Rate [%]_count,Win Rate [%]_mean,Win Rate [%]_std,Win Rate [%]_min,Win Rate [%]_25%,Win Rate [%]_50%,Win Rate [%]_75%,Win Rate [%]_max,Sharpe Ratio_count,Sharpe Ratio_mean,Sharpe Ratio_std,Sharpe Ratio_min,Sharpe Ratio_25%,Sharpe Ratio_50%,Sharpe Ratio_75%,Sharpe Ratio_max,Total Return [%]_std_perc,Max Drawdown [%]_std_perc,Total Trades_std_perc,Sharpe Ratio_std_perc
2,1,2,1,15.0,691.6663348619776,538.8054005066599,-1.6121943929651508,229.87771871955349,684.1465018383935,1057.8206368714,1631.4456467178693,15.0,40.40511950076851,8.922029545542404,22.130579571597522,38.02344896936273,38.27019620298274,45.03759420126225,53.6757504278405,15.0,483.73333333333335,245.9786479312691,212.0,267.5,519.0,532.5,1047.0,15.0,96.8,3.4058772731852796,92.0,94.0,96.0,98.5,103.0,15.0,32.266666666666666,1.135292424395094,30.666666666666668,31.333333333333332,32.0,32.83333333333333,34.333333333333336,15.0,38.187427367579566,2.714331002423682,31.914893617021278,36.26208378088077,38.83495145631068,39.79538573963879,41.584158415841586,15.0,1.506377028688869,0.645755976477864,0.13911906047800163,1.0601699841405707,1.8083384640948397,1.9749023572864512,2.1345845655913216,0.7789961334668383,0.22081433382155216,0.0351846825742281,0.4286815081347341
2,1,2,2,15.0,459.00615497060045,364.99145227243264,-5.756005688394524,118.9829510683197,433.80475275909686,682.9876821811702,1231.91598172042,15.0,50.05305240061423,7.490215420985242,40.14908778264096,40.32108013766533,54.30983696740746,54.61326117697212,58.24649251345632,15.0,542.8666666666667,215.45827128858772,232.0,450.0,546.0,560.0,1047.0,15.0,108.4,2.5856748221140036,104.0,107.0,108.0,109.5,115.0,15.0,36.13333333333333,0.8618916073713352,34.666666666666664,35.666666666666664,36.0,36.5,38.333333333333336,15.0,37.01154373076723,2.1904970362450964,33.02752293577982,35.812564901349944,36.69724770642202,38.49409275260095,40.74074074074074,15.0,1.2017001451237779,0.471503900094784,0.13429884076461632,0.8012038898547473,1.3897537798684747,1.4929976515359022,1.7850512325532504,0.7951776862247316,0.14964552733038367,0.02385308876488933,0.3923640202658193
2,1,2,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
2,1,2,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
2,1,2,5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
2,1,3,1,15.0,712.6341160975002,550.6010087624956,-3.2445716021662325,230.4382949214998,680.5417272494557,1100.309048288089,1628.3951478687109,15.0,41.18240657099445,9.812896852452278,22.13057957159753,38.02344896936273,38.270196202982746,47.61224181865845,55.84575403403943,15.0,483.73333333333335,245.9786479312691,212.0,267.5,519.0,532.5,1047.0,15.0,98.53333333333333,3.2263793654069586,95.0,96.0,97.0,101.0,104.0,15.0,32.84444444444444,1.075459788468985,31.666666666666668,32.0,32.333333333333336,33.66666666666667,34.666666666666664,15.0,37.5857007637439,2.792209786812758,31.57894736842105,35.34755537409411,38.46153846153847,39.392389525368245,41.17647058823529,15.0,1.5252875787343931,0.6601291445586448,0.11993120605833014,1.0610353598233075,1.8198451801181224,2.028646313171649,2.137115731674443,0.7726279114697396,0.23827885909328297,0.03274403956772962,0.4327899563086895
2,1,3,2,15.0,570.4360051534172,459.6926425111592,-10.714051933205653,136.81883486762558,597.2746744384315,849.2230068170722,1303.9484914246812,15.0,50.932664876815544,10.138183603156536,32.02792669394324,45.29218981438364,54.47331572443974,57.05242659577396,61.759867486089306,15.0,511.26666666666665,238.51339185722486,206.0,386.5,529.0,547.5,1067.0,15.0,90.26666666666667,2.1201976547572383,87.0,89.0,90.0,92.0,94.0,15.0,30.08888888888889,0.7067325515857463,29.0,29.666666666666668,30.0,30.666666666666668,31.333333333333332,15.0,39.64813408996959,3.5176939487205154,32.58426966292135,37.38069348797873,40.229885057471265,41.990469208211145,44.565217391304344,15.0,1.3203076181626743,0.6066786385568325,0.05846615511329635,0.8443726472772222,1.5005031156224464,1.7734884031088942,2.030257847034197,0.8058618992458692,0.19905071976258243,0.023488157179733068,0.45949794594162824
2,1,3,3,15.0,343.74979232858806,268.400380058299,-21.562966735468066,73.61565344004124,332.2141637444426,496.7614353346186,910.8887280788242,15.0,61.8810601623358,12.338522173114425,41.742502118147165,48.75649514352104,70.11858499068153,72.30509452742544,72.30509452742547,15.0,580.5333333333333,276.8658433936827,236.0,342.5,562.0,784.0,1070.0,15.0,99.73333333333333,2.865226659362887,96.0,98.0,99.0,101.5,107.0,15.0,33.24444444444445,0.955075553120962,32.0,32.666666666666664,33.0,33.83333333333333,35.666666666666664,15.0,41.686273649603294,2.9371852562114533,36.44859813084112,39.90291262135922,40.816326530612244,43.75,46.93877551020408,15.0,1.0576398388397679,0.4827055665354986,-0.008529827027293112,0.6256118095893746,1.177758478391324,1.4082713316219104,1.713378933858718,0.7808015773337164,0.19939093061344035,0.028728876932114508,0.4563988125343569
2,1,3,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
2,1,3,5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,15.0,inf,,inf,,,,inf,,,,
