,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
avg_similarity,0.30746708566286557,0.31721467418108973,0.2474538453641225,0.3256343162450885,0.16920335873464284,0.13620952940926112,0.25464413532505836,0.40415589046043493,0.3834859417278394,0.3359007516509385,0.3345985928363537,0.2508102750285412,0.3093586995328447,0.5696190513495575,0.19009464247393265,0.38364966641205234,0.19080710399244954,0.34863492308652627,0.24197535116681645,0.31598732806951324
nr_of_rows,35.0,48.0,29.0,17.0,42.0,22.0,36.0,17.0,15.0,17.0,4.0,20.0,12.0,4.0,14.0,9.0,5.0,15.0,34.0,18.0
avg_Total Return [%]_mean,557.8131239211735,251.86633941053447,270.88100702677156,368.24720672109237,351.36044180593905,357.4983999666152,170.3409672155692,642.4318192661053,213.83238860319315,609.5761237192497,248.1733890091726,352.0437929748608,238.31114648224118,462.57333995912376,563.559251688276,473.7741494351073,764.599780531193,391.9103125725344,329.4835801764235,241.28081811809852
avg_Sharpe Ratio_mean,1.4688981033471316,1.2317367070379488,1.1889273824445354,1.3282574041066169,1.359624671645856,1.3136510989467647,1.102692217221848,1.6823419948174274,1.1853759814670541,1.4551952575829032,1.309149553032237,1.4139381273235476,1.213249264719736,1.3208803434861653,1.480624036789424,1.2509044905887157,1.4512998038891394,1.264978015583216,1.2873569461236922,1.1681955972333853
avg_Max Drawdown [%]_mean,35.15516002921215,29.571289835446336,33.021947845762206,36.95911081811552,28.372980730270495,32.17654668068273,31.372055520220442,27.631707950603992,29.50069762545044,36.52252647653033,29.389246511081183,31.48884156860101,24.943828039624602,48.76210779833178,33.842546518441004,46.57601906581195,42.58896532725326,43.77923539604367,35.27727694858328,31.358270847244455
avg_Total Trades_mean,54.238095238095234,29.19444444444444,28.724137931034484,44.2156862745098,24.78571428571428,22.703030303030314,29.696296296296296,68.02745098039215,27.053333333333335,63.435294117647054,85.13333333333334,46.68333333333334,48.03888888888889,95.69999999999999,36.77619047619047,57.029629629629625,34.82666666666667,47.973333333333336,41.3392156862745,26.440740740740743
avg_Total Return [%]_std_perc,0.7668022578092003,0.6593951117069993,0.7826036228531401,0.6631000590554957,0.655071784595344,0.6932671378881029,0.574279840711965,0.6485330399520658,0.572448682812383,0.8559637335858332,0.49186533073621386,0.6202700815859612,0.7416496177022621,0.6118208702368003,0.7905490531561211,0.9476430885204334,0.9855412939457159,0.7498239829600384,0.628830712780442,0.7815127068938168
avg_Sharpe Ratio_std_perc,0.33885468538282115,0.2758453299476073,0.4208289419208446,0.30741716246618817,0.29319297774026104,0.35271203771453097,0.3015660332328111,0.2910296247095055,0.23159611864393406,0.38937144371599464,0.3229486746552331,0.27023138920826295,0.3654897044606618,0.31083172938937326,0.3801378772515237,0.4143272104347468,0.4272374621375038,0.3706080313678232,0.3264168226435001,0.33681056866948267
min_Sharpe Ratio_min,0.2044502820654111,0.48621421399883624,0.1098428043348976,0.3840910501369828,0.3064738900104983,0.18227559142863436,0.11541179987734325,0.3681062565329279,0.5889260146153972,0.14878406794911606,0.14436306645551314,0.5546038016269939,0.3419928181256036,0.2478431228701398,0.14193943139455492,0.20370460354989012,0.19108022134215577,0.17451673841342888,0.19113756943849225,0.34252188392527283
min_Total Return [%]_min,3.3159750286584853,30.242989100976047,0.2832721054327152,22.300646525154562,14.362734243430197,3.542985669208349,1.6858332745901095,21.277943895570914,39.56120240991805,0.06756047725038172,2.5544368832371447,36.58781183314866,16.301227091708867,8.477776712598455,0.2676874637297004,2.8687226997138993,0.2951161715092354,2.997732758532422,5.106252511247803,16.923186112170896
min_Total Trades_min,38.0,19.0,19.0,28.0,19.0,19.0,19.0,55.0,19.0,49.0,66.0,31.0,32.0,70.0,24.0,41.0,30.0,32.0,27.0,19.0
max_Max Drawdown [%]_max,54.662877455046356,53.98969450728439,48.23039238689662,57.98787946863308,38.47380786218159,49.07661712213192,53.22872863350142,40.65969106954878,47.97271876838394,53.76480754992641,40.69468372345044,54.720610813607095,36.80494739557695,65.67376069523337,54.09666400923512,61.787601323386234,55.0412296917668,58.37406317181632,57.50616048456626,54.86569760032579
max_Sharpe Ratio_std_perc,0.3688361291529554,0.31723792870850687,0.46563174197059126,0.3350245378500052,0.3232545983266514,0.3793720056329609,0.3748650629317602,0.35615004917645127,0.2867078810647041,0.41612870564891974,0.3425148667665213,0.30538147990452236,0.41332529626949704,0.35592005875641014,0.4095469745165594,0.4831272519439235,0.44758980000547655,0.40852585372028466,0.3589069562737597,0.381626465228306
max_Total Return [%]_std_perc,0.8683360663360215,0.8276830858091965,0.9699107516640759,0.7780115964736606,0.770639561691171,0.7901790009756384,0.6751312998901338,0.7731230846022566,0.7172856768417063,0.9395593562261683,0.5482932233672843,0.7156443953249644,0.7892730153069821,0.664453407378567,0.8542518955208537,0.9997761653607491,1.011141757589088,0.8578965768617653,0.730359885333563,0.9447287649792956
unique_cnt_custom_window_entry,4.0,7.0,4.0,4.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,4.0,4.0
unique_cnt_custom_hh_hl_counts,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
unique_cnt_custom_window_exit,8.0,8.0,8.0,8.0,8.0,7.0,9.0,4.0,7.0,6.0,3.0,8.0,8.0,3.0,6.0,5.0,3.0,5.0,9.0,8.0
unique_cnt_custom_lh_counts,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0
value_counts_custom_window_entry_1,,,,,,,,,,,4.0,,,4.0,,,,,,
value_counts_custom_window_entry_2,4.0,5.0,1.0,1.0,,,3.0,17.0,,1.0,,2.0,10.0,,,,,,4.0,
value_counts_custom_window_entry_3,11.0,3.0,,6.0,,,4.0,,3.0,10.0,,16.0,2.0,,,2.0,,5.0,,
value_counts_custom_window_entry_4,19.0,2.0,,9.0,,,21.0,,,6.0,,2.0,,,,5.0,,3.0,25.0,4.0
value_counts_custom_window_entry_5,,1.0,19.0,,2.0,1.0,7.0,,,,,,,,12.0,1.0,,3.0,2.0,3.0
value_counts_custom_window_entry_6,,26.0,2.0,1.0,,,,,8.0,,,,,,,,,3.0,3.0,
