Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-14,False,True,,
2000-01-18,False,True,,
2000-01-19,False,True,"(1, 1, 2, 5)",0.05082416886751473
2000-01-20,False,True,"(1, 1, 4, 5)",0.2388590883237242
2000-01-21,False,True,"(2, 2, 2, 5)",0.12642017448880097
2000-01-24,False,True,,
2000-01-25,False,True,"(3, 1, 4, 5)",0.05485937799062715
2000-01-26,False,True,"(2, 1, 2, 5)",0.035279578439340736
2000-01-27,False,True,,
2000-01-28,False,True,,
2000-01-31,False,True,,
2000-02-01,False,True,,
2000-02-02,False,True,,
2000-02-03,False,True,,
2000-02-04,False,True,"(1, 1, 2, 5)",0.35678685474841754
2000-02-07,True,False,"(5, 1, 5, 5)",0.6301868950962539
2000-02-08,True,False,"(5, 1, 5, 5)",0.7808738583889409
2000-02-09,True,False,"(5, 3, 5, 5)",0.21824705694459384
2000-02-10,True,False,"(5, 3, 5, 4)",0.4165210579242797
2000-02-11,True,False,"(5, 1, 5, 5)",0.2143003412243444
2000-02-14,True,False,"(5, 2, 5, 5)",0.06485093636797602
2000-02-15,True,False,"(5, 1, 5, 5)",0.16327395219698354
2000-02-16,True,False,"(5, 2, 5, 5)",0.4033496121831128
2000-02-17,True,False,"(2, 1, 5, 5)",0.2765078345045381
2000-02-18,True,False,"(5, 1, 5, 5)",0.21680541268041692
2000-02-22,True,False,"(5, 1, 5, 5)",0.13723148457367304
2000-02-23,False,True,"(1, 1, 5, 5)",0.4356520653975251
2000-02-24,False,True,"(4, 1, 2, 5)",0.23258882316334845
2000-02-25,False,True,,
2000-02-28,False,True,"(4, 1, 2, 4)",0.2582299501325953
2000-02-29,False,True,"(4, 1, 2, 4)",0.2565069249302651
2000-03-01,False,True,"(1, 1, 2, 5)",0.36139096430369577
2000-03-02,False,True,"(3, 1, 6, 5)",0.043871142644069015
2000-03-03,False,True,"(2, 1, 6, 5)",0.14798977579983982
2000-03-06,False,True,"(3, 1, 2, 5)",0.03384161820616636
2000-03-07,False,True,"(5, 1, 5, 5)",0.19018661232644976
2000-03-08,False,True,,
2000-03-09,False,True,,
2000-03-10,False,True,"(1, 1, 2, 5)",0.3620117748247846
2000-03-13,False,True,,
2000-03-14,False,True,,
2000-03-15,True,False,"(4, 1, 2, 5)",0.9817271342155425
2000-03-16,True,False,"(4, 1, 2, 5)",0.9556042250718967
2000-03-17,True,False,"(3, 1, 2, 5)",0.9785779714053429
2000-03-20,True,False,"(3, 1, 2, 5)",0.984576086844625
2000-03-21,True,False,"(3, 2, 2, 4)",0.10606220536305383
2000-03-22,True,False,"(1, 1, 2, 2)",0.07562630942436602
2000-03-23,True,False,"(2, 1, 2, 5)",0.10055887130251778
2000-03-24,True,False,"(3, 1, 2, 5)",0.03382479740502152
2000-03-27,True,False,"(5, 2, 2, 2)",0.03598408813944762
2000-03-28,True,False,"(5, 2, 2, 4)",0.05361281991805953
2000-03-29,True,False,,
2000-03-30,True,False,,
2000-03-31,True,False,,
2000-04-03,True,False,,
2000-04-04,True,False,,
2000-04-05,True,False,,
2000-04-06,True,False,,
2000-04-07,True,False,,
2000-04-10,True,False,,
2000-04-11,True,False,,
2000-04-12,True,False,,
2000-04-13,True,False,,
2000-04-14,True,False,,
2000-04-17,True,False,,
2000-04-18,True,False,"(3, 1, 2, 4)",0.1907007762449751
2000-04-19,True,False,"(3, 1, 5, 5)",0.035836507662357145
2000-04-20,True,False,"(4, 1, 5, 5)",0.05221836706131588
2000-04-24,True,False,"(3, 1, 2, 5)",0.03751826150450638
2000-04-25,True,False,"(5, 1, 2, 5)",0.8636334147183328
2000-04-26,True,False,"(3, 1, 5, 5)",0.028098577655271392
2000-04-27,True,False,"(5, 1, 2, 5)",0.27329709176376366
2000-04-28,True,False,"(4, 1, 5, 5)",0.03920686076074831
2000-05-01,True,False,"(4, 1, 5, 5)",0.1223430968204658
2000-05-02,True,False,,
2000-05-03,True,False,,
2000-05-04,True,False,,
2000-05-05,True,False,,
2000-05-08,True,False,,
2000-05-09,True,False,,
2000-05-10,True,False,,
2000-05-11,True,False,,
2000-05-12,True,False,"(1, 1, 4, 4)",0.10381111514944096
2000-05-15,True,False,"(3, 1, 4, 4)",0.014381514431028525
2000-05-16,True,False,"(2, 1, 4, 4)",0.1299023639326049
2000-05-17,True,False,"(3, 1, 2, 4)",0.026072182618760067
2000-05-18,True,False,,
2000-05-19,True,False,,
2000-05-22,True,False,,
2000-05-23,True,False,,
2000-05-24,True,False,,
2000-05-25,True,False,,
2000-05-26,True,False,,
2000-05-30,True,False,,
2000-05-31,True,False,,
2000-06-01,True,False,"(2, 1, 2, 4)",0.15456702248310725
2000-06-02,True,False,"(1, 1, 2, 4)",0.27917809125641696
2000-06-05,True,False,"(2, 1, 2, 4)",0.04910489127531842
2000-06-06,True,False,"(3, 1, 2, 4)",0.15603256015693062
2000-06-07,True,False,"(1, 1, 2, 4)",0.24056699029031706
2000-06-08,True,False,"(2, 1, 2, 4)",0.16167591530400993
2000-06-09,True,False,"(5, 1, 4, 5)",0.2479873926517816
2000-06-12,True,False,,
2000-06-13,True,False,"(4, 1, 5, 5)",0.9156312204189883
2000-06-14,True,False,,
2000-06-15,True,False,,
2000-06-16,True,False,,
2000-06-19,True,False,,
2000-06-20,True,False,"(1, 1, 2, 4)",0.07264145100169274
2000-06-21,True,False,"(2, 2, 2, 5)",0.08323538289799258
2000-06-22,True,False,"(3, 3, 2, 2)",0.33960569795794715
2000-06-23,True,False,"(3, 1, 4, 5)",0.20190528379644074
2000-06-26,True,False,"(5, 3, 4, 2)",0.15392508437624436
2000-06-27,True,False,"(5, 2, 4, 4)",0.5905799376046099
2000-06-28,True,False,"(2, 1, 6, 2)",0.22567227900344
2000-06-29,True,False,,
2000-06-30,True,False,"(4, 1, 4, 4)",0.9165551590512447
2000-07-03,True,False,"(3, 1, 4, 4)",0.8912597600503153
2000-07-05,True,False,"(4, 1, 4, 4)",0.9036461907294876
2000-07-06,True,False,"(2, 1, 2, 4)",0.7904029112436864
2000-07-07,True,False,"(1, 1, 2, 3)",0.6209976724028304
