,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-14 00:00:00,2006-04-28 00:00:00,2000-01-14 00:00:00,2009-08-28 00:00:00,2000-01-14 00:00:00,2012-07-02 00:00:00,2000-01-14 00:00:00,2015-10-23 00:00:00,2000-01-14 00:00:00,2018-09-28 00:00:00,2000-01-14 00:00:00,2021-08-17 00:00:00
End,2006-04-27 00:00:00,2009-08-27 00:00:00,2009-08-27 00:00:00,2012-06-29 00:00:00,2012-06-29 00:00:00,2015-10-22 00:00:00,2015-10-22 00:00:00,2018-09-27 00:00:00,2018-09-27 00:00:00,2021-08-16 00:00:00,2021-08-16 00:00:00,2024-10-02 00:00:00
Period,1579 days 00:00:00,840 days 00:00:00,2419 days 00:00:00,716 days 00:00:00,3135 days 00:00:00,833 days 00:00:00,3968 days 00:00:00,738 days 00:00:00,4706 days 00:00:00,725 days 00:00:00,5431 days 00:00:00,787 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,1709.8068779021348,924.5145560533481,19393.31835202153,414.8334063088736,83191.25581149117,281.7510558546787,285277.9960004559,275.8554088556678,882195.397686254,533.5828614351523,4879959.314396855,286.75053761316485
Total Return [%],1609.8068779021346,824.514556053348,19293.31835202153,314.8334063088736,83091.25581149117,181.75105585467875,285177.9960004559,175.8554088556678,882095.397686254,433.58286143515227,4879859.314396855,186.75053761316485
Benchmark Return [%],176.23158768471689,140.7303034186072,574.848069154203,243.42859177674302,2225.8263430019324,45.921375470317784,3343.391211863227,99.31786314582385,6976.027231813053,176.39685117123324,19526.602122407945,53.52388204873495
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],25.143253345323906,22.447574424384936,25.143253345323906,20.189230360639527,25.143253345323906,17.181705738725615,25.143253345323906,13.869291609120339,25.143253345323906,7.828221143409124,25.143253345323906,8.550646087563909
Max Drawdown Duration,148 days 00:00:00,35 days 00:00:00,148 days 00:00:00,54 days 00:00:00,148 days 00:00:00,46 days 00:00:00,148 days 00:00:00,64 days 00:00:00,148 days 00:00:00,60 days 00:00:00,148 days 00:00:00,104 days 00:00:00
Total Trades,106,64,170,60,230,61,291,67,358,60,418,66
Total Closed Trades,105,64,170,59,229,60,290,66,357,60,418,65
Total Open Trades,1,0,0,1,1,1,1,1,1,0,0,1
Open Trade PnL,-235.78272866393422,0.0,0.0,-68.82823343299071,-13802.907594943332,-26.18423335114545,-26512.0057653868,-5.346894921636192,-17099.55991563492,0.0,0.0,-4.1220794712188535
Win Rate [%],60.952380952380956,78.125,67.64705882352942,67.79661016949152,68.12227074235808,68.33333333333333,68.27586206896552,71.21212121212122,68.90756302521008,83.33333333333334,71.05263157894737,64.61538461538461
Best Trade [%],27.25331395242645,26.680463488506835,27.25331395242645,18.763695784787057,27.25331395242645,14.7303900680539,27.25331395242645,13.890243158107845,27.25331395242645,18.653138907571453,27.25331395242645,12.707403742588422
Worst Trade [%],-5.389142757138431,-6.942277155759251,-6.942277155759263,-2.598561984461114,-6.942277155759263,-2.7000011097301138,-6.942277155759263,-4.688946671734974,-6.942277155759263,-2.3088717140671027,-6.942277155759263,-4.706472077173209
Avg Winning Trade [%],6.008790903095733,5.3249291709649835,5.727183040206631,4.558212648831341,5.412308712475715,3.393318120273455,4.989069571299879,2.798656643880273,4.560743142626195,3.60044682010088,4.3894380392836,3.4654016315524583
Avg Losing Trade [%],-1.6499436195950055,-2.246883712431086,-1.8018920068623716,-0.9354487080713733,-1.600508462973952,-1.143189664807276,-1.5060621894395305,-1.2778133270035181,-1.4669925643378707,-0.6930020255273223,-1.403026404105594,-1.4857435538362693
