,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2004-10-01 00:00:00,2000-01-07 00:00:00,2008-05-08 00:00:00,2000-01-07 00:00:00,2011-10-27 00:00:00,2000-01-07 00:00:00,2015-06-22 00:00:00,2000-01-07 00:00:00,2018-05-11 00:00:00,2000-01-07 00:00:00,2021-06-01 00:00:00
End,2004-09-30 00:00:00,2008-05-07 00:00:00,2008-05-07 00:00:00,2011-10-26 00:00:00,2011-10-26 00:00:00,2015-06-19 00:00:00,2015-06-19 00:00:00,2018-05-10 00:00:00,2018-05-10 00:00:00,2021-05-28 00:00:00,2021-05-28 00:00:00,2024-10-09 00:00:00
Period,1188 days 00:00:00,906 days 00:00:00,2094 days 00:00:00,876 days 00:00:00,2970 days 00:00:00,916 days 00:00:00,3886 days 00:00:00,728 days 00:00:00,4614 days 00:00:00,768 days 00:00:00,5382 days 00:00:00,846 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,65.25966095842152,47.71934671804965,32.65913459994954,86.19169619631477,27.22441501674591,52.193120185995554,15.156778226470252,628.9574655811564,73.45975102729751,598.7284950864985,484.967596147953,182.51806365594467
Total Return [%],-34.74033904157848,-52.28065328195035,-67.34086540005046,-13.808303803685234,-72.77558498325409,-47.806879814004446,-84.84322177352975,528.9574655811564,-26.540248972702486,498.72849508649847,384.967596147953,82.51806365594466
Benchmark Return [%],-20.000000000000185,-48.548029110996396,-57.47692401592559,-26.40692596012323,-68.61538520226124,-53.42960394456237,-84.12307739257822,362.9771238273344,-25.35384544959477,570.1255490311102,392.8000112680266,111.6322354154978
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],94.19359817494167,86.59361627601447,94.19359817494167,71.96456463832405,96.73338577736877,75.26719071674462,96.11053003415344,40.0000015894572,96.39143619549137,49.11369499584487,96.39143619549137,67.54032549588455
Max Drawdown Duration,1073 days 00:00:00,569 days 00:00:00,1979 days 00:00:00,388 days 00:00:00,2855 days 00:00:00,820 days 00:00:00,3771 days 00:00:00,303 days 00:00:00,4499 days 00:00:00,182 days 00:00:00,4906 days 00:00:00,536 days 00:00:00
Total Trades,15,7,15,9,17,13,13,2,14,3,14,10
Total Closed Trades,14,6,14,8,16,12,12,1,13,2,13,9
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,47.689752238846516,5.800902555042832,16.116880819345933,52.56003355709521,16.60155479007306,13.756325596264816,3.4660845415279073,541.328599728472,63.64896818378965,475.36411018339794,475.1568133044451,121.46170771046796
Win Rate [%],21.428571428571427,0.0,14.285714285714285,12.5,12.5,16.666666666666664,8.333333333333332,0.0,7.6923076923076925,50.0,7.6923076923076925,44.44444444444444
Best Trade [%],8.75,-12.077920147732824,15.131578947368412,1.0309268214748657,15.131578947368427,36.397058791303714,8.75,-12.371134147315644,8.75,23.734176570531417,8.75,17.558840923321284
Worst Trade [%],-38.991592759576136,-15.487980770041403,-38.991592759576136,-20.895528628688425,-38.99159275957612,-21.299636037252522,-38.991592759576136,-12.371134147315644,-38.991592759576136,-0.29885976347052223,-38.991592759576136,-14.999423416000512
Avg Winning Trade [%],5.645860077021824,,11.101143009037742,1.0309268214748657,11.940789473684212,20.053998745918374,8.75,,8.75,23.734176570531417,8.75,5.123860844503563
Avg Losing Trade [%],-15.423969254059411,-13.481152989598044,-14.97676108825178,-14.454030493976658,-15.784544298217204,-12.072998947413732,-17.992324605087024,-12.371134147315644,-17.832997935394012,-0.29885976347052223,-17.832997935394012,-12.778690094862052
Avg Winning Trade Duration,5 days 00:00:00,,8 days 00:00:00,2 days 00:00:00,8 days 00:00:00,18 days 12:00:00,2 days 00:00:00,,2 days 00:00:00,27 days 00:00:00,2 days 00:00:00,6 days 12:00:00
Avg Losing Trade Duration,58 days 04:21:49.090909091,135 days 04:00:00,53 days 10:00:00,17 days 13:42:51.428571428,155 days 18:51:25.714285714,16 days 19:12:00,200 days 17:27:16.363636362,16 days 00:00:00,323 days 20:00:00,4 days 00:00:00,323 days 20:00:00,49 days 14:24:00
Profit Factor,0.17727919034635548,0.0,0.2059242280537605,0.008005420285608498,0.21997723122861598,0.39924148574339685,0.09015106672612326,0.0,0.08843813657995825,64.18256186090827,0.08843813657995825,0.35072638356684877
Expectancy,-5.887863662887499,-9.68025930616553,-5.961267587099745,-8.296042170097556,-5.5860712358329465,-5.130267117522439,-7.3591088595881375,-12.371134147315644,-6.937632088960933,11.682192451550264,-6.937632088960933,-4.327071561613701
Sharpe Ratio,0.3173221477225093,-0.23688778663427038,0.1489976648584832,0.3319922483259465,0.19882566392775305,-0.1683651542511754,0.14559055773340812,1.5299631361290633,0.34992922508351293,1.5640258355223813,0.51835710364862,0.7289495960843053
