Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-14,False,True,,
2000-01-18,False,True,,
2000-01-19,False,True,,
2000-01-20,False,True,,
2000-01-21,False,True,,
2000-01-24,False,True,,
2000-01-25,False,True,,
2000-01-26,False,True,,
2000-01-27,False,True,,
2000-01-28,False,True,,
2000-01-31,False,True,,
2000-02-01,False,True,,
2000-02-02,True,False,"(1, 1, 2, 5)",0.814326507282066
2000-02-03,True,False,"(4, 1, 2, 3)",0.9479336352258887
2000-02-04,True,False,"(4, 2, 2, 3)",0.9864335910426868
2000-02-07,True,False,"(5, 1, 2, 5)",0.9795647701504236
2000-02-08,True,False,"(5, 2, 7, 5)",0.9957062896211879
2000-02-09,True,False,"(5, 2, 2, 5)",0.9980450391861496
2000-02-10,True,False,"(4, 1, 4, 5)",0.9946584576893942
2000-02-11,True,False,"(1, 1, 7, 3)",0.9788273067106873
2000-02-14,True,False,"(2, 2, 7, 2)",0.9965595745112744
2000-02-15,True,False,"(5, 4, 7, 5)",0.996554328367505
2000-02-16,True,False,"(2, 1, 6, 5)",0.9971029685667958
2000-02-17,True,False,"(5, 4, 5, 4)",0.979998745210461
2000-02-18,True,False,"(2, 2, 4, 4)",0.5544947554785316
2000-02-22,True,False,"(2, 2, 4, 5)",0.7555411905278876
2000-02-23,True,False,"(3, 2, 2, 5)",0.7180997658616841
2000-02-24,True,False,"(5, 3, 8, 5)",0.44835505024151145
2000-02-25,True,False,"(5, 2, 8, 5)",0.6556318636796524
2000-02-28,True,False,,
2000-02-29,True,False,,
2000-03-01,True,False,"(2, 1, 8, 5)",0.8065237947057515
2000-03-02,True,False,,
2000-03-03,True,False,,
2000-03-06,True,False,,
2000-03-07,True,False,,
2000-03-08,True,False,"(1, 1, 7, 2)",0.6881500698156165
2000-03-09,True,False,"(2, 2, 2, 4)",0.025384272346229836
2000-03-10,True,False,"(4, 3, 2, 4)",0.005127792357979106
2000-03-13,True,False,"(2, 2, 5, 2)",0.004478665893489639
2000-03-14,True,False,"(5, 3, 5, 4)",0.03907460911211005
2000-03-15,True,False,"(4, 3, 4, 4)",0.9639810368297076
2000-03-16,True,False,,
2000-03-17,True,False,"(4, 1, 4, 2)",0.09661459643198299
2000-03-20,True,False,"(5, 1, 2, 2)",0.15859634383929516
2000-03-21,True,False,,
2000-03-22,True,False,,
2000-03-23,True,False,"(1, 1, 2, 3)",0.04949534510955208
2000-03-24,True,False,,
2000-03-27,True,False,,
2000-03-28,True,False,,
2000-03-29,True,False,,
2000-03-30,True,False,,
2000-03-31,True,False,,
2000-04-03,True,False,"(3, 1, 4, 5)",0.21762005845419255
2000-04-04,True,False,"(3, 1, 4, 5)",0.08772874530891647
2000-04-05,True,False,"(3, 1, 2, 3)",0.006555840701533996
2000-04-06,True,False,"(1, 1, 2, 2)",0.012306123714026698
2000-04-07,True,False,"(2, 2, 2, 2)",0.4468066948566735
2000-04-10,True,False,"(3, 3, 4, 2)",0.17538437633856252
2000-04-11,True,False,"(5, 3, 5, 5)",0.02542490472393017
2000-04-12,True,False,,
2000-04-13,True,False,,
2000-04-14,True,False,,
2000-04-17,True,False,,
2000-04-18,True,False,"(1, 1, 2, 3)",0.4132390013549552
2000-04-19,True,False,"(2, 1, 5, 3)",0.14742538933237387
2000-04-20,True,False,"(4, 1, 2, 3)",0.22532670399927623
2000-04-24,True,False,"(4, 1, 2, 3)",0.28939962690409343
2000-04-25,True,False,"(4, 1, 2, 4)",0.2855122725467533
2000-04-26,True,False,"(3, 1, 5, 4)",0.07251959774175468
2000-04-27,True,False,"(2, 1, 2, 3)",0.01694678439426151
2000-04-28,True,False,"(2, 1, 5, 3)",0.009337169545489856
2000-05-01,True,False,"(2, 1, 2, 3)",0.020975433038486018
2000-05-02,True,False,"(5, 2, 5, 5)",0.042409238957134575
2000-05-03,True,False,"(5, 1, 5, 5)",0.02748329640786782
2000-05-04,True,False,"(3, 1, 2, 5)",0.012780825916818993
2000-05-05,True,False,"(1, 1, 2, 3)",0.06225169951169469
2000-05-08,True,False,"(2, 1, 2, 3)",0.25168971821537234
2000-05-09,True,False,"(5, 1, 6, 5)",0.6570717259467769
2000-05-10,True,False,,
2000-05-11,True,False,"(5, 1, 7, 5)",0.9596042281860675
2000-05-12,True,False,"(5, 1, 2, 3)",0.9566514321512107
2000-05-15,True,False,,
2000-05-16,True,False,"(3, 1, 2, 3)",0.09762482594023804
2000-05-17,True,False,"(2, 2, 2, 4)",0.9724355202518095
2000-05-18,True,False,"(3, 3, 4, 4)",0.30417211262717975
2000-05-19,True,False,"(5, 1, 4, 4)",0.6463045189368303
2000-05-22,True,False,"(5, 1, 2, 4)",0.19812258017915835
2000-05-23,True,False,"(2, 1, 2, 4)",0.5019185116713122
2000-05-24,True,False,"(5, 1, 2, 4)",0.23321782782135447
2000-05-25,True,False,,
2000-05-26,True,False,,
2000-05-30,True,False,"(1, 1, 6, 2)",0.9847904374174499
2000-05-31,True,False,"(1, 1, 2, 3)",0.9460302560043347
2000-06-01,True,False,"(1, 1, 2, 3)",0.11283700492252141
2000-06-02,True,False,"(3, 2, 2, 4)",0.11103549511549708
2000-06-05,True,False,"(2, 2, 2, 4)",0.5441950450866764
2000-06-06,True,False,"(3, 3, 2, 3)",0.12052769780690023
2000-06-07,True,False,"(5, 3, 4, 3)",0.6842423287795513
2000-06-08,True,False,"(3, 1, 4, 3)",0.9502200614713591
2000-06-09,True,False,"(1, 1, 2, 3)",0.9653470971533751
2000-06-12,True,False,"(2, 1, 6, 2)",0.9767255245312637
2000-06-13,True,False,"(2, 1, 7, 2)",0.9949721997746792
2000-06-14,True,False,"(2, 1, 2, 3)",0.9942059484508258
2000-06-15,True,False,"(4, 1, 2, 3)",0.8818901085128439
2000-06-16,True,False,"(3, 2, 2, 4)",0.3133118767772012
2000-06-19,True,False,"(2, 2, 2, 2)",0.5328419049576523
2000-06-20,True,False,"(3, 3, 2, 2)",0.10516416534422536
2000-06-21,True,False,"(3, 2, 2, 2)",0.6409163059594184
2000-06-22,True,False,"(5, 3, 2, 2)",0.0777161932325075
2000-06-23,True,False,,
