,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-14 00:00:00,2006-03-16 00:00:00,2000-01-14 00:00:00,2009-06-30 00:00:00,2000-01-14 00:00:00,2013-03-04 00:00:00,2000-01-14 00:00:00,2016-02-22 00:00:00,2000-01-14 00:00:00,2018-11-28 00:00:00,2000-01-14 00:00:00,2021-08-24 00:00:00
End,2006-03-15 00:00:00,2009-06-29 00:00:00,2009-06-29 00:00:00,2013-03-01 00:00:00,2013-03-01 00:00:00,2016-02-19 00:00:00,2016-02-19 00:00:00,2018-11-27 00:00:00,2018-11-27 00:00:00,2021-08-23 00:00:00,2021-08-23 00:00:00,2024-10-03 00:00:00
Period,1549 days 00:00:00,828 days 00:00:00,2377 days 00:00:00,924 days 00:00:00,3301 days 00:00:00,748 days 00:00:00,4049 days 00:00:00,699 days 00:00:00,4748 days 00:00:00,688 days 00:00:00,5436 days 00:00:00,783 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,40376.96237815568,1194.1901601042637,503379.62773473194,1055.0929621649557,5311123.025201305,447.00432183528403,25723754.090366382,852.143192552022,231962883.13710552,513.9149266344596,1239894625.3127122,1542.2119572754375
Total Return [%],40276.96237815568,1094.1901601042637,503279.6277347319,955.0929621649555,5311023.025201305,347.00432183528403,25723654.090366382,752.143192552022,231962783.13710555,413.91492663445956,1239894525.3127122,1442.2119572754375
Benchmark Return [%],355.9222425553732,-28.255543424628172,215.99590339248005,13.998954648074214,251.51409406932532,152.69020482246938,784.7476628215089,395.2129506322543,4436.835636935474,452.6311495785873,26005.960705936905,464.7804780951606
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],31.97973433363509,20.419053251692137,31.97973433363509,18.378832899667326,31.97973433363509,12.631552148245973,31.97973433363509,16.48307077735899,31.97973433363509,22.47275346982771,31.97973433363509,26.409744321005245
Max Drawdown Duration,148 days 00:00:00,65 days 00:00:00,148 days 00:00:00,81 days 00:00:00,148 days 00:00:00,55 days 00:00:00,148 days 00:00:00,59 days 00:00:00,148 days 00:00:00,66 days 00:00:00,148 days 00:00:00,67 days 00:00:00
Total Trades,120,68,188,68,256,54,310,69,379,77,456,77
Total Closed Trades,119,68,188,67,255,53,309,68,378,76,455,76
Total Open Trades,1,0,0,1,1,1,1,1,1,1,1,1
Open Trade PnL,-3040.930092628565,0.0,0.0,-68.45521545491692,-344589.60872196965,35.81636586423838,2061124.1164727733,1.9618598804161138,534040.1450717151,22.170839369659973,53490379.72712135,24.22848665166498
Win Rate [%],70.58823529411765,75.0,71.27659574468085,76.11940298507463,72.54901960784314,73.58490566037736,72.81553398058253,67.64705882352942,71.95767195767195,63.1578947368421,70.54945054945055,63.1578947368421
Best Trade [%],52.737240164454576,20.823318176478786,52.737240164454576,48.62692938594365,52.737240164454576,19.226908600884503,52.737240164454576,31.338223539290787,52.737240164454576,19.32136589153583,52.737240164454576,48.460641168549536
Worst Trade [%],-17.42211475127014,-9.75035159388147,-17.42211475127014,-4.580148503841433,-17.42211475127014,-2.728651883871256,-17.42211475127014,-8.822791620556112,-17.42211475127014,-7.4201202780801365,-17.42211475127014,-11.276025767882436
Avg Winning Trade [%],9.634806609691674,6.020812188417995,8.317966248494866,5.706175610747273,7.597959099710392,4.171005013535969,6.97796370587041,6.019222824755,6.8454577328938555,5.015489491507305,6.563732082213365,8.138383774394157
Avg Losing Trade [%],-3.655036515956975,-2.525770309504758,-3.1862279468771195,-1.900935779279864,-2.906816606095108,-1.0105521932770347,-2.586964777427001,-2.145738940022811,-2.4945174591137422,-2.539963103766735,-2.504084963251215,-2.914785185631824
Avg Winning Trade Duration,5 days 07:42:51.428571428,4 days 18:21:10.588235294,5 days 03:24:10.746268656,4 days 13:10:35.294117647,4 days 23:28:51.891891891,5 days 20:55:23.076923076,5 days 03:12:00,6 days 12:00:00,5 days 09:05:17.647058823,5 days 19:30:00,5 days 10:45:58.878504672,5 days 11:30:00
Avg Losing Trade Duration,2 days 06:10:17.142857142,2 days 14:07:03.529411764,2 days 09:20:00,1 days 14:24:00,2 days 05:13:02.608695652,1 days 22:17:08.571428571,2 days 04:02:53.493975903,1 days 20:43:38.181818181,2 days 02:30:51.428571428,2 days 13:42:51.428571428,2 days 04:52:19.849624060,2 days 05:08:34.285714285
Profit Factor,7.549378960294869,6.765631669470776,6.77644602947286,9.614080198756248,9.253291787351912,10.46750406474899,10.183016629147007,4.100016178374241,4.380995224133187,2.795065506007207,2.9940541267010743,3.7631583684612138
Expectancy,364.015903115834,16.091031766239166,2677.01929646134,15.158606940001146,22139.92704498975,5.871470867378218,76477.2962505809,11.032078421641266,610520.7388910563,5.1545274640105205,2597649.8468040293,18.657677245049637
Sharpe Ratio,1.9609807392431646,1.7614170761754304,1.8985703788555437,1.609987147007655,1.8224288821515244,1.9464544809330766,1.8009420647061962,2.8809213846624337,1.866058584192098,2.362813367668423,1.879256609215961,3.0224256973880563
Calmar Ratio,9.732510700401807,9.716350259234849,8.449308846381593,8.359751567676279,7.2866239831254775,8.522283982512944,6.485680232006268,12.50487742138321,6.521598382036742,6.154614426478988,6.235915306041377,9.768410885776728
Omega Ratio,1.5273109706763819,1.4418616624017022,1.499535915115546,1.4509405095253596,1.4881870627356801,1.5517570760205996,1.4967392053609263,1.8698447480889373,1.5267919235776406,1.5435289653572488,1.5281478341694268,1.91606235750784
Sortino Ratio,3.3034151591950707,2.8164237699860166,3.148732882257679,2.6292890676481657,3.0123185150129665,3.1719856855060824,2.9761011506595723,5.519933102205365,3.101902341100189,3.8054708181581733,3.118701185622681,5.509894410051375
