Date,entry_signal,exit_signal,max_combs,max_probs
2010-03-17,False,True,,
2010-03-18,False,True,,
2010-03-19,False,True,,
2010-03-22,False,True,,
2010-03-23,True,False,"(1, 1, 9, 5)",0.6723014326918932
2010-03-24,True,False,"(4, 1, 9, 4)",0.9487989924682109
2010-03-25,True,False,"(4, 1, 9, 5)",0.951672520886943
2010-03-26,True,False,,
2010-03-29,False,True,"(4, 1, 2, 5)",0.9883631189481588
2010-03-30,True,False,"(3, 1, 2, 5)",0.9158026003337131
2010-03-31,True,False,"(4, 1, 7, 5)",0.8964233132845125
2010-04-01,True,False,"(4, 1, 2, 5)",0.8222790127318708
2010-04-05,True,False,"(4, 1, 9, 5)",0.6155281411699602
2010-04-06,True,False,"(5, 1, 7, 5)",0.7531987148438081
2010-04-07,True,False,"(4, 1, 7, 5)",0.7195980168553782
2010-04-08,True,False,"(4, 1, 8, 5)",0.872237994995993
2010-04-09,True,False,"(4, 1, 9, 5)",0.951296189805913
2010-04-12,True,False,"(5, 1, 9, 5)",0.5528092243094324
2010-04-13,True,False,"(5, 1, 7, 5)",0.7548457207650965
2010-04-14,True,False,"(5, 1, 7, 5)",0.8047368314698733
2010-04-15,True,False,"(5, 1, 8, 5)",0.9133576545053792
2010-04-16,True,False,"(4, 3, 7, 5)",0.3115510344414682
2010-04-19,True,False,"(5, 3, 7, 5)",0.40995617678406626
2010-04-20,True,False,"(5, 1, 7, 5)",0.12991529629145815
2010-04-21,True,False,"(5, 2, 7, 5)",0.04052449800405047
2010-04-22,True,False,"(5, 1, 9, 5)",0.013029843909261447
2010-04-23,True,False,"(1, 1, 4, 4)",0.011191836152768746
2010-04-26,True,False,"(1, 1, 4, 4)",0.11702986975674697
2010-04-27,True,False,,
2010-04-28,True,False,"(5, 2, 4, 5)",0.03896610698874397
2010-04-29,True,False,"(4, 2, 6, 3)",0.08540715121002845
2010-04-30,True,False,,
2010-05-03,True,False,"(5, 1, 4, 5)",0.0365645647768213
2010-05-04,True,False,,
2010-05-05,True,False,,
2010-05-06,True,False,,
2010-05-07,True,False,,
2010-05-10,True,False,,
2010-05-11,True,False,"(3, 1, 9, 5)",0.010096529925271163
2010-05-12,True,False,"(2, 1, 2, 4)",0.010287326320055652
2010-05-13,True,False,"(5, 1, 2, 5)",0.019495799901044563
2010-05-14,True,False,"(5, 1, 2, 5)",0.40057802658786357
2010-05-17,True,False,"(5, 1, 2, 5)",0.05003109253604384
2010-05-18,True,False,,
2010-05-19,True,False,"(5, 1, 2, 4)",0.37270907124609404
2010-05-20,True,False,,
2010-05-21,True,False,,
2010-05-24,True,False,,
2010-05-25,True,False,,
2010-05-26,True,False,,
2010-05-27,True,False,,
2010-05-28,True,False,"(2, 1, 2, 3)",0.17109756620058178
2010-06-01,True,False,"(3, 1, 9, 4)",0.07945885578036312
2010-06-02,True,False,"(4, 1, 2, 3)",0.00810119934790291
2010-06-03,True,False,"(1, 1, 2, 5)",0.04772503684949322
2010-06-04,True,False,,
2010-06-07,True,False,,
2010-06-08,True,False,,
2010-06-09,True,False,,
2010-06-10,True,False,"(5, 1, 2, 3)",0.6753409223579234
2010-06-11,True,False,"(1, 1, 2, 2)",0.9759090232230991
2010-06-14,True,False,"(2, 2, 8, 2)",0.8800699385460746
2010-06-15,True,False,"(1, 1, 2, 5)",0.16169984389228506
2010-06-16,True,False,"(1, 1, 2, 2)",0.42015721886398477
2010-06-17,True,False,"(2, 2, 2, 3)",0.07380670130839044
