Date,entry_signal,exit_signal,max_combs,max_probs
2010-07-09,False,True,,
2010-07-12,False,True,,
2010-07-13,False,True,,
2010-07-14,True,False,"(1, 1, 2, 4)",0.6328175821112849
2010-07-15,True,False,"(2, 2, 2, 4)",0.3340077364613818
2010-07-16,True,False,"(2, 2, 2, 4)",0.14124020078448896
2010-07-19,True,False,"(2, 2, 2, 4)",0.6796377389208379
2010-07-20,True,False,"(5, 2, 2, 4)",0.2614934192416726
2010-07-21,True,False,"(5, 2, 2, 4)",0.3678143229131518
2010-07-22,True,False,"(5, 2, 2, 4)",0.161142726400439
2010-07-23,True,False,"(5, 2, 2, 4)",0.12846768786991555
2010-07-26,True,False,"(5, 1, 2, 4)",0.2099458271014992
2010-07-27,True,False,,
2010-07-28,True,False,"(3, 1, 2, 4)",0.20084159290235792
2010-07-29,True,False,,
2010-07-30,True,False,,
2010-08-02,True,False,,
2010-08-03,True,False,"(1, 1, 2, 4)",0.12719031221155436
2010-08-04,True,False,"(2, 2, 2, 4)",0.09548465492903463
2010-08-05,True,False,"(4, 2, 2, 4)",0.0882587224889765
2010-08-06,True,False,,
2010-08-09,True,False,"(4, 1, 2, 4)",0.3852911386550893
2010-08-10,True,False,,
2010-08-11,True,False,,
2010-08-12,True,False,,
2010-08-13,True,False,,
2010-08-16,True,False,"(1, 1, 2, 4)",0.774643755419315
2010-08-17,True,False,"(3, 1, 2, 4)",0.8937650104715681
2010-08-18,True,False,"(3, 1, 2, 4)",0.8750789171474752
2010-08-19,True,False,"(2, 1, 2, 4)",0.9324611004864716
2010-08-20,True,False,"(1, 1, 6, 4)",0.9736611301883248
2010-08-23,True,False,"(1, 1, 7, 4)",0.8580009022071373
2010-08-24,True,False,"(2, 1, 2, 4)",0.7754442310161281
2010-08-25,True,False,"(2, 1, 2, 4)",0.8179437018047546
2010-08-26,True,False,"(3, 1, 2, 4)",0.7193552348266077
2010-08-27,True,False,"(4, 1, 6, 4)",0.7953665499181063
2010-08-30,True,False,"(5, 1, 2, 4)",0.837779963033104
2010-08-31,True,False,,
2010-09-01,True,False,"(2, 1, 2, 4)",0.7473647397318438
2010-09-02,True,False,"(1, 1, 2, 4)",0.8269317392595338
2010-09-03,True,False,"(2, 2, 2, 4)",0.6111339412429408
2010-09-07,True,False,"(3, 1, 2, 4)",0.69815628285938
2010-09-08,True,False,"(4, 2, 2, 4)",0.30233274718294706
2010-09-09,True,False,"(4, 1, 2, 4)",0.5297746407066583
2010-09-10,True,False,,
2010-09-13,True,False,,
2010-09-14,True,False,"(1, 1, 2, 4)",0.08999564694825837
2010-09-15,True,False,"(2, 2, 2, 4)",0.1315685847417599
2010-09-16,True,False,"(3, 2, 6, 4)",0.35590387490832487
2010-09-17,True,False,"(5, 2, 6, 4)",0.22700006051178762
2010-09-20,True,False,"(4, 2, 4, 4)",0.08775216706050258
2010-09-21,True,False,"(2, 1, 6, 4)",0.10974535686340987
2010-09-22,True,False,,
2010-09-23,True,False,,
2010-09-24,True,False,,
2010-09-27,True,False,"(1, 1, 2, 4)",0.07430096931604563
2010-09-28,True,False,"(2, 2, 2, 4)",0.06651944657465464
2010-09-29,True,False,"(2, 2, 4, 4)",0.2032027312435436
2010-09-30,True,False,"(4, 2, 6, 4)",0.3721567410820925
2010-10-01,True,False,"(2, 1, 8, 4)",0.47426661481462745
2010-10-04,True,False,"(1, 1, 7, 4)",0.24813273845284403
2010-10-05,True,False,"(1, 1, 7, 4)",0.3923856120537985
2010-10-06,True,False,"(5, 1, 6, 4)",0.6256570965481257
2010-10-07,True,False,,
2010-10-08,True,False,,
2010-10-11,True,False,,
2010-10-12,True,False,,
2010-10-13,True,False,,
2010-10-14,True,False,"(3, 1, 2, 4)",0.7125768605345683
2010-10-15,True,False,"(3, 1, 2, 4)",0.7606709021270199
2010-10-18,True,False,,
2010-10-19,True,False,,
2010-10-20,True,False,"(5, 1, 6, 4)",0.9919168978448637
2010-10-21,True,False,"(1, 1, 8, 4)",0.98803758024095
2010-10-22,True,False,"(2, 1, 8, 4)",0.9874513719009637
2010-10-25,True,False,"(2, 1, 7, 4)",0.9841387511173616
2010-10-26,True,False,"(5, 1, 8, 4)",0.8674193280926827
2010-10-27,True,False,"(2, 2, 8, 4)",0.9198680743514834
2010-10-28,True,False,"(2, 1, 8, 4)",0.9801197687311408
2010-10-29,True,False,"(5, 1, 7, 4)",0.9118737091866258
2010-11-01,True,False,"(5, 2, 7, 4)",0.8681206147975972
2010-11-02,True,False,"(3, 1, 8, 4)",0.8851215033896649
2010-11-03,True,False,"(3, 1, 8, 4)",0.9710193171331699
