,0,1,2,3,4,5
Start,2010-07-09 00:00:00,2014-07-29 00:00:00,2010-07-09 00:00:00,2017-10-06 00:00:00,2010-07-09 00:00:00,2020-11-25 00:00:00
End,2014-07-28 00:00:00,2017-10-05 00:00:00,2017-10-05 00:00:00,2020-11-24 00:00:00,2020-11-24 00:00:00,2024-10-01 00:00:00
Period,1020 days 00:00:00,805 days 00:00:00,1825 days 00:00:00,790 days 00:00:00,2615 days 00:00:00,967 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0
End Value,1075.538840040293,158.49604088963156,1699.8987116204767,866.6702721566567,13284.688932623845,101.77597913793889
Total Return [%],975.538840040293,58.49604088963156,1599.8987116204767,766.6702721566567,13184.688932623845,1.7759791379388898
Benchmark Return [%],1192.0689954613104,57.91743060531702,1942.1265499135054,678.1046764994945,15859.19556335904,34.85365637945117
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],38.45505383473421,49.312052108869686,49.77275550614923,60.62653853820689,60.6265385382069,74.64007949770183
Max Drawdown Duration,324 days 00:00:00,429 days 00:00:00,648 days 00:00:00,346 days 00:00:00,648 days 00:00:00,729 days 00:00:00
Total Trades,2,6,2,6,2,9
Total Closed Trades,1,5,1,5,1,8
Total Open Trades,1,1,1,1,1,1
Open Trade PnL,987.274041456672,91.36505755140664,1611.6339130368556,804.6622614654802,13196.424134040224,54.288146458246445
Win Rate [%],0.0,20.0,0.0,20.0,0.0,25.0
Best Trade [%],-11.735201416378942,7.188279576654864,-11.735201416378942,1.48826982538084,-11.735201416378942,3.92245793806226
Worst Trade [%],-11.735201416378942,-13.607704819930067,-11.735201416378942,-15.603721353006057,-11.735201416378942,-15.766098518088997
Avg Winning Trade [%],,7.188279576654864,,1.48826982538084,,2.795221985433568
Avg Losing Trade [%],-11.735201416378942,-11.004464191443148,-11.735201416378942,-11.541475393728279,-11.735201416378942,-12.432773659660656
Avg Winning Trade Duration,,13 days 00:00:00,,1 days 00:00:00,,2 days 12:00:00
Avg Losing Trade Duration,21 days 00:00:00,91 days 00:00:00,21 days 00:00:00,93 days 06:00:00,21 days 00:00:00,84 days 08:00:00
Profit Factor,0.0,0.17944994424657681,0.0,0.037696556659412885,0.0,0.0972332964956285
Expectancy,-11.735201416378942,-6.573803332355016,-11.735201416378942,-7.598397861764716,-11.735201416378942,-6.564020915038444
Sharpe Ratio,1.5633824817234125,0.6834524213146759,1.235794435748595,1.653385269220855,1.351063015166182,0.3572256207573391
Calmar Ratio,3.4838093944432855,0.4709385052621995,1.5315996453053122,2.824078236562767,1.6142798843695465,0.008931976749083522
Omega Ratio,1.2690663655876424,1.1034970487365185,1.2068394696156268,1.302129637003325,1.2328815817447556,1.0516099389986522
Sortino Ratio,2.5194483171416064,0.9738875120582353,1.923757687503643,2.5840755707543663,2.1048333991932267,0.5109152437252644
