,0,1,2,3
Start,2013-01-11 00:00:00,2018-11-07 00:00:00,2013-01-11 00:00:00,2021-12-07 00:00:00
End,2018-11-06 00:00:00,2021-12-06 00:00:00,2021-12-06 00:00:00,2024-10-10 00:00:00
Period,1467 days 00:00:00,775 days 00:00:00,2242 days 00:00:00,715 days 00:00:00
Start Value,100.0,100.0,100.0,100.0
End Value,180.8864258388402,79.4168766278204,306.58382074637325,192.92743036347113
Total Return [%],80.88642583884021,-20.5831233721796,206.58382074637328,92.92743036347113
Benchmark Return [%],202.91566871777383,63.05783073740905,413.41079159902654,77.79077176910383
Max Gross Exposure [%],100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0
Max Drawdown [%],39.096943830232995,65.67372332541645,45.089750039990676,19.642201563844335
Max Drawdown Duration,443 days 00:00:00,740 days 00:00:00,719 days 00:00:00,175 days 00:00:00
Total Trades,7,5,7,17
Total Closed Trades,6,4,6,16
Total Open Trades,1,1,1,1
Open Trade PnL,71.86754994421806,29.8331290879481,197.56494485175108,45.18681337083453
Win Rate [%],66.66666666666666,50.0,66.66666666666666,62.5
Best Trade [%],8.848271334637133,3.6535044547662237,8.848271334637133,13.23422309414597
Worst Trade [%],-2.314692775003206,-32.64620249679195,-2.314692775003206,-2.377498364338833
Avg Winning Trade [%],3.1038703674803507,3.444706806382472,3.1038703674803507,4.900982682064261
Avg Losing Trade [%],-1.675411472480981,-31.9251569872954,-1.675411472480981,-1.2998076931417348
Avg Winning Trade Duration,2 days 18:00:00,2 days 00:00:00,2 days 18:00:00,6 days 21:36:00
Avg Losing Trade Duration,1 days 00:00:00,60 days 00:00:00,1 days 00:00:00,3 days 16:00:00
Profit Factor,3.4323766575654022,0.12203348952338786,3.4323766575654022,5.562832486717057
Expectancy,1.503145982437026,-12.604063115031925,1.503145982437026,2.9837885620397877
Sharpe Ratio,0.5915789165218303,0.10390539740655999,0.5987634637960697,1.0384782390208311
Calmar Ratio,0.40641518108420044,-0.15661666668613825,0.44374050845619323,2.0292566959718283
Omega Ratio,1.209073278139682,1.0248092858956561,1.1927228760679731,1.23656301572718
Sortino Ratio,1.02366478809766,0.14322942911076125,1.0162415591748604,1.522092294228548
