,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2004-07-08 00:00:00,2000-01-07 00:00:00,2007-09-07 00:00:00,2000-01-07 00:00:00,2010-10-06 00:00:00,2000-01-07 00:00:00,2014-04-03 00:00:00,2000-01-07 00:00:00,2017-12-28 00:00:00,2000-01-07 00:00:00,2021-08-26 00:00:00
End,2004-07-07 00:00:00,2007-09-06 00:00:00,2007-09-06 00:00:00,2010-10-05 00:00:00,2010-10-05 00:00:00,2014-04-02 00:00:00,2014-04-02 00:00:00,2017-12-27 00:00:00,2017-12-27 00:00:00,2021-08-25 00:00:00,2021-08-25 00:00:00,2024-10-10 00:00:00
Period,1128 days 00:00:00,798 days 00:00:00,1926 days 00:00:00,776 days 00:00:00,2702 days 00:00:00,878 days 00:00:00,3580 days 00:00:00,942 days 00:00:00,4522 days 00:00:00,921 days 00:00:00,5443 days 00:00:00,786 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,127.10071910511364,159.65242385864258,297.2437855113636,9.109934771461056,253.83498313210228,50.37442283040742,275.25730202414775,1.4134569506435355,178.93916459517044,13.765291897108739,48.23146770578682,149.39003071635668
Total Return [%],27.10071910511364,59.65242385864258,197.24378551136363,-90.89006522853894,153.83498313210228,-49.62557716959258,175.25730202414775,-98.58654304935646,78.93916459517044,-86.23470810289126,-51.76853229421317,49.39003071635668
Benchmark Return [%],106.54877542399083,133.966731153634,383.04478788187487,-13.162148932129691,312.50203220601173,6.934723307325563,347.3150038795615,-35.58036403087833,190.79037146877354,-22.11233403710636,126.0567448725959,80.18981889511032
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],52.775902166473365,36.24579310417175,52.775902166473365,94.73268918752098,68.6017055622591,62.73945384108857,68.6017055622591,99.37493441194013,83.44804929246834,97.47723575037678,98.02361891870677,45.39174522217315
Max Drawdown Duration,823 days 00:00:00,233 days 00:00:00,823 days 00:00:00,599 days 00:00:00,823 days 00:00:00,862 days 00:00:00,1477 days 00:00:00,938 days 00:00:00,2419 days 00:00:00,788 days 00:00:00,3340 days 00:00:00,488 days 00:00:00
Total Trades,1,1,1,5,1,2,1,11,1,9,5,1
Total Closed Trades,0,0,0,4,0,1,0,10,0,8,4,0
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,27.10071910511364,59.65242385864258,197.24378551136363,0.2793640079494395,153.83498313210228,-9.008172050732114,175.25730202414775,0.49061319908700807,78.93916459517044,9.884773533726287,34.63472762034735,49.39003071635668
Win Rate [%],,,,0.0,,0.0,,0.0,,0.0,0.0,
Best Trade [%],,,,-42.276711671821396,,-40.61740511886046,,-32.299868382016236,,-18.994170430602093,-18.994170430602093,
Worst Trade [%],,,,-48.90304894702195,,-40.61740511886046,,-41.16110206370935,,-41.114236252779804,-63.39681729403409,
Avg Winning Trade [%],,,,,,,,,,,,
Avg Losing Trade [%],,,,-45.43649582855126,,-40.61740511886046,,-37.366929833719695,,-33.10269669774595,-36.721989317133406,
Avg Winning Trade Duration,,,,,,,,,,,,
Avg Losing Trade Duration,,,,91 days 12:00:00,,227 days 00:00:00,,46 days 00:00:00,,63 days 18:00:00,1268 days 00:00:00,
Profit Factor,,,,0.0,,0.0,,0.0,,0.0,0.0,
Expectancy,,,,-22.792357309122096,,-40.61740511886046,,-9.907715624844348,,-12.014935204577192,-21.600814978640134,
Sharpe Ratio,0.4227081182191822,0.7264839337809831,0.691802779899802,-0.9124063770581695,0.5084277668887298,-0.38192093308077796,0.4600957316721231,-1.6841508900023408,0.3413843956909009,-0.5293171952598095,0.18529173866524987,0.6225554161587864
Calmar Ratio,0.15288817537915,0.6582839338218914,0.4344927614850379,-0.7135460936139921,0.1954668066313804,-0.39532511240379575,0.15852404057519015,-0.8130901435771654,0.05762553915740431,-0.5583712431175596,-0.04868232460877721,0.45140288866954775
Omega Ratio,1.066541012760523,1.1229422188380345,1.1069866885504296,0.8455629002739157,1.0786770248574629,0.9338231155589042,1.070890306211559,0.720163087480846,1.0520959051641832,0.9163056747073015,1.0288383878091432,1.0969875264734943
Sortino Ratio,0.5602547858689684,0.9224086270531752,0.9425095728502016,-1.0753260141206018,0.7071236847472838,-0.4495980998267057,0.641713484512184,-1.8953049374579067,0.4805821080242302,-0.6769921649913182,0.2563099900209694,0.8616984702346515
