,0,1,2,3,4,5
Start,2009-11-17 00:00:00,2013-12-30 00:00:00,2009-11-17 00:00:00,2017-12-14 00:00:00,2009-11-17 00:00:00,2021-04-20 00:00:00
End,2013-12-27 00:00:00,2017-12-13 00:00:00,2017-12-13 00:00:00,2021-04-19 00:00:00,2021-04-19 00:00:00,2024-10-02 00:00:00
Period,1035 days 00:00:00,998 days 00:00:00,2033 days 00:00:00,840 days 00:00:00,2873 days 00:00:00,870 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0
End Value,7.890848154179082,61.06006809675087,5.178880103450055,112.11002055017619,8.302371264072349,108.56217470077094
Total Return [%],-92.10915184582092,-38.93993190324913,-94.82111989654994,12.110020550176188,-91.69762873592765,8.562174700770939
Benchmark Return [%],-65.96879924617818,12.121367363980884,-62.613830644275126,60.515402900461446,-40.06544814081807,2.3121723634026647
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],92.58948707430702,73.78330057226228,97.28431449240564,57.053855394265504,97.28431449240564,53.06135569331115
Max Drawdown Duration,1030 days 00:00:00,864 days 00:00:00,2028 days 00:00:00,370 days 00:00:00,2868 days 00:00:00,619 days 00:00:00
Total Trades,10,5,14,3,14,7
Total Closed Trades,9,4,13,2,13,6
Total Open Trades,1,1,1,1,1,1
Open Trade PnL,-0.6887845881831547,25.77043077702774,2.185748810450274,48.824619312069245,5.3092399710725715,49.6096259159685
Win Rate [%],0.0,0.0,0.0,0.0,0.0,16.666666666666664
Best Trade [%],-3.226961772054821,-18.189331744264553,-3.226961772054821,-18.92363857224717,-3.226961772054821,6.002051546477447
Worst Trade [%],-34.38243559992832,-31.18678453702348,-34.38243559992832,-21.94346154211597,-34.38243559992832,-12.684785978013496
Avg Winning Trade [%],,,,,,6.002051546477447
Avg Losing Trade [%],-23.431349057897897,-22.737344983188564,-23.310909535003702,-20.43355005718157,-23.310909535003702,-11.065947269251968
Avg Winning Trade Duration,,,,,,8 days 00:00:00
Avg Losing Trade Duration,110 days 13:20:00,127 days 18:00:00,117 days 09:13:50.769230770,279 days 12:00:00,117 days 09:13:50.769230770,59 days 00:00:00
Profit Factor,0.0,0.0,0.0,0.0,0.0,0.12756886245706556
Expectancy,-10.157818584181975,-16.177590670069215,-7.462066823615402,-18.35729938094653,-7.462066823615402,-6.841241869199595
Sharpe Ratio,-1.0602964087109605,0.022896735896009147,-0.5168127938530354,0.37859455515892354,-0.1956170928760356,0.30033214829322763
Calmar Ratio,-0.6389725768813864,-0.2237366970157529,-0.4238075711151702,0.08925762066633959,-0.27862944895623715,0.06608817391961953
Omega Ratio,0.8467550471182886,1.0031721394021675,0.9267809704512217,1.0624624096963569,0.9708634701879837,1.0426225483188363
Sortino Ratio,-1.3558468621600939,0.032336338375939154,-0.6915722860931741,0.5303431080357504,-0.26695062416610593,0.4413311333544125
