,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,0.8963786499500217,2009-11-24,111.55999755859376,0.0,2009-11-27,107.95999908447266,0.0,-3.226961772054821,-0.03226961772054821,Long,Closed,0
1,1,0,0.9212970048026712,2009-12-10,105.04000091552734,0.0,2010-01-27,68.92469024658203,0.0,-33.27292754681727,-0.34382435599928324,Long,Closed,1
2,2,0,0.6932326609052074,2010-01-28,91.5999984741211,0.0,2012-05-16,60.913612365722656,0.0,-21.272805095489645,-0.33500422073771086,Long,Closed,2
3,3,0,0.5504080411073181,2012-05-17,76.72000122070312,0.0,2013-02-20,55.96425628662109,0.0,-11.424128910891238,-0.27053890255258545,Long,Closed,3
4,4,0,0.48129963554292227,2013-02-21,64.0,0.0,2013-04-12,49.490509033203125,0.0,-6.98341271423266,-0.22671079635620123,Long,Closed,4
5,5,0,0.46595783368957405,2013-04-15,51.119998931884766,0.0,2013-05-15,38.66557312011719,0.0,-5.803237271098734,-0.2436311829419748,Long,Closed,5
6,6,0,0.41589397082955676,2013-05-16,43.31999969482422,0.0,2013-06-20,32.9700927734375,0.0,-4.304463887251835,-0.23891752064401103,Long,Closed,6
7,7,0,0.3682078996815001,2013-06-21,37.2400016784668,0.0,2013-06-26,29.22027969360352,0.0,-2.9529249880760577,-0.21535235293774174,Long,Closed,7
8,8,0,0.32059408146063073,2013-06-27,33.560001373291016,0.0,2013-12-02,26.761669158935547,0.0,-2.1795050717255062,-0.20257246532075446,Long,Closed,8
9,9,0,0.2904411806518412,2013-12-03,29.540000915527344,0.0,2013-12-27,27.16848945617676,0.0,-0.6887845881831547,-0.08028136038763722,Long,Open,9
