,0,1,2,3
Start,2014-05-28 00:00:00,2017-11-03 00:00:00,2014-05-28 00:00:00,2020-10-30 00:00:00
End,2017-11-02 00:00:00,2020-10-29 00:00:00,2020-10-29 00:00:00,2024-10-03 00:00:00
Period,868 days 00:00:00,752 days 00:00:00,1620 days 00:00:00,987 days 00:00:00
Start Value,100.0,100.0,100.0,100.0
End Value,353.51579232353544,416.00161328288,1744.2686832223596,25.708115462096316
Total Return [%],253.51579232353544,316.00161328288,1644.2686832223596,-74.29188453790368
Benchmark Return [%],52.86520583536001,116.13745813457963,235.10898557177717,-41.43323694117337
Max Gross Exposure [%],100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0
Max Drawdown [%],12.739062925696912,13.23164811603231,13.231648116032293,89.55764339590301
Max Drawdown Duration,105 days 00:00:00,99 days 00:00:00,105 days 00:00:00,913 days 00:00:00
Total Trades,52,46,98,13
Total Closed Trades,51,45,97,12
Total Open Trades,1,1,1,1
Open Trade PnL,-24.51790708467894,83.29613644888917,349.2554778685835,13.246019119466688
Win Rate [%],76.47058823529412,71.11111111111111,74.22680412371135,8.333333333333332
Best Trade [%],13.96059316727351,21.513764670617515,21.513764670617537,4.485808782456282
Worst Trade [%],-4.154992467219559,-5.217792550401927,-5.2177925504019225,-38.359895797684956
Avg Winning Trade [%],3.985042525390207,4.659877410556447,4.381209926778894,4.485808782456282
Avg Losing Trade [%],-1.4039465084014733,-1.7360055383219215,-1.5766172039601072,-17.100004390437594
Avg Winning Trade Duration,5 days 12:55:23.076923076,5 days 06:45:00,5 days 11:20:00,1 days 00:00:00
Avg Losing Trade Duration,2 days 16:00:00,2 days 18:27:41.538461538,2 days 17:16:48,70 days 00:00:00
Profit Factor,9.33831297885228,7.295522215935096,7.876283996734355,0.04488247260720686
Expectancy,5.451641164866948,5.17123281853313,13.35065160158532,-7.294825304780863
Sharpe Ratio,1.257103449109635,1.5046465322723603,1.4393428580091414,-0.34773518296742356
Calmar Ratio,5.499850886330183,7.538910548595411,6.834731414019968,-0.4409257642690398
Omega Ratio,1.351833067209602,1.3848549129011036,1.3874080421861514,0.9479474455764939
Sortino Ratio,1.9173838968877257,2.34543574436162,2.2317251018189475,-0.521350697222168
