,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,3.6192545435178896,2014-07-11,27.6299991607666,0.0,2014-07-18,27.670000076293945,0.0,0.1447734952672164,0.0014477349526721638,Long,Closed,0
1,1,0,3.5386846712038644,2014-08-11,28.299999237060547,0.0,2014-08-15,30.075000762939453,0.0,6.281170690991161,0.06272090366541201,Long,Closed,1
2,2,0,3.4985517396232764,2014-08-18,30.420000076293945,0.0,2014-08-29,32.0,0.0,5.527711481686467,0.051939510839690534,Long,Closed,2
3,3,0,4.626183972663082,2014-10-29,24.200000762939453,0.0,2014-10-30,24.290000915527344,0.0,0.41635726343933754,0.0037190144525003762,Long,Closed,3
4,4,0,4.691858428049281,2014-11-05,23.950000762939453,0.0,2014-11-06,24.479999542236328,0.0,2.4866792394998782,0.022129384651920474,Long,Closed,4
5,5,0,4.703386233089442,2015-01-20,24.420000076293945,0.0,2015-01-22,24.229999542236328,0.0,-0.8936458961662339,-0.007780529625880793,Long,Closed,5
6,6,0,4.657255801904439,2015-01-23,24.46999931335449,0.0,2015-01-30,24.989999771118164,0.0,2.421775148912843,0.021250530133030524,Long,Closed,6
7,7,0,4.540960797290544,2015-02-02,25.6299991607666,0.0,2015-02-09,26.649999618530277,0.0,4.631782091923256,0.039797131922074014,Long,Closed,7
8,8,0,4.53755542442317,2015-02-11,26.670000076293945,0.0,2015-02-24,27.34000015258789,0.0,3.0401624805515297,0.02512186255632919,Long,Closed,8
9,9,0,4.430598785575195,2015-02-26,28.0,0.0,2015-03-04,28.32999992370605,0.0,1.4620972612119374,0.0117857115609304,Long,Closed,9
10,10,0,4.328236664045427,2015-03-18,29.0,0.0,2015-03-31,29.450000762939453,0.0,1.9477098010029579,0.015517267687567367,Long,Closed,10
11,11,0,4.329706886752969,2015-04-02,29.440000534057617,0.0,2015-04-15,33.54999923706055,0.0,17.795089688937566,0.1396059316727351,Long,Closed,11
12,12,0,4.407210764022447,2015-05-07,32.959999084472656,0.0,2015-05-08,34.0,0.0,4.583503229505311,0.03155342671163135,Long,Closed,12
13,13,0,4.4137014023380345,2015-05-18,33.95000076293945,0.0,2015-05-21,34.060001373291016,0.0,0.48550984816671416,0.00324007681530416,Long,Closed,13
14,14,0,4.428002133921425,2015-05-28,33.95000076293945,0.0,2015-05-29,33.880001068115234,0.0,-0.3099587980555043,-0.002061846634791105,Long,Closed,14
15,15,0,4.375057247634584,2015-06-01,34.290000915527344,0.0,2015-06-04,34.08000183105469,0.0,-0.9187580165187228,-0.006124207607634206,Long,Closed,15
16,16,0,5.7858733551336075,2015-09-24,25.770000457763672,0.0,2015-09-29,25.459999084472656,0.0,-1.7936286857793107,-0.012029544733578828,Long,Closed,16
17,17,0,5.506853470077622,2015-09-30,26.75,0.0,2015-10-06,28.13999938964844,0.0,7.654522962291281,0.05196259400554911,Long,Closed,17
