,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2003-09-04 00:00:00,2000-01-10 00:00:00,2007-05-23 00:00:00,2000-01-10 00:00:00,2011-04-28 00:00:00,2000-01-10 00:00:00,2014-07-28 00:00:00,2000-01-10 00:00:00,2017-09-27 00:00:00,2000-01-10 00:00:00,2021-02-08 00:00:00
End,2003-09-03 00:00:00,2007-05-22 00:00:00,2007-05-22 00:00:00,2011-04-27 00:00:00,2011-04-27 00:00:00,2014-07-25 00:00:00,2014-07-25 00:00:00,2017-09-26 00:00:00,2017-09-26 00:00:00,2021-02-05 00:00:00,2021-02-05 00:00:00,2024-10-07 00:00:00
Period,916 days 00:00:00,935 days 00:00:00,1851 days 00:00:00,991 days 00:00:00,2842 days 00:00:00,816 days 00:00:00,3658 days 00:00:00,799 days 00:00:00,4457 days 00:00:00,846 days 00:00:00,5303 days 00:00:00,922 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,145.63234214232853,52.32879115879817,121.29879310521083,26.938408947085037,66.53786290457803,153.68935082348906,168.34052861136652,180.15081886971637,329.01387476961446,72.36917129588406,304.60202096921324,51.45205356598486
Total Return [%],45.632342142328525,-47.67120884120183,21.298793105210834,-73.06159105291496,-33.462137095421966,53.68935082348908,68.34052861136652,80.15081886971637,229.0138747696145,-27.630828704115938,204.60202096921324,-48.54794643401514
Benchmark Return [%],64.11854920344334,-17.416725364127604,36.69616001300084,-18.171747250154503,11.701902391694263,152.14272992697806,182.60536895331066,95.64620469349767,452.33928654627596,-7.684784232349817,411.3573494749995,-37.828879759229515
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],50.05160971115624,52.69954203121628,50.05160971115624,88.76841996217235,85.38329763448202,62.02485916271924,85.38329763448202,30.900847206598677,85.38329763448202,67.21318910493247,85.38329763448202,69.86860381671478
Max Drawdown Duration,665 days 00:00:00,915 days 00:00:00,1600 days 00:00:00,936 days 00:00:00,2591 days 00:00:00,670 days 00:00:00,3407 days 00:00:00,252 days 00:00:00,3438 days 00:00:00,779 days 00:00:00,3438 days 00:00:00,882 days 00:00:00
Total Trades,1,3,1,9,5,4,5,1,5,6,5,7
Total Closed Trades,0,2,0,8,4,3,4,0,4,5,4,6
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,45.632342142328525,-5.414553140017247,21.298793105210834,13.71269000849843,33.8703406585999,105.5517730748975,135.6730063653884,80.15081886971637,296.3463525236363,32.20080648038707,271.9344987232351,12.498341480370954
Win Rate [%],,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Best Trade [%],,-22.757449766026923,,-18.70102512504758,-21.639517925283585,-21.147298197665503,-21.639517925283585,,-21.639517925283585,-7.963018547998716,-21.639517925283585,-12.196410984117973
Worst Trade [%],,-25.244125001172545,,-26.022942362506445,-27.36797928737053,-22.25987617556323,-27.36797928737053,,-27.36797928737053,-22.965918173337123,-27.36797928737053,-16.239597792591553
Avg Winning Trade [%],,,,,,,,,,,,
Avg Losing Trade [%],,-24.000787383599732,,-22.311155816824808,-24.368531779690276,-21.626518645929345,-24.368531779690276,,-24.368531779690276,-16.537632160470437,-24.368531779690276,-14.530878738032197
Avg Winning Trade Duration,,,,,,,,,,,,
Avg Losing Trade Duration,,48 days 12:00:00,,53 days 12:00:00,571 days 00:00:00,20 days 16:00:00,571 days 00:00:00,,571 days 00:00:00,129 days 00:00:00,571 days 00:00:00,112 days 08:00:00
Profit Factor,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Expectancy,,-21.128327850592292,,-10.846785132676672,-16.833119438505467,-17.287474083802806,-16.833119438505467,,-16.833119438505467,-11.966327036900603,-16.833119438505467,-10.174381319064349
Sharpe Ratio,0.5517111040113545,-0.5771241743633317,0.3049438172672733,-0.5964295236674958,0.1239235704629712,0.7146005839980185,0.34014276957677164,0.9186381329706079,0.44372510416487027,-0.04917456102202417,0.3955222651080097,-0.40697725389223355
Calmar Ratio,0.32285075858573736,-0.423891552725242,0.07753803740063776,-0.4315999762054057,-0.059704038010633745,0.3417258790323878,0.06247357758086083,0.9984157640321499,0.11998137587526558,-0.19375337056814512,0.09331968921870609,-0.33106606621719925
Omega Ratio,1.0820855620878296,0.9164493554352608,1.045685067134328,0.9135973895161953,1.0185546891430388,1.1113671862270664,1.0515665014738864,1.146183822740299,1.0678731375713462,0.9921229372579066,1.0613629524809107,0.9439301788122104
Sortino Ratio,0.7884204508856718,-0.7727979450467057,0.4381877151777675,-0.7924673526214806,0.17455293704160835,0.9492993050807315,0.48108268303466517,1.2912291198024963,0.6282834235645725,-0.06864417556717568,0.5605888426406683,-0.5586856026682855
