,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2006-12-29 00:00:00,2000-01-10 00:00:00,2009-11-16 00:00:00,2000-01-10 00:00:00,2012-07-13 00:00:00,2000-01-10 00:00:00,2015-08-20 00:00:00,2000-01-10 00:00:00,2018-06-08 00:00:00,2000-01-10 00:00:00,2021-07-14 00:00:00
End,2006-12-28 00:00:00,2009-11-13 00:00:00,2009-11-13 00:00:00,2012-07-12 00:00:00,2012-07-12 00:00:00,2015-08-19 00:00:00,2015-08-19 00:00:00,2018-06-07 00:00:00,2018-06-07 00:00:00,2021-07-13 00:00:00,2021-07-13 00:00:00,2024-10-10 00:00:00
Period,1753 days 00:00:00,725 days 00:00:00,2478 days 00:00:00,669 days 00:00:00,3147 days 00:00:00,780 days 00:00:00,3927 days 00:00:00,705 days 00:00:00,4632 days 00:00:00,779 days 00:00:00,5411 days 00:00:00,817 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,1.2176205448273691,95.76192175705413,1.8913213112803362,106.04629210200176,2.978047098570201,90.74693280898902,3.620131061479327,158.98810525015614,6.607169542418319,139.88548746372578,9.899417682465966,129.0218614130241
Total Return [%],-98.78237945517263,-4.238078242945875,-98.10867868871966,6.0462921020017575,-97.0219529014298,-9.253067191010985,-96.37986893852067,58.98810525015614,-93.39283045758168,39.885487463725795,-90.10058231753403,29.021861413024112
Benchmark Return [%],23.240743708257618,55.434349328647656,91.42896855975187,55.14045016849691,201.42127675584317,21.086333187167128,266.4094255253634,84.96348239609743,568.7407597328518,50.33401751912878,901.9637091773566,37.99268829199423
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],99.68576533634888,40.36426874569126,99.68576533634888,34.347276802522586,99.68576533634888,31.366044725659,99.68576533634888,19.68251241684775,99.68576533634888,36.898578909587584,99.68576533634888,17.22533378583924
Max Drawdown Duration,1751 days 00:00:00,720 days 00:00:00,2476 days 00:00:00,427 days 00:00:00,3145 days 00:00:00,753 days 00:00:00,3925 days 00:00:00,199 days 00:00:00,4630 days 00:00:00,249 days 00:00:00,5409 days 00:00:00,163 days 00:00:00
Total Trades,9,1,9,1,9,2,9,2,9,2,9,1
Total Closed Trades,8,0,8,0,8,1,8,1,8,1,8,0
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,0.595970560149464,-4.238078242945875,1.2696713266024338,6.0462921020017575,2.3563971138922937,-9.480155812488462,2.9984810768014167,55.90521130400734,5.985519557740408,39.860072309952486,9.277767697788057,29.021861413024112
Win Rate [%],0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,
Best Trade [%],-2.489019033674964,,-2.489019033674964,,-2.489019033674964,0.22708862147747771,-2.489019033674964,3.0828939461488005,-2.489019033674964,0.02541515377330938,-2.489019033674964,
Worst Trade [%],-53.904951008835276,,-53.904951008835276,,-53.904951008835276,0.22708862147747771,-53.904951008835276,3.0828939461488005,-53.904951008835276,0.02541515377330938,-53.904951008835276,
Avg Winning Trade [%],,,,,,0.22708862147747771,,3.0828939461488005,,0.02541515377330938,,
Avg Losing Trade [%],-45.28807613570594,,-45.28807613570594,,-45.28807613570594,,-45.28807613570594,,-45.28807613570594,,-45.28807613570594,
Avg Winning Trade Duration,,,,,,1 days 00:00:00,,1 days 00:00:00,,7 days 00:00:00,,
Avg Losing Trade Duration,91 days 09:00:00,,91 days 09:00:00,,91 days 09:00:00,,91 days 09:00:00,,91 days 09:00:00,,91 days 09:00:00,
Profit Factor,0.0,,0.0,,0.0,inf,0.0,inf,0.0,inf,0.0,
Expectancy,-12.42229375191526,,-12.42229375191526,,-12.42229375191526,0.22708862147747766,-12.42229375191526,3.0828939461488005,-12.42229375191526,0.025415153773309385,-12.42229375191526,
Sharpe Ratio,-0.6838478271802989,0.19245877857748978,-0.4410851493618169,0.28985398525341144,-0.29573585810891745,0.10334372463950715,-0.22516741168122847,0.8913952973911032,-0.10701094937941738,0.6196219614668214,-0.026087342574048916,0.6523387143649179
Calmar Ratio,-0.6025229558003097,-0.0534282274763014,-0.4439860407949184,0.09476043944357228,-0.3357800241774387,-0.14161484252937384,-0.26625717972956037,1.3784488312409382,-0.193339749265008,0.4615681870020948,-0.14489888356977734,0.699965654880055
Omega Ratio,0.8229933966481354,1.0357238863928717,0.8906297085937802,1.0685181907360322,0.9251772879167547,1.0329303077015144,0.9422514172835523,1.2324569290879261,0.972463536987301,1.131737588930972,0.9934169204579841,1.0976395523689448
Sortino Ratio,-0.8209825488741358,0.23110612245323578,-0.5353394296149805,0.32322848944450133,-0.36016205609126317,0.14672389078108833,-0.2749116538411401,1.2872273086627128,-0.13124983610078825,0.8747707086131832,-0.032281224182115556,0.934269905620076
