,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-11 00:00:00,2005-09-01 00:00:00,2000-01-11 00:00:00,2009-02-03 00:00:00,2000-01-11 00:00:00,2012-01-19 00:00:00,2000-01-11 00:00:00,2015-04-16 00:00:00,2000-01-11 00:00:00,2018-03-02 00:00:00,2000-01-11 00:00:00,2021-07-13 00:00:00
End,2005-08-31 00:00:00,2009-02-02 00:00:00,2009-02-02 00:00:00,2012-01-18 00:00:00,2012-01-18 00:00:00,2015-04-15 00:00:00,2015-04-15 00:00:00,2018-03-01 00:00:00,2018-03-01 00:00:00,2021-07-12 00:00:00,2021-07-12 00:00:00,2024-10-10 00:00:00
Period,1418 days 00:00:00,860 days 00:00:00,2278 days 00:00:00,746 days 00:00:00,3024 days 00:00:00,814 days 00:00:00,3838 days 00:00:00,725 days 00:00:00,4563 days 00:00:00,846 days 00:00:00,5409 days 00:00:00,818 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,1547.2720031210174,215.53159372236072,3334.8600075466243,357.7444818893391,12201.563910316887,230.3541590064298,28106.809931242537,278.10036145868224,78165.14001329029,444.1531183716811,420717.687459207,291.4578485425084
Total Return [%],1447.2720031210174,115.53159372236072,3234.8600075466243,257.7444818893391,12101.563910316887,130.3541590064298,28006.809931242537,178.10036145868224,78065.14001329029,344.1531183716811,420617.68745920697,191.45784854250837
Benchmark Return [%],72.02806600416542,-29.448999998360026,17.974551322316223,127.95952168725337,172.44690223458184,48.724679631154075,301.59138569564686,90.49382784418331,667.2965650309592,68.1705815098769,1223.2711223869237,13.81203262284949
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],56.01937382574707,44.62270566564926,56.01937382574707,36.23806785813389,56.01937382574707,26.250272385192048,56.01937382574707,18.975022747506998,56.01937382574707,19.54727261080062,56.01937382574707,27.63091744378458
Max Drawdown Duration,216 days 00:00:00,140 days 00:00:00,216 days 00:00:00,45 days 00:00:00,216 days 00:00:00,37 days 00:00:00,216 days 00:00:00,46 days 00:00:00,216 days 00:00:00,64 days 00:00:00,216 days 00:00:00,151 days 00:00:00
Total Trades,93,57,150,52,203,52,255,62,317,79,395,41
Total Closed Trades,93,57,150,52,203,52,255,61,316,79,395,40
Total Open Trades,0,0,0,0,0,0,0,1,1,0,0,1
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.783654090899404,-5279.485953471158,0.0,0.0,0.11305120360452747
Win Rate [%],70.96774193548387,61.40350877192983,67.33333333333333,71.15384615384616,68.4729064039409,69.23076923076923,68.62745098039215,65.57377049180327,68.0379746835443,63.29113924050633,67.34177215189874,70.0
