,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2006-01-09 00:00:00,2000-01-10 00:00:00,2009-03-10 00:00:00,2000-01-10 00:00:00,2012-02-09 00:00:00,2000-01-10 00:00:00,2015-01-20 00:00:00,2000-01-10 00:00:00,2018-05-25 00:00:00,2000-01-10 00:00:00,2021-08-27 00:00:00
End,2006-01-06 00:00:00,2009-03-09 00:00:00,2009-03-09 00:00:00,2012-02-08 00:00:00,2012-02-08 00:00:00,2015-01-16 00:00:00,2015-01-16 00:00:00,2018-05-24 00:00:00,2018-05-24 00:00:00,2021-08-26 00:00:00,2021-08-26 00:00:00,2024-10-10 00:00:00
Period,1507 days 00:00:00,796 days 00:00:00,2303 days 00:00:00,737 days 00:00:00,3040 days 00:00:00,739 days 00:00:00,3779 days 00:00:00,844 days 00:00:00,4623 days 00:00:00,820 days 00:00:00,5443 days 00:00:00,785 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,26.541033381188385,8.367453977093788,27.665424737170156,83.22780381422272,61.312361340021475,97.36489689445878,131.09413048323353,33.195190754807584,156.29012238943776,20.225929541304126,171.61391357715635,120.00234447963732
Total Return [%],-73.45896661881162,-91.63254602290621,-72.33457526282984,-16.772196185777275,-38.687638659978525,-2.6351031055412193,31.094130483233528,-66.80480924519242,56.290122389437755,-79.77407045869587,71.61391357715635,20.002344479637316
Benchmark Return [%],340.1951174128827,3.921714687245803,358.84365976071706,111.74144310140828,916.8934159911465,110.4566698769493,2074.2558148134403,17.49225476826204,2492.142807237285,10.31790631826983,2746.294857920778,30.932831960714392
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],94.87425577726295,92.66152221537692,94.87425577726295,62.28744409658952,94.87425577726295,53.81532229831221,94.87425577726295,74.52820142972962,94.87425577726295,88.49377560179056,94.87425577726295,25.825036387383214
Max Drawdown Duration,1396 days 00:00:00,774 days 00:00:00,2192 days 00:00:00,700 days 00:00:00,2929 days 00:00:00,736 days 00:00:00,3617 days 00:00:00,827 days 00:00:00,3617 days 00:00:00,818 days 00:00:00,3617 days 00:00:00,543 days 00:00:00
Total Trades,6,1,6,3,6,1,6,2,6,5,6,4
Total Closed Trades,5,0,5,2,5,0,5,1,5,4,5,3
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-93.22379660467871,-91.63254602290621,-92.09940524869695,-20.32019742599614,-58.452468645845634,-2.6351031055412193,11.329300497366418,-13.995173769787577,36.525292403570646,2.8246988459330176,51.849083591289244,14.855366286741472
Win Rate [%],40.0,,40.0,100.0,40.0,,40.0,0.0,40.0,0.0,40.0,100.0
Best Trade [%],24.41176470588234,,24.41176470588234,2.9932788393253915,24.41176470588234,,24.41176470588234,-52.80963547540484,24.41176470588234,-0.23045748708894112,24.41176470588234,4.125479439569005
Worst Trade [%],-3.692307692307692,,-3.692307692307692,0.5386005835962067,-3.692307692307692,,-3.692307692307692,-52.80963547540484,-3.692307692307692,-45.74351422071142,-3.692307692307692,0.24553708085905596
Avg Winning Trade [%],13.295470730665143,,13.295470730665143,1.765939711460799,13.295470730665143,,13.295470730665143,,13.295470730665143,,13.295470730665143,1.7015682205681786
Avg Losing Trade [%],-1.9580284652917834,,-1.9580284652917834,,-1.9580284652917834,,-1.9580284652917834,-52.80963547540484,-1.9580284652917834,-33.14387259613712,-1.9580284652917834,
Avg Winning Trade Duration,14 days 12:00:00,,14 days 12:00:00,7 days 12:00:00,14 days 12:00:00,,14 days 12:00:00,,14 days 12:00:00,,14 days 12:00:00,7 days 08:00:00
Avg Losing Trade Duration,2 days 08:00:00,,2 days 08:00:00,,2 days 08:00:00,,2 days 08:00:00,78 days 00:00:00,2 days 08:00:00,108 days 12:00:00,2 days 08:00:00,
Profit Factor,4.414695760953056,,4.414695760953056,inf,4.414695760953056,,4.414695760953056,0.0,4.414695760953056,0.0,4.414695760953056,inf
Expectancy,3.952965997173423,,3.952965997173423,1.7740006201094332,3.952965997173423,,3.952965997173423,-52.80963547540483,3.952965997173423,-20.64969232615722,3.952965997173423,1.715659397631948
Sharpe Ratio,1.049840848457072,-0.47376074761307996,0.8503688076260092,0.6027837323099876,0.7475351255415296,0.2820042543264623,0.6767850308044472,-0.6659374744176931,0.6135113174150677,-0.5192495818617393,0.5668194235345704,0.42109051731185615
Calmar Ratio,-0.28962305414226003,-0.7332065664306155,-0.1942120136394745,-0.13953297681647106,-0.060125076545881194,-0.0243480982471233,0.02792669710891024,-0.5089343100584148,0.03782360683233439,-0.5752287851302099,0.03887317478789608,0.3426156830361542
Omega Ratio,6.774990648545495,0.8540872154069755,5.479569532024482,1.517150474500205,4.996243126311393,1.0886275015186828,4.656109085021724,0.8211813842178738,4.207910350493149,0.8649654379701629,3.7015263024461014,1.1246081115982187
Sortino Ratio,17.010484206437514,-0.4994174686843778,13.657020160362558,1.3874065269933007,11.971046589549658,0.297380827794968,10.815578533801812,-0.6972442620569791,9.753464236545954,-0.6720624148941405,8.909845049943351,0.6154429659574736
