Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-06,False,True,,
2000-01-07,False,True,,
2000-01-10,False,True,,
2000-01-11,False,True,,
2000-01-12,True,False,"(1, 1, 8, 2)",0.8640268335561707
2000-01-13,True,False,"(1, 1, 8, 5)",0.12210416528704958
2000-01-14,True,False,"(3, 1, 8, 2)",0.15905781049232665
2000-01-18,False,True,,
2000-01-19,True,False,"(3, 1, 7, 2)",0.7347311651387799
2000-01-20,True,False,"(1, 1, 8, 2)",0.7145325318047174
2000-01-21,True,False,"(2, 1, 8, 2)",0.6952098218602646
2000-01-24,False,True,,
2000-01-25,False,True,,
2000-01-26,True,False,"(1, 1, 8, 2)",0.8416715073409952
2000-01-27,False,True,"(1, 1, 8, 2)",0.4802089054054971
2000-01-28,False,True,"(1, 1, 8, 2)",0.05480035575482929
2000-01-31,False,True,"(1, 1, 8, 2)",0.05252741954571561
2000-02-01,False,True,"(5, 1, 8, 2)",0.039709116816521915
2000-02-02,False,True,"(2, 1, 2, 2)",0.050436672740612455
2000-02-03,False,True,"(5, 1, 2, 2)",0.04785843912085971
2000-02-04,False,True,,
2000-02-07,False,True,"(5, 1, 8, 2)",0.06752180024274947
2000-02-08,False,True,"(1, 1, 2, 2)",0.07009338330817688
2000-02-09,False,True,,
2000-02-10,False,True,,
2000-02-11,False,True,,
2000-02-14,False,True,,
2000-02-15,False,True,,
2000-02-16,False,True,,
2000-02-17,False,True,,
2000-02-18,False,True,,
2000-02-22,False,True,,
2000-02-23,False,True,"(2, 1, 2, 5)",0.08313854297853102
2000-02-24,False,True,,
2000-02-25,False,True,,
2000-02-28,False,True,,
2000-02-29,False,True,,
2000-03-01,False,True,,
2000-03-02,False,True,,
2000-03-03,False,True,,
2000-03-06,False,True,,
2000-03-07,False,True,,
2000-03-08,False,True,,
2000-03-09,True,False,"(1, 1, 2, 5)",0.6987353348995698
2000-03-10,True,False,"(5, 1, 2, 5)",0.2503255713414284
2000-03-13,True,False,"(3, 1, 2, 5)",0.37135030312734757
2000-03-14,True,False,"(5, 1, 2, 2)",0.4898650718882101
2000-03-15,True,False,"(4, 1, 2, 5)",0.22549021785115728
2000-03-16,True,False,"(1, 1, 2, 5)",0.5913800871343039
2000-03-17,True,False,"(5, 1, 2, 5)",0.28886393367236013
2000-03-20,True,False,"(5, 1, 2, 5)",0.353427783934285
2000-03-21,True,False,"(3, 1, 2, 5)",0.17287889826023617
2000-03-22,True,False,"(1, 1, 2, 5)",0.17474702354832405
2000-03-23,True,False,"(5, 1, 2, 5)",0.38713341683770225
2000-03-24,True,False,,
2000-03-27,True,False,,
2000-03-28,True,False,,
2000-03-29,True,False,"(1, 1, 2, 5)",0.6477763418518402
2000-03-30,True,False,"(1, 1, 2, 3)",0.5517621264905574
