,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-06 00:00:00,2005-09-01 00:00:00,2000-01-06 00:00:00,2008-08-01 00:00:00,2000-01-06 00:00:00,2011-11-01 00:00:00,2000-01-06 00:00:00,2015-01-09 00:00:00,2000-01-06 00:00:00,2018-07-25 00:00:00,2000-01-06 00:00:00,2021-08-17 00:00:00
End,2005-08-31 00:00:00,2008-07-31 00:00:00,2008-07-31 00:00:00,2011-10-31 00:00:00,2011-10-31 00:00:00,2015-01-08 00:00:00,2015-01-08 00:00:00,2018-07-24 00:00:00,2018-07-24 00:00:00,2021-08-16 00:00:00,2021-08-16 00:00:00,2024-10-10 00:00:00
Period,1421 days 00:00:00,733 days 00:00:00,2154 days 00:00:00,820 days 00:00:00,2974 days 00:00:00,801 days 00:00:00,3775 days 00:00:00,891 days 00:00:00,4666 days 00:00:00,771 days 00:00:00,5437 days 00:00:00,793 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,0.39933275074152164,69.3173789182289,0.5151971330840865,6.052258896464878,0.6307217513226675,136.03535347948,1.2951560401213982,72.34980452264013,1.4606235424827219,113.73247060097458,2.0564993777837657,147.00396424789955
Total Return [%],-99.60066724925848,-30.682621081771106,-99.48480286691591,-93.94774110353512,-99.36927824867733,36.035353479479994,-98.7048439598786,-27.650195477359873,-98.53937645751728,13.732470600974581,-97.94350062221623,47.003964247899546
Benchmark Return [%],-48.4666050049838,28.19708201522324,-33.514450517214996,21.098271279271287,-18.606142164636918,107.99777288660385,67.13827671740123,13.298681163255655,88.49165217230748,38.45995823788104,165.38868786881267,52.84796009635673
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],99.6504495367734,50.173262978967145,99.6504495367734,96.56198608064092,99.65722943550504,36.3258725149254,99.65722943550504,49.36454323729814,99.65722943550504,27.261456256559878,99.65722943550504,20.16788967602026
Max Drawdown Duration,1417 days 00:00:00,376 days 00:00:00,2150 days 00:00:00,818 days 00:00:00,2970 days 00:00:00,395 days 00:00:00,3771 days 00:00:00,848 days 00:00:00,4662 days 00:00:00,408 days 00:00:00,5433 days 00:00:00,165 days 00:00:00
Total Trades,9,1,9,5,9,1,9,2,9,1,9,2
Total Closed Trades,8,0,8,4,8,0,8,1,8,0,8,1
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-0.3660974573788773,-30.682621081771103,-0.25023307503631353,0.16038012829857973,-0.1347084567977237,36.035353479479994,0.5297258320010069,5.614894461898672,0.6951933343623177,13.73247060097458,1.2910691696633734,45.44491733691473
Win Rate [%],12.5,,12.5,0.0,12.5,,12.5,0.0,12.5,,12.5,100.0
Best Trade [%],3.2478613600849986,,3.2478613600849986,-49.32282602172478,3.2478613600849986,,3.2478613600849986,-33.265089939258544,3.2478613600849986,,3.2478613600849986,1.5590469109848186
Worst Trade [%],-63.996417191911036,,-63.996417191911036,-52.694355400749714,-63.996417191911036,,-63.996417191911036,-33.265089939258544,-63.996417191911036,,-63.996417191911036,1.5590469109848186
Avg Winning Trade [%],3.2478613600849986,,3.2478613600849986,,3.2478613600849986,,3.2478613600849986,,3.2478613600849986,,3.2478613600849986,1.5590469109848186
Avg Losing Trade [%],-45.086232904210775,,-45.086232904210775,-50.71654327092862,-45.086232904210775,,-45.086232904210775,-33.265089939258544,-45.086232904210775,,-45.086232904210775,
Avg Winning Trade Duration,1 days 00:00:00,,1 days 00:00:00,,1 days 00:00:00,,1 days 00:00:00,,1 days 00:00:00,,1 days 00:00:00,6 days 00:00:00
Avg Losing Trade Duration,167 days 00:00:00,,167 days 00:00:00,36 days 06:00:00,167 days 00:00:00,,167 days 00:00:00,136 days 00:00:00,167 days 00:00:00,,167 days 00:00:00,
Profit Factor,0.030100644836584305,,0.030100644836584305,0.0,0.030100644836584305,,0.030100644836584305,0.0,0.030100644836584305,,0.030100644836584305,inf
Expectancy,-12.40432122398495,,-12.40432122398495,-23.527030307958427,-12.40432122398495,,-12.40432122398495,-33.265089939258544,-12.40432122398495,,-12.40432122398495,1.5590469109848186
Sharpe Ratio,-0.17932918644981963,-0.08693872420891502,-0.09728023467008606,-1.1478315022915722,-0.03950161202620301,0.6313275981981098,0.03938099787114113,-0.2315281656451417,0.051478766023423196,0.3549137976268894,0.08122151973078984,0.7752565121784306
Calmar Ratio,-0.7606251940928667,-0.3324575286618635,-0.5925382165089053,-0.7384386061133597,-0.4645936233821411,0.41442105203802504,-0.3443050777768714,-0.2515433255947089,-0.2824791910363679,0.23040484316996196,-0.2303191361533205,0.9621085738096525
Omega Ratio,0.9232120243441071,0.9806653865255245,0.959227575127376,0.7503240078126051,0.9848878662516789,1.1345826776380652,1.015222757590837,0.9539826797562028,1.0195546406100762,1.0591834514300467,1.029909027790395,1.1339604752331889
Sortino Ratio,-0.3094563153728922,-0.09702981623437977,-0.16668670095085747,-1.2406833420958716,-0.06727071716975526,0.7439607587378788,0.06701328267857279,-0.27527290800402077,0.08742555036952422,0.472603914075358,0.13748642191421817,1.0862528418900645
