,0,1,2,3
Start,2013-01-24 00:00:00,2018-01-18 00:00:00,2013-01-24 00:00:00,2021-05-04 00:00:00
End,2018-01-17 00:00:00,2021-05-03 00:00:00,2021-05-03 00:00:00,2024-10-10 00:00:00
Period,1255 days 00:00:00,828 days 00:00:00,2083 days 00:00:00,866 days 00:00:00
Start Value,100.0,100.0,100.0,100.0
End Value,204.66161026069295,60.96688993617462,106.21403035831264,83.77133956590143
Total Return [%],104.66161026069297,-39.03311006382538,6.214030358312641,-16.228660434098572
Benchmark Return [%],116.70932223430826,-47.0098535327365,14.040219740507487,-23.900824933013098
Max Gross Exposure [%],100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0
Max Drawdown [%],46.04767498204083,84.6547584623548,87.27034702542905,69.59516621128266
Max Drawdown Duration,555 days 00:00:00,324 days 00:00:00,1383 days 00:00:00,735 days 00:00:00
Total Trades,1,9,4,8
Total Closed Trades,0,8,3,7
Total Open Trades,1,1,1,1
Open Trade PnL,104.66161026069295,43.19872612298407,75.2590596743659,42.795436701934946
Win Rate [%],,0.0,0.0,14.285714285714285
Best Trade [%],,-10.202655453074257,-22.365706306151502,10.306015735927943
Worst Trade [%],,-41.71042741636965,-41.71042741636963,-21.314384593771997
Avg Winning Trade [%],,,,10.306015735927943
Avg Losing Trade [%],,-18.65079414502462,-31.890479090511093,-14.956461949638525
Avg Winning Trade Duration,,,,21 days 00:00:00
Avg Losing Trade Duration,,65 days 00:00:00,596 days 16:00:00,33 days 08:00:00
Profit Factor,,0.0,0.0,0.14865136243122878
Expectancy,,-10.278979523351182,-23.015009772017752,-8.432013876576217
Sharpe Ratio,0.7541751417876074,0.2226640835624501,0.3412430009439067,0.2368366790395945
Calmar Ratio,0.5029021892204056,-0.23150930254585617,0.01216884818335741,-0.10333740923403538
Omega Ratio,1.1178145073486172,1.0434875223973257,1.066470662190952,1.0361870372788726
Sortino Ratio,1.089376634957704,0.3263768488221129,0.4966611652293901,0.3415151810725292
