,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-05-15 00:00:00,2005-06-03 00:00:00,2000-05-15 00:00:00,2009-01-30 00:00:00,2000-05-15 00:00:00,2012-02-06 00:00:00,2000-05-15 00:00:00,2015-04-24 00:00:00,2000-05-15 00:00:00,2018-08-28 00:00:00,2000-05-15 00:00:00,2021-08-05 00:00:00
End,2005-06-02 00:00:00,2009-01-29 00:00:00,2009-01-29 00:00:00,2012-02-03 00:00:00,2012-02-03 00:00:00,2015-04-23 00:00:00,2015-04-23 00:00:00,2018-08-27 00:00:00,2018-08-27 00:00:00,2021-08-04 00:00:00,2021-08-04 00:00:00,2024-10-07 00:00:00
Period,1269 days 00:00:00,921 days 00:00:00,2190 days 00:00:00,760 days 00:00:00,2950 days 00:00:00,808 days 00:00:00,3758 days 00:00:00,843 days 00:00:00,4601 days 00:00:00,739 days 00:00:00,5340 days 00:00:00,798 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,15.323218255992586,109.33708989926801,14.779599682804843,247.05881677959357,31.39390820236582,143.84287047502374,41.62071266290112,185.76198145358916,73.04859773488768,259.5852783486053,155.16880580448108,166.33129046812152
Total Return [%],-84.67678174400741,9.337089899268008,-85.22040031719516,147.05881677959357,-68.60609179763418,43.842870475023744,-58.37928733709889,85.76198145358916,-26.95140226511232,159.5852783486053,55.16880580448108,66.33129046812152
Benchmark Return [%],-79.20460989564572,-2.9017882564162822,-79.94236355212647,121.58272427011903,-57.39481373547816,33.733626681891835,-43.515850144092084,85.02581937818591,-0.8645533141204531,111.33732938012399,110.58212412193913,58.61221959378984
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],97.34404041281844,76.50587151837162,97.34404041281844,44.18999198476775,97.34404041281844,35.806261070836946,97.34404041281844,41.9354508995986,97.34404041281844,64.06850517731898,97.34404041281844,43.88934815365681
Max Drawdown Duration,1249 days 00:00:00,319 days 00:00:00,2170 days 00:00:00,309 days 00:00:00,2930 days 00:00:00,478 days 00:00:00,3738 days 00:00:00,335 days 00:00:00,4581 days 00:00:00,222 days 00:00:00,5178 days 00:00:00,298 days 00:00:00
Total Trades,23,4,23,1,23,4,23,5,23,4,23,1
Total Closed Trades,22,3,22,0,22,3,22,4,22,3,22,0
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,12.061513499804711,41.47268658577923,11.517894926616975,147.05881677959357,28.13220344617794,74.21118090566655,38.359007906713245,124.67652839475042,69.7868929786998,197.68722965851208,151.9071010482932,66.33129046812152
Win Rate [%],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Best Trade [%],-7.536231503469615,-11.34904070984409,-7.536231503469615,,-7.536231503469615,-10.533332824707035,-7.536231503469615,-3.294114505543417,-7.536231503469615,-7.372545728496475,-7.536231503469615,
Worst Trade [%],-27.27272727272728,-12.91290805376545,-27.27272727272728,,-27.27272727272728,-12.22606612977846,-27.27272727272728,-18.512658932197155,-27.27272727272728,-20.35815190675096,-27.27272727272728,
Avg Winning Trade [%],,,,,,,,,,,,
Avg Losing Trade [%],-14.247239675718173,-12.119574715314297,-14.247239675718173,,-14.247239675718173,-11.362901428762843,-14.247239675718173,-11.428639418730972,-14.247239675718173,-14.608046879482165,-14.247239675718173,
Avg Winning Trade Duration,,,,,,,,,,,,
Avg Losing Trade Duration,25 days 18:32:43.636363636,282 days 00:00:00,25 days 18:32:43.636363636,,25 days 18:32:43.636363636,49 days 16:00:00,25 days 18:32:43.636363636,48 days 00:00:00,25 days 18:32:43.636363636,116 days 16:00:00,25 days 18:32:43.636363636,
Profit Factor,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Expectancy,-4.3971952383550965,-10.711865562170408,-4.3971952383550965,,-4.3971952383550965,-10.122770143547603,-4.3971952383550965,-9.728636735290316,-4.3971952383550965,-12.700650436635597,-4.3971952383550965,
Sharpe Ratio,0.059719483496159485,0.3946856009628704,0.14181039724701724,1.0525644690325249,0.27150411219891446,0.6229696521181264,0.2885749836976959,0.8428444596506757,0.33483552072729583,1.0401443813530669,0.40661835774889316,0.6860996928426765
Calmar Ratio,-0.4283565066035021,0.047068099317618926,-0.2803178374726763,1.2310499342807981,-0.13719018401019584,0.49846869114234144,-0.08384131766736311,0.7333455492393263,-0.025276959973072995,0.9393592319260052,0.031317249313978966,0.5970398192454023
Omega Ratio,1.00894954044111,1.0611085885579574,1.0217920303734365,1.1619053561029078,1.0423452164599283,1.0955576199656454,1.046341192615835,1.1265657742562407,1.0543621956700173,1.1758689453134916,1.0661965398951008,1.0994753267761401
Sortino Ratio,0.08981725985682294,0.5983015673095725,0.21327141781561518,1.5746663870188624,0.4075337155316018,0.8843518707992133,0.43182362953688563,1.2099286077679763,0.4995971131006841,1.4957147268874391,0.6052827757681984,1.0091978001019095
