Date,entry_signal,exit_signal,max_combs,max_probs
2008-03-24,False,True,,
2008-03-25,False,True,,
2008-03-26,False,True,,
2008-03-27,False,True,,
2008-03-28,False,True,"(1, 1, 7, 2)",0.1331645958439034
2008-03-31,False,True,,
2008-04-01,False,True,,
2008-04-02,False,True,,
2008-04-03,False,True,"(2, 1, 7, 2)",0.06380187808735176
2008-04-04,False,True,"(2, 1, 2, 2)",0.06256559315152102
2008-04-07,False,True,"(4, 2, 2, 2)",0.19955034233022126
2008-04-08,False,True,"(5, 2, 2, 2)",0.3274752351758491
2008-04-09,False,True,,
2008-04-10,False,True,,
2008-04-11,False,True,,
2008-04-14,False,True,,
2008-04-15,False,True,,
2008-04-16,True,False,"(1, 1, 7, 2)",0.9851662871290124
2008-04-17,True,False,"(1, 1, 7, 2)",0.9747388050731227
2008-04-18,True,False,"(2, 2, 2, 2)",0.9710644520474827
2008-04-21,True,False,"(3, 3, 2, 2)",0.6130582133103526
2008-04-22,True,False,"(2, 2, 7, 2)",0.14179930914410288
2008-04-23,True,False,"(2, 1, 2, 2)",0.10210034253516403
2008-04-24,True,False,"(2, 1, 2, 2)",0.08299293250557199
2008-04-25,True,False,"(5, 3, 2, 2)",0.14553434743844892
2008-04-28,False,True,"(5, 2, 2, 2)",0.2041281147316136
2008-04-29,False,True,"(4, 1, 2, 2)",0.21694189643064016
2008-04-30,False,True,,
2008-05-01,False,True,,
2008-05-02,False,True,"(3, 1, 7, 2)",0.4395974022307793
2008-05-05,True,False,"(4, 1, 7, 2)",0.5122599072720376
2008-05-06,False,True,"(5, 1, 2, 2)",0.4817977796892188
2008-05-07,False,True,"(2, 1, 2, 2)",0.33010057944409954
2008-05-08,False,True,"(2, 1, 2, 2)",0.16770483656152504
2008-05-09,False,True,"(3, 2, 2, 2)",0.08249296769480328
2008-05-12,False,True,"(4, 2, 2, 2)",0.09033201068390939
2008-05-13,False,True,"(4, 1, 2, 2)",0.025850057840242458
