,0,1,2,3,4,5,6,7
Start,2008-03-24 00:00:00,2012-06-19 00:00:00,2008-03-24 00:00:00,2015-08-11 00:00:00,2008-03-24 00:00:00,2018-09-18 00:00:00,2008-03-24 00:00:00,2021-08-16 00:00:00
End,2012-06-18 00:00:00,2015-08-10 00:00:00,2015-08-10 00:00:00,2018-09-17 00:00:00,2018-09-17 00:00:00,2021-08-13 00:00:00,2021-08-13 00:00:00,2024-10-10 00:00:00
Period,1070 days 00:00:00,790 days 00:00:00,1860 days 00:00:00,782 days 00:00:00,2642 days 00:00:00,732 days 00:00:00,3374 days 00:00:00,794 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,204.7705309255183,157.6303991027146,575.6234761233659,204.67408142124947,1178.1520622005642,241.25471280869928,2829.283071811598,137.5049786226537
Total Return [%],104.77053092551829,57.63039910271458,475.62347612336595,104.67408142124948,1078.1520622005642,141.25471280869928,2729.283071811598,37.504978622653695
Benchmark Return [%],106.61451149204896,10.599153926208738,129.52511866230498,6.854635715962409,144.11577769628593,50.81080895899761,268.29055497352493,38.3144199366269
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],56.858035360720926,45.09186259739188,56.858035360720926,39.23243771646477,56.858035360720926,29.88765258412535,56.858035360720926,37.142712477034436
Max Drawdown Duration,102 days 00:00:00,85 days 00:00:00,102 days 00:00:00,120 days 00:00:00,120 days 00:00:00,65 days 00:00:00,136 days 00:00:00,580 days 00:00:00
Total Trades,85,56,142,62,204,59,264,19
Total Closed Trades,84,56,142,62,204,58,263,18
Total Open Trades,1,0,0,0,0,1,1,1
Open Trade PnL,-150.67200865304483,0.0,0.0,0.0,0.0,-41.59706748881595,-487.82416522753147,33.03160104717135
Win Rate [%],69.04761904761905,67.85714285714286,68.30985915492957,67.74193548387096,68.13725490196079,70.6896551724138,68.44106463878326,61.111111111111114
Best Trade [%],13.034784670682267,7.617458586287178,13.034784670682267,8.255230477368675,13.034784670682267,15.541431985019155,15.54143198501916,10.315464343719688
Worst Trade [%],-6.400682885356673,-2.563111141661604,-6.400682885356673,-4.6054944103481725,-6.400682885356673,-3.183130175427704,-6.400682885356673,-22.664163224176637
Avg Winning Trade [%],2.9397978462599585,1.5372187814849991,2.395748466469506,2.255477155329798,2.353364329290601,3.16079222677556,2.537278461495509,3.0904856912566014
Avg Losing Trade [%],-1.4966660471788567,-0.8509650707731868,-1.2566803375390723,-1.0585561593064847,-1.1917215905775682,-1.2709708655657355,-1.199508259252466,-3.6648668004314153
Avg Winning Trade Duration,5 days 07:26:53.793103448,4 days 03:09:28.421052631,4 days 21:46:23.505154639,5 days 08:00:00,5 days 00:51:47.913669064,4 days 22:49:45.365853658,5 days 00:24:00,5 days 21:49:05.454545454
Avg Losing Trade Duration,1 days 21:13:50.769230769,2 days 01:42:51.428571428,1 days 22:14:38.048780487,1 days 19:12:00,1 days 21:14:45.245901639,2 days 08:28:14.117647058,2 days 00:54:41.012658227,7 days 17:08:34.285714285
Profit Factor,4.623414345179825,4.578912010258486,4.607088982070127,3.794401343629188,4.102793194056472,5.655147734008745,4.954464594968836,1.130010648517546
Expectancy,3.040982614030513,0.9469572768285759,3.258868188042115,1.6882916358266038,5.173365814491269,3.152616901681297,12.07572410388847,0.24852097641568616
Sharpe Ratio,2.460230323491403,1.9015220212507824,2.2690203062213836,1.6047038203692292,2.090440052832977,1.1762022704533976,1.92391491086504,0.545654214088302
Calmar Ratio,0.4871220321931748,0.5189375664543543,0.7207964486613904,1.01185851562765,0.7140834416544279,1.8448087222077558,0.7661720911014118,0.4244969916083129
Omega Ratio,2.00059282464433,1.7353945273655467,1.9173586781086818,1.5310215607723916,1.8253514116569574,1.3496134751631335,1.7617311605625223,1.1461201060050892
Sortino Ratio,5.4638075499628025,3.775729689806718,4.885065386267481,2.897134339570158,4.379842301699436,1.9253069799986937,3.9760928795091943,0.8120545180076301
