,0,1
Start,2015-08-13 00:00:00,2021-04-23 00:00:00
End,2021-04-22 00:00:00,2024-09-24 00:00:00
Period,1433 days 00:00:00,861 days 00:00:00
Start Value,100.0,100.0
End Value,985.0787909449708,38.85936627036833
Total Return [%],885.0787909449709,-61.14063372963167
Benchmark Return [%],424.7035481679513,-66.02621558115844
Max Gross Exposure [%],100.0,100.0
Total Fees Paid,0.0,0.0
Max Drawdown [%],64.27350515827774,87.7254818498689
Max Drawdown Duration,614 days 00:00:00,718 days 00:00:00
Total Trades,6,18
Total Closed Trades,5,17
Total Open Trades,1,1
Open Trade PnL,886.5709100812753,19.45022238229516
Win Rate [%],60.0,23.52941176470588
Best Trade [%],14.456628592906288,18.79853762382517
Worst Trade [%],-22.07958663176308,-20.847265980435047
Avg Winning Trade [%],9.76088084673054,6.050911545623244
Avg Losing Trade [%],-13.172145916754685,-13.285756459913426
Avg Winning Trade Duration,4 days 16:00:00,4 days 12:00:00
Avg Losing Trade Duration,22 days 00:00:00,39 days 05:32:18.461538462
Profit Factor,0.9545009399080309,0.22074363205742753
Expectancy,-0.29842382726089056,-4.740638594819224
Sharpe Ratio,1.1357560483336575,0.051805302824608795
Calmar Ratio,1.2303689282828687,-0.3763459918817522
Omega Ratio,1.1891045401057259,1.0076412971548483
Sortino Ratio,1.6923598081332036,0.0797438825162714
