,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2005-05-12 00:00:00,2000-01-10 00:00:00,2008-06-16 00:00:00,2000-01-10 00:00:00,2012-03-27 00:00:00,2000-01-10 00:00:00,2015-03-09 00:00:00,2000-01-10 00:00:00,2018-04-18 00:00:00,2000-01-10 00:00:00,2021-08-10 00:00:00
End,2005-05-11 00:00:00,2008-06-13 00:00:00,2008-06-13 00:00:00,2012-03-19 00:00:00,2012-03-19 00:00:00,2015-03-06 00:00:00,2015-03-06 00:00:00,2018-04-17 00:00:00,2018-04-17 00:00:00,2021-08-09 00:00:00,2021-08-09 00:00:00,2024-10-10 00:00:00
Period,1341 days 00:00:00,778 days 00:00:00,2119 days 00:00:00,948 days 00:00:00,3067 days 00:00:00,740 days 00:00:00,3812 days 00:00:00,784 days 00:00:00,4596 days 00:00:00,834 days 00:00:00,5430 days 00:00:00,798 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,1.4143377260516843,163.7466530715967,3.0845704184725378,33.04731051604149,2.2302413338170908,226.47006239810585,4.692028784920396,106.0683393461622,8.306408203594671,73.37713778028906,11.924007532143818,77.4826465586174
Total Return [%],-98.58566227394832,63.74665307159669,-96.91542958152746,-66.95268948395851,-97.76975866618291,126.47006239810585,-95.3079712150796,6.068339346162205,-91.69359179640533,-26.622862219710942,-88.07599246785618,-22.517353441382596
Benchmark Return [%],-56.45160904575328,119.88385920757962,-5.024043384219878,-28.934725938496875,-31.329399097257937,115.88139515439045,44.4706593980964,77.37524138568806,155.7597843942971,47.4859822624125,267.1480525381955,-6.568079871923816
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],99.35955673906315,29.218833023072598,99.35955673906315,78.44101229213467,99.35955673906315,18.2261264340668,99.35955673906315,58.39737380415166,99.35955673906315,70.58189987401614,99.35955673906315,57.59663884629166
Max Drawdown Duration,1288 days 00:00:00,156 days 00:00:00,2066 days 00:00:00,873 days 00:00:00,3014 days 00:00:00,115 days 00:00:00,3759 days 00:00:00,608 days 00:00:00,4543 days 00:00:00,824 days 00:00:00,5377 days 00:00:00,687 days 00:00:00
Total Trades,11,4,11,5,11,1,11,4,11,8,11,4
Total Closed Trades,10,3,10,4,10,0,10,3,10,7,10,3
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,0.30122784415195203,50.970756071502905,1.971460536572806,4.233341656770069,1.1171314519173559,126.47006239810585,3.578918903020658,56.666680222996185,7.193298321694937,40.88245300565069,10.810897650244089,20.751168593417162
Win Rate [%],0.0,66.66666666666666,0.0,0.0,0.0,,0.0,0.0,0.0,14.285714285714285,0.0,0.0
Best Trade [%],-33.926086324806406,9.80735444900759,-33.926086324806406,-22.281120901754818,-33.926086324806406,,-33.926086324806406,-19.95177481392082,-33.926086324806406,2.2731464209243057,-33.926086324806406,-14.517400669929051
Worst Trade [%],-40.32814279887491,-1.1294536216837865,-40.32814279887491,-31.24835132667483,-40.32814279887491,,-40.32814279887491,-22.14098631890406,-40.32814279887491,-23.657114195259364,-40.32814279887491,-22.118512975779463
Avg Winning Trade [%],,6.842001302015071,,,,,,,,2.2731464209243057,,
Avg Losing Trade [%],-36.18923425538826,-1.1294536216837865,-36.18923425538826,-26.66386138632881,-36.18923425538826,,-36.18923425538826,-20.94261955164177,-36.18923425538826,-17.23259357783337,-36.18923425538826,-17.140559959886854
Avg Winning Trade Duration,,7 days 00:00:00,,,,,,,,5 days 00:00:00,,
Avg Losing Trade Duration,77 days 02:24:00,1 days 00:00:00,77 days 02:24:00,40 days 06:00:00,77 days 02:24:00,,77 days 02:24:00,65 days 16:00:00,77 days 02:24:00,78 days 08:00:00,77 days 02:24:00,134 days 16:00:00
Profit Factor,0.0,11.889428105084905,0.0,0.0,0.0,,0.0,0.0,0.0,0.032576619880889814,0.0,0.0
Expectancy,-9.888689011810026,4.258632333364597,-9.888689011810026,-17.796507785182143,-9.888689011810026,,-9.888689011810026,-16.86611362561133,-9.888689011810026,-9.643616460765948,-9.888689011810026,-14.422840678266587
Sharpe Ratio,-0.972026672911387,0.6780850687582465,-0.49261573126042185,-0.31184161940712174,-0.32084744632205564,1.4141077253160097,-0.14988487988026233,0.26448111668911384,-0.036629047425200865,-0.06217718876993122,0.03929923487965451,-0.06925024601930885
Calmar Ratio,-0.6906554220395666,0.8909175899833323,-0.45366544122194186,-0.44247781135434106,-0.36637245133607976,2.7246778519622152,-0.25556181810337786,0.04761756013231139,-0.18045812179087295,-0.17950998363108203,-0.13406061227718882,-0.19122234369965466
Omega Ratio,0.8523766966736208,1.147153407146729,0.9215211393032566,0.9508967697427755,0.9491329280515896,1.2322007233681247,0.9757295314890099,1.0424940401045042,0.9939963325808345,0.9907464167036621,1.006428712554272,0.9895789928100812
Sortino Ratio,-1.247890937428735,1.0351761270196873,-0.6445282738179672,-0.4341644421348982,-0.43313181980472115,2.0167907616969027,-0.20326261937154697,0.3448168765686774,-0.049795420629351474,-0.08612370623621783,0.05388395939164591,-0.09502004610063079
