Date,entry_signal,exit_signal,max_combs,max_probs
2017-03-21,False,True,,
2017-03-22,False,True,,
2017-03-23,False,True,"(1, 1, 4, 5)",0.03500409415213315
2017-03-24,False,True,"(2, 1, 7, 5)",0.006354704945730207
2017-03-27,True,False,"(2, 1, 3, 5)",0.8648907830412046
2017-03-28,True,False,"(4, 1, 2, 5)",0.46269802525466375
2017-03-29,True,False,"(4, 1, 7, 5)",0.4502413903540626
2017-03-30,True,False,"(3, 1, 2, 5)",0.4016805151414673
2017-03-31,True,False,"(4, 1, 8, 5)",0.206602788714676
2017-04-03,True,False,,
2017-04-04,True,False,,
2017-04-05,True,False,,
2017-04-06,True,False,,
2017-04-07,True,False,,
2017-04-10,True,False,"(1, 1, 2, 3)",0.14643657125956858
2017-04-11,True,False,"(3, 1, 7, 3)",0.5374356786225035
2017-04-12,True,False,,
2017-04-13,True,False,,
2017-04-17,True,False,,
2017-04-18,True,False,,
2017-04-19,True,False,"(1, 1, 2, 2)",0.9117658086240661
2017-04-20,True,False,"(3, 2, 2, 2)",0.7531852031405223
2017-04-21,True,False,"(4, 2, 2, 2)",0.782189070284639
2017-04-24,True,False,"(4, 2, 2, 2)",0.8368880163209421
2017-04-25,True,False,"(4, 3, 4, 2)",0.9110767995368227
2017-04-26,True,False,"(5, 2, 7, 2)",0.7184188436819487
2017-04-27,True,False,"(5, 2, 7, 4)",0.4832489598349154
2017-04-28,True,False,"(4, 2, 8, 4)",0.26028150797655175
2017-05-01,True,False,"(4, 3, 6, 3)",0.011259874251631519
2017-05-02,True,False,"(4, 3, 4, 4)",0.012958317423759625
2017-05-03,True,False,"(5, 2, 4, 2)",0.010466795317084759
2017-05-04,True,False,"(5, 2, 8, 4)",0.05371852222374791
2017-05-05,True,False,"(5, 2, 8, 3)",0.1311002879126781
2017-05-08,True,False,"(5, 2, 8, 2)",0.014092404543223767
2017-05-09,True,False,"(4, 2, 4, 3)",0.644144524385758
2017-05-10,True,False,"(4, 3, 6, 5)",0.014641604677189213
2017-05-11,True,False,,
2017-05-12,True,False,"(4, 1, 2, 5)",0.47923353333589047
2017-05-15,True,False,"(4, 1, 2, 5)",0.4086310043018195
2017-05-16,True,False,"(5, 1, 2, 5)",0.766080305689465
2017-05-17,True,False,"(3, 1, 2, 5)",0.7422813666202904
2017-05-18,True,False,"(2, 1, 2, 5)",0.688268495415745
2017-05-19,True,False,"(3, 1, 2, 3)",0.6619468227622227
2017-05-22,True,False,,
2017-05-23,True,False,,
2017-05-24,True,False,,
2017-05-25,True,False,"(4, 1, 2, 3)",0.7640300193343348
2017-05-26,True,False,"(3, 1, 5, 3)",0.10015073196749605
2017-05-30,True,False,"(4, 1, 5, 5)",0.20746743298367026
2017-05-31,True,False,"(4, 1, 5, 5)",0.1929543627420826
2017-06-01,True,False,"(4, 1, 5, 5)",0.2732263583884304
2017-06-02,True,False,,
2017-06-05,True,False,,
2017-06-06,True,False,,
2017-06-07,True,False,,
2017-06-08,True,False,,
2017-06-09,True,False,,
2017-06-12,True,False,,
2017-06-13,True,False,,
2017-06-14,True,False,,
2017-06-15,True,False,,
2017-06-16,True,False,,
2017-06-19,True,False,"(1, 1, 2, 5)",0.1281102753213066
2017-06-20,True,False,,
2017-06-21,True,False,,
2017-06-22,True,False,,
2017-06-23,True,False,"(2, 1, 2, 5)",0.05576678469300271
2017-06-26,True,False,,
2017-06-27,True,False,,
2017-06-28,True,False,"(1, 1, 2, 5)",0.014788255394137983
2017-06-29,True,False,"(4, 1, 2, 5)",0.015793622966300568
