,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,4.290004388292987,2017-03-27,23.309999465942383,0.0,2017-04-05,20.700000762939453,0.0,-11.19690588932157,-0.1119690588932157,Long,Closed,0
1,1,0,4.294153423607679,2017-04-06,20.68000030517578,0.0,2017-05-11,18.049999237060547,0.0,-11.293628090738878,-0.12717606524681707,Long,Closed,1
2,2,0,3.9606268384581984,2017-05-12,19.56999969482422,0.0,2017-06-15,17.0,0.0,-10.17880976615018,-0.13132344072053923,Long,Closed,2
3,3,0,3.7720254798249773,2017-06-16,17.850000381469727,0.0,2017-07-11,15.470000267028809,0.0,-8.977421073657503,-0.13333333689514207,Long,Closed,3
4,4,0,3.6979237115072263,2017-07-12,15.779999732971191,0.0,2017-07-26,13.399999618530272,0.0,-8.801058856580987,-0.15082383743442515,Long,Closed,4
5,5,0,3.5649048693132497,2017-07-27,13.899999618530272,0.0,2017-08-11,11.829999923706056,0.0,-7.379351991555787,-0.14892084544122372,Long,Closed,5
6,6,0,3.2316340011961553,2017-08-14,13.050000190734863,0.0,2018-05-02,11.029999732971191,0.0,-6.527902161740876,-0.15478930484597347,Long,Closed,6
7,7,0,3.2822212980769314,2018-05-03,10.859999656677246,0.0,2018-09-06,9.800000190734863,0.0,-3.479152823066258,-0.09760584709509115,Long,Closed,7
8,8,0,3.2889335608822057,2018-09-07,9.779999732971191,0.0,2018-09-27,8.800000190734863,0.0,-3.223153384110258,-0.10020445490734196,Long,Closed,8
9,9,0,3.4050136427150237,2018-09-28,8.5,0.0,2018-10-08,7.480000019073486,0.0,-3.473113850623843,-0.11999999775606043,Long,Closed,9
10,10,0,3.6385003017791226,2018-10-09,7.0,0.0,2018-10-26,6.28000020980835,0.0,-2.619719453893225,-0.10285711288452148,Long,Closed,10
11,11,0,3.8532518246231278,2018-10-29,5.929999828338623,0.0,2018-12-20,5.070000171661377,0.0,-3.3137952462668636,-0.1450252414118852,Long,Closed,11
12,12,0,3.9387071092830683,2018-12-21,4.960000038146973,0.0,2021-05-21,56.61000061035156,0.0,203.43422444821678,10.413306486888805,Long,Open,12
