,0,1,2,3,4,5,6,7
Start,2008-11-25 00:00:00,2013-04-04 00:00:00,2008-11-25 00:00:00,2016-04-19 00:00:00,2008-11-25 00:00:00,2019-02-13 00:00:00,2008-11-25 00:00:00,2021-10-19 00:00:00
End,2013-04-03 00:00:00,2016-04-18 00:00:00,2016-04-18 00:00:00,2019-02-12 00:00:00,2019-02-12 00:00:00,2021-10-18 00:00:00,2021-10-18 00:00:00,2024-10-10 00:00:00
Period,1094 days 00:00:00,766 days 00:00:00,1860 days 00:00:00,710 days 00:00:00,2570 days 00:00:00,676 days 00:00:00,3246 days 00:00:00,749 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,640.3366824931344,206.54108014003293,1491.4619660323083,207.4329044516724,3031.0242503571244,247.20150375926488,8681.21651767652,106.63378540007774
Total Return [%],540.3366824931344,106.54108014003295,1391.4619660323083,107.4329044516724,2931.0242503571244,147.20150375926488,8581.21651767652,6.633785400077741
Benchmark Return [%],305.2097599411466,129.69437241277407,843.8080961788113,101.37042404149868,1818.054427369412,183.94635077855867,5393.537629967856,37.06934474843187
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],53.80988417022113,39.55737722268179,53.80988417022113,50.167058836237544,53.80988417022113,78.48633449834537,76.85613164119086,70.70010225480769
Max Drawdown Duration,346 days 00:00:00,228 days 00:00:00,346 days 00:00:00,163 days 00:00:00,346 days 00:00:00,244 days 00:00:00,346 days 00:00:00,696 days 00:00:00
Total Trades,2,2,2,4,2,6,2,7
Total Closed Trades,1,1,1,3,1,5,1,6
Total Open Trades,1,1,1,1,1,1,1,1
Open Trade PnL,532.8246557497743,98.5780735902771,1383.9499392889481,93.91324061456098,2923.512223613764,204.20820151729782,8573.70449093316,69.74967323891394
Win Rate [%],100.0,100.0,100.0,100.0,100.0,20.0,100.0,0.0
Best Trade [%],7.51202674336021,7.963006549755831,7.51202674336021,7.406061345880692,7.51202674336021,1.058720804289035,7.51202674336021,-10.898738979999298
Worst Trade [%],7.51202674336021,7.963006549755831,7.51202674336021,1.1929667320480632,7.51202674336021,-30.841900462744086,7.51202674336021,-20.534908099690128
Avg Winning Trade [%],7.51202674336021,7.963006549755831,7.51202674336021,4.348355880210162,7.51202674336021,1.058720804289035,7.51202674336021,
Avg Losing Trade [%],,,,,,-18.8566781734338,,-15.23899423878248
Avg Winning Trade Duration,1 days 00:00:00,8 days 00:00:00,1 days 00:00:00,6 days 08:00:00,1 days 00:00:00,1 days 00:00:00,1 days 00:00:00,
Avg Losing Trade Duration,,,,,,67 days 06:00:00,,38 days 00:00:00
Profit Factor,inf,inf,inf,inf,inf,0.009661451900218143,inf,0.0
Expectancy,7.5120267433602095,7.963006549755832,7.5120267433602095,4.506554612370475,7.5120267433602095,-11.401339551606593,7.5120267433602095,-10.519314639806035
Sharpe Ratio,1.2272118938798853,0.9459853149593419,1.1597099625574236,1.0389254953028122,1.12262407355399,1.0205662771573931,1.1092749610300912,0.36686446414489227
Calmar Ratio,1.5945247831190448,1.0437143555413395,1.299833946070794,0.9072294234675304,1.158486705766311,0.8028631865920984,0.8482183277644212,0.044972278400796345
Omega Ratio,1.2194449196597175,1.1478850005755896,1.1999838381755685,1.1915153085268606,1.1960800930848752,1.1940436177147125,1.2014038958969608,1.0530705748317155
Sortino Ratio,1.8025691497590508,1.348748253676984,1.6879484792789803,1.4310581032160712,1.6179271385010991,1.4133684238499942,1.5735087077639411,0.5177681700815147
