Date,entry_signal,exit_signal,max_combs,max_probs
2015-11-30,False,True,,
2015-12-01,False,True,,
2015-12-02,False,True,,
2015-12-03,False,True,,
2015-12-04,False,True,,
2015-12-07,False,True,"(1, 1, 2, 3)",0.24143513076061587
2015-12-08,False,True,"(2, 1, 2, 3)",0.18135050423867008
2015-12-09,False,True,"(4, 1, 2, 2)",0.13129330072367817
2015-12-10,False,True,"(3, 1, 2, 2)",0.17082042755066304
2015-12-11,False,True,,
2015-12-14,False,True,"(5, 1, 2, 2)",0.1027177165850077
2015-12-15,False,True,"(1, 1, 2, 3)",0.43485930399118905
2015-12-16,False,True,"(3, 1, 2, 3)",0.38858970998661396
2015-12-17,False,True,"(2, 1, 2, 2)",0.10304171035262495
2015-12-18,False,True,"(1, 1, 2, 2)",0.11238802757565423
2015-12-21,False,True,,
2015-12-22,False,True,"(2, 1, 2, 2)",0.10315974526925399
2015-12-23,False,True,"(1, 1, 2, 2)",0.10315974526925399
2015-12-24,False,True,"(1, 1, 2, 2)",0.10284893287596547
2015-12-28,False,True,"(1, 1, 2, 2)",0.10190212875497219
2015-12-29,False,True,"(2, 1, 2, 2)",0.10190212875497219
2015-12-30,False,True,"(2, 1, 2, 2)",0.10625869308029819
2015-12-31,False,True,"(1, 1, 2, 4)",0.19990961937095333
2016-01-04,False,True,,
2016-01-05,False,True,,
2016-01-06,False,True,"(5, 1, 2, 3)",0.30198710607874024
2016-01-07,False,True,,
2016-01-08,False,True,"(5, 1, 2, 2)",0.12418082658674681
2016-01-11,False,True,"(1, 1, 2, 2)",0.12677411493900673
2016-01-12,False,True,"(4, 1, 2, 2)",0.12773858990665246
2016-01-13,False,True,"(5, 1, 2, 2)",0.1358496694004723
2016-01-14,False,True,,
2016-01-15,False,True,,
2016-01-19,False,True,,
2016-01-20,False,True,"(5, 1, 2, 2)",0.39154893753401515
2016-01-21,False,True,"(1, 1, 2, 2)",0.12824126146224046
2016-01-22,False,True,"(2, 1, 2, 2)",0.13767103237855857
2016-01-25,False,True,,
2016-01-26,False,True,,
2016-01-27,False,True,,
2016-01-28,False,True,,
2016-01-29,False,True,,
2016-02-01,False,True,,
2016-02-02,False,True,,
2016-02-03,False,True,,
2016-02-04,False,True,,
2016-02-05,False,True,"(3, 1, 2, 3)",0.4556604506352668
2016-02-08,False,True,,
2016-02-09,False,True,"(3, 1, 2, 3)",0.4130316679048899
2016-02-10,False,True,"(5, 1, 2, 3)",0.3411446480138366
2016-02-11,False,True,"(5, 1, 2, 3)",0.38860792759799484
2016-02-12,False,True,"(2, 1, 2, 4)",0.4633242850462763
2016-02-16,True,False,"(5, 1, 2, 4)",0.6281303674258727
2016-02-17,True,False,"(5, 2, 2, 4)",0.5751151919649323
2016-02-18,True,False,"(5, 2, 2, 4)",0.7431284325609194
2016-02-19,True,False,"(5, 1, 2, 4)",0.4087595364920682
2016-02-22,True,False,"(5, 2, 2, 4)",0.7413462315777913
2016-02-23,True,False,,
2016-02-24,True,False,"(2, 1, 2, 4)",0.7411529116283612
2016-02-25,True,False,"(1, 1, 2, 4)",0.8116104419786402
2016-02-26,True,False,"(1, 1, 2, 2)",0.8702249356478317
2016-02-29,True,False,"(1, 1, 2, 3)",0.8206192006359386
2016-03-01,True,False,"(5, 1, 2, 3)",0.15130300391140372
2016-03-02,True,False,"(2, 2, 2, 4)",0.17440503269182672
2016-03-03,True,False,"(5, 1, 2, 3)",0.1909365484140316
2016-03-04,True,False,"(5, 2, 2, 3)",0.24336900034807157
2016-03-07,True,False,"(5, 2, 2, 3)",0.22936254216125082
2016-03-08,True,False,"(5, 1, 2, 2)",0.3723824712518352
2016-03-09,True,False,"(5, 3, 2, 4)",0.14779051094275342
2016-03-10,True,False,,
2016-03-11,True,False,,
2016-03-14,True,False,"(5, 1, 2, 3)",0.7743013299895091
2016-03-15,True,False,"(1, 1, 2, 3)",0.7697508058516238
2016-03-16,True,False,"(3, 1, 2, 3)",0.8289971812217356
2016-03-17,True,False,"(3, 1, 2, 3)",0.8779431897170149
2016-03-18,True,False,"(3, 1, 2, 4)",0.852622424829943
2016-03-21,True,False,"(5, 1, 2, 3)",0.642133169259553
2016-03-22,True,False,"(5, 1, 2, 3)",0.6322370499668469
2016-03-23,True,False,"(3, 1, 2, 3)",0.8164705897573888
2016-03-24,True,False,"(3, 1, 2, 3)",0.856155770421151
2016-03-28,True,False,"(5, 1, 2, 3)",0.7612961831018445
2016-03-29,True,False,"(5, 1, 2, 4)",0.4494694575277326
2016-03-30,True,False,"(2, 2, 2, 4)",0.18285735285149657
2016-03-31,True,False,"(5, 2, 2, 3)",0.6956862873783061
2016-04-01,True,False,"(5, 1, 2, 3)",0.33302592084932664
2016-04-04,True,False,"(5, 1, 2, 4)",0.3378685817502035
2016-04-05,True,False,"(5, 1, 2, 4)",0.32255411832625286
2016-04-06,True,False,"(4, 1, 2, 4)",0.1311769965299929
2016-04-07,True,False,"(2, 1, 2, 4)",0.12026126625087713
2016-04-08,True,False,"(2, 1, 2, 4)",0.1079198693629196
2016-04-11,True,False,"(1, 1, 2, 4)",0.10723095310829006
2016-04-12,True,False,"(1, 1, 2, 4)",0.11677299500515616
2016-04-13,True,False,"(4, 1, 2, 4)",0.1102174095544796
2016-04-14,True,False,"(5, 1, 2, 2)",0.13880515708460067
2016-04-15,True,False,,
2016-04-18,True,False,"(5, 1, 2, 4)",0.2755225728689023
2016-04-19,True,False,,
2016-04-20,True,False,,
2016-04-21,True,False,,
2016-04-22,True,False,,
2016-04-25,True,False,"(1, 1, 2, 2)",0.12023282686445665
2016-04-26,True,False,"(1, 1, 2, 2)",0.09856434337540573
2016-04-27,True,False,"(1, 1, 2, 2)",0.09892800673734459
2016-04-28,True,False,"(2, 2, 2, 3)",0.14893115440806787
2016-04-29,True,False,"(2, 2, 2, 3)",0.15076049632029762
2016-05-02,True,False,"(5, 1, 2, 3)",0.18515824029605044
2016-05-03,True,False,,
2016-05-04,True,False,,
2016-05-05,True,False,,
2016-05-06,True,False,,
2016-05-09,True,False,,
2016-05-10,True,False,,
2016-05-11,True,False,,
2016-05-12,True,False,,
2016-05-13,True,False,,
2016-05-16,True,False,,
2016-05-17,True,False,,
2016-05-18,True,False,"(1, 1, 2, 2)",0.2911013492137033
2016-05-19,True,False,"(1, 1, 2, 2)",0.23649019282753214
2016-05-20,True,False,"(5, 1, 2, 2)",0.3275886330366519
2016-05-23,True,False,"(2, 1, 2, 2)",0.12490043609388612
2016-05-24,True,False,"(1, 1, 2, 3)",0.1921558628784246
2016-05-25,True,False,"(5, 2, 2, 3)",0.22333401892533897
2016-05-26,True,False,"(5, 2, 2, 3)",0.3353365839437179
2016-05-27,True,False,"(5, 1, 2, 3)",0.22171979385914659
2016-05-31,True,False,"(5, 1, 2, 3)",0.2764534574555176
2016-06-01,True,False,"(5, 1, 2, 3)",0.17309928344753128
2016-06-02,True,False,"(1, 1, 2, 3)",0.12815216050891842
2016-06-03,True,False,,
2016-06-06,True,False,"(2, 1, 2, 4)",0.1434599816251171
2016-06-07,True,False,"(1, 1, 2, 3)",0.1469646747822076
2016-06-08,True,False,"(2, 1, 2, 3)",0.1306739142706478
2016-06-09,True,False,,
2016-06-10,True,False,,
2016-06-13,True,False,,
2016-06-14,True,False,,
2016-06-15,True,False,,
2016-06-16,True,False,"(2, 1, 2, 3)",0.17730412424903308
2016-06-17,True,False,,
2016-06-20,True,False,,
2016-06-21,True,False,"(5, 1, 2, 3)",0.24948177414310171
2016-06-22,True,False,,
2016-06-23,True,False,"(3, 1, 2, 2)",0.28333787790309445
2016-06-24,True,False,,
2016-06-27,True,False,,
2016-06-28,True,False,"(5, 1, 2, 3)",0.2169328589314605
2016-06-29,True,False,"(1, 1, 2, 3)",0.2855651056010858
2016-06-30,True,False,"(5, 1, 2, 4)",0.4528827717058826
2016-07-01,True,False,"(5, 1, 2, 4)",0.4824258033341481
2016-07-05,True,False,"(5, 1, 2, 4)",0.2560578811442799
2016-07-06,True,False,"(5, 1, 2, 4)",0.2374415983690604
2016-07-07,True,False,"(5, 1, 2, 4)",0.22865338131816534
2016-07-08,True,False,"(1, 1, 2, 4)",0.3850395875152479
2016-07-11,True,False,"(5, 1, 2, 4)",0.2423190886340068
2016-07-12,True,False,"(5, 1, 2, 4)",0.6167156445563811
2016-07-13,True,False,"(5, 1, 2, 3)",0.6662054748284543
2016-07-14,True,False,"(5, 1, 2, 2)",0.4150462185569859
2016-07-15,True,False,,
2016-07-18,True,False,"(5, 1, 2, 2)",0.8563914984728498
2016-07-19,True,False,"(5, 1, 2, 3)",0.8901279700072049
2016-07-20,True,False,"(1, 1, 2, 3)",0.8724275222519106
2016-07-21,True,False,"(2, 1, 2, 3)",0.8600958493916743
2016-07-22,True,False,"(5, 1, 2, 3)",0.8798354103337861
2016-07-25,True,False,"(5, 1, 2, 4)",0.6619572429619122
2016-07-26,True,False,"(5, 1, 2, 4)",0.7063006389997413
2016-07-27,True,False,"(5, 1, 2, 4)",0.6681447076291
2016-07-28,True,False,"(5, 1, 2, 4)",0.8087930539415668
2016-07-29,True,False,"(5, 1, 2, 2)",0.6526356887491506
2016-08-01,True,False,"(5, 1, 2, 2)",0.5757079651826221
2016-08-02,True,False,,
2016-08-03,True,False,"(4, 1, 2, 3)",0.22298999110249257
2016-08-04,True,False,"(5, 1, 2, 3)",0.5138814534376249
2016-08-05,True,False,"(5, 2, 2, 4)",0.6483060261451093
2016-08-08,True,False,"(5, 2, 2, 4)",0.681604078590316
2016-08-09,True,False,"(1, 1, 2, 3)",0.41191266312826513
2016-08-10,True,False,"(5, 1, 2, 3)",0.6604101280396933
2016-08-11,True,False,"(5, 1, 2, 3)",0.48116227364799774
2016-08-12,True,False,"(5, 1, 2, 3)",0.23090793322632938
2016-08-15,True,False,"(2, 1, 2, 3)",0.5707957420606599
2016-08-16,True,False,"(2, 1, 2, 3)",0.5207527356698729
2016-08-17,True,False,"(4, 1, 2, 3)",0.5469648042769601
2016-08-18,True,False,"(5, 1, 2, 3)",0.7199205843205477
2016-08-19,True,False,"(1, 1, 2, 3)",0.11865381813648171
2016-08-22,True,False,"(1, 1, 2, 2)",0.1213008298114741
2016-08-23,True,False,"(4, 1, 2, 3)",0.21656212919577197
2016-08-24,True,False,"(3, 1, 2, 3)",0.23542104097035613
2016-08-25,True,False,"(4, 1, 2, 3)",0.21906557949184818
2016-08-26,True,False,"(4, 1, 2, 2)",0.14287110156171537
2016-08-29,True,False,"(5, 1, 2, 2)",0.15373858146950262
2016-08-30,True,False,"(5, 1, 2, 2)",0.16674613338310446
2016-08-31,True,False,"(1, 1, 2, 2)",0.16669254878422382
2016-09-01,True,False,,
2016-09-02,True,False,"(2, 1, 2, 3)",0.154326071474805
2016-09-06,True,False,,
2016-09-07,True,False,,
2016-09-08,True,False,,
2016-09-09,True,False,,
2016-09-12,True,False,,
2016-09-13,True,False,,
2016-09-14,True,False,,
2016-09-15,True,False,"(1, 1, 2, 2)",0.3458290798125736
2016-09-16,True,False,"(2, 1, 2, 2)",0.2552303798865405
2016-09-19,True,False,"(2, 1, 2, 2)",0.15786169919063633
2016-09-20,True,False,"(1, 1, 2, 2)",0.11549363318135239
2016-09-21,True,False,"(2, 2, 2, 3)",0.2535166294133991
2016-09-22,True,False,"(2, 1, 2, 4)",0.18229788562714766
2016-09-23,True,False,"(2, 1, 2, 3)",0.16464307509449014
2016-09-26,True,False,,
2016-09-27,True,False,"(5, 1, 2, 3)",0.17351537340272466
2016-09-28,True,False,"(1, 1, 2, 3)",0.14931151349751146
2016-09-29,True,False,,
2016-09-30,True,False,"(2, 1, 2, 3)",0.13832341433018663
2016-10-03,True,False,"(1, 1, 2, 3)",0.12596211632433535
2016-10-04,True,False,,
2016-10-05,True,False,"(2, 1, 2, 3)",0.16182993053284755
2016-10-06,True,False,,
2016-10-07,True,False,,
2016-10-10,True,False,,
2016-10-11,True,False,,
2016-10-12,True,False,,
2016-10-13,True,False,,
2016-10-14,True,False,,
2016-10-17,True,False,,
2016-10-18,True,False,,
2016-10-19,True,False,"(5, 1, 2, 3)",0.16285096817252218
2016-10-20,True,False,"(5, 1, 2, 3)",0.3414561070017975
2016-10-21,True,False,"(5, 1, 2, 2)",0.13916145571681868
2016-10-24,True,False,"(5, 1, 2, 3)",0.28336831338852403
2016-10-25,True,False,,
2016-10-26,True,False,"(5, 1, 2, 3)",0.4600322928571688
2016-10-27,True,False,"(5, 1, 2, 3)",0.42004442522970487
2016-10-28,True,False,"(5, 1, 2, 3)",0.5127154383521794
2016-10-31,True,False,"(5, 1, 2, 3)",0.5055077486203793
2016-11-01,True,False,,
2016-11-02,True,False,"(2, 1, 2, 4)",0.6910092694633592
2016-11-03,True,False,"(1, 1, 2, 4)",0.21544656139291196
2016-11-04,True,False,"(5, 2, 2, 4)",0.32852619624746887
2016-11-07,True,False,"(5, 2, 2, 4)",0.6344693037413973
2016-11-08,True,False,"(5, 1, 2, 4)",0.44899461031391974
2016-11-09,True,False,"(5, 1, 2, 3)",0.4521272259068041
2016-11-10,True,False,,
2016-11-11,True,False,"(3, 1, 2, 3)",0.3872566078730634
2016-11-14,True,False,"(5, 1, 2, 3)",0.22744691037604273
2016-11-15,True,False,"(2, 1, 2, 3)",0.5050097337620115
2016-11-16,True,False,"(2, 1, 2, 3)",0.6158407487916326
2016-11-17,True,False,"(1, 1, 2, 3)",0.6572568744251098
2016-11-18,True,False,"(4, 1, 2, 3)",0.6991376672970898
2016-11-21,True,False,"(2, 1, 2, 3)",0.7379627626251403
2016-11-22,True,False,"(1, 1, 2, 3)",0.7057155998656877
2016-11-23,True,False,"(3, 1, 2, 3)",0.7525204506707631
2016-11-25,True,False,"(3, 1, 2, 3)",0.7435778810076593
2016-11-28,True,False,"(3, 1, 2, 3)",0.8053812964936056
2016-11-29,True,False,"(3, 1, 2, 3)",0.8772169174601507
2016-11-30,True,False,"(3, 1, 2, 3)",0.8702652497314814
2016-12-01,True,False,"(3, 1, 2, 3)",0.900195633897672
2016-12-02,True,False,"(4, 1, 2, 3)",0.8818602447996805
2016-12-05,True,False,"(3, 1, 2, 3)",0.8812768638454389
2016-12-06,True,False,"(1, 1, 2, 3)",0.159992683234653
2016-12-07,True,False,"(2, 2, 2, 2)",0.168343436563888
2016-12-08,True,False,"(5, 2, 2, 3)",0.2451392780155241
2016-12-09,True,False,"(3, 1, 2, 3)",0.128106100044244
2016-12-12,True,False,"(4, 1, 2, 2)",0.19167636347855863
2016-12-13,True,False,"(4, 1, 2, 2)",0.12289964789476623
2016-12-14,True,False,,
2016-12-15,True,False,"(2, 1, 2, 2)",0.10365217157142222
2016-12-16,True,False,"(1, 1, 2, 2)",0.10162217817460703
2016-12-19,True,False,"(2, 1, 2, 2)",0.1054426051747058
2016-12-20,True,False,"(2, 1, 2, 3)",0.11109884757190923
2016-12-21,True,False,"(2, 1, 2, 2)",0.11532088160895398
2016-12-22,True,False,,
2016-12-23,True,False,"(3, 1, 2, 2)",0.5865594150026515
2016-12-27,True,False,,
2016-12-28,True,False,,
2016-12-29,True,False,,
2016-12-30,True,False,,
2017-01-03,True,False,,
2017-01-04,True,False,"(1, 1, 2, 3)",0.8828619885644109
2017-01-05,True,False,"(1, 1, 2, 3)",0.1068073575465622
2017-01-06,True,False,"(2, 2, 2, 3)",0.11612386071743644
2017-01-09,True,False,"(2, 2, 2, 3)",0.12708645034519403
2017-01-10,True,False,"(3, 2, 2, 3)",0.2584436062579507
2017-01-11,True,False,"(4, 1, 2, 3)",0.14631528511017428
2017-01-12,True,False,"(5, 1, 2, 4)",0.1518068706437112
2017-01-13,True,False,"(4, 1, 2, 4)",0.14808865255547318
2017-01-17,True,False,,
2017-01-18,True,False,,
2017-01-19,True,False,,
2017-01-20,True,False,"(1, 1, 2, 3)",0.1722941604469844
2017-01-23,True,False,,
2017-01-24,True,False,"(5, 1, 2, 2)",0.22207943000154948
2017-01-25,True,False,,
2017-01-26,True,False,,
2017-01-27,True,False,"(5, 1, 2, 3)",0.1289650279779532
2017-01-30,True,False,,
2017-01-31,True,False,,
2017-02-01,True,False,,
2017-02-02,True,False,,
2017-02-03,True,False,,
2017-02-06,True,False,"(4, 1, 2, 2)",0.14521140654912096
2017-02-07,True,False,"(2, 1, 2, 2)",0.16957896701239047
2017-02-08,True,False,"(3, 1, 2, 2)",0.12157317961433961
2017-02-09,True,False,"(1, 1, 2, 2)",0.1474159889838672
2017-02-10,True,False,"(2, 1, 2, 2)",0.23543511116495214
2017-02-13,True,False,"(3, 1, 2, 3)",0.7255572495902138
2017-02-14,True,False,,
2017-02-15,True,False,,
2017-02-16,True,False,,
2017-02-17,True,False,,
2017-02-21,True,False,"(1, 1, 2, 2)",0.9162692644985562
2017-02-22,True,False,"(1, 1, 2, 3)",0.24938140565517086
2017-02-23,True,False,"(1, 1, 2, 3)",0.13630545635401575
2017-02-24,True,False,"(1, 1, 2, 2)",0.11036172620516085
2017-02-27,True,False,"(1, 1, 2, 2)",0.11515766023176402
2017-02-28,True,False,"(3, 1, 2, 3)",0.21065401679627355
2017-03-01,True,False,"(4, 1, 2, 4)",0.22080468235443793
2017-03-02,True,False,,
2017-03-03,True,False,,
2017-03-06,True,False,,
2017-03-07,True,False,,
2017-03-08,True,False,,
2017-03-09,True,False,"(1, 1, 2, 3)",0.1936078977401341
2017-03-10,True,False,"(5, 1, 2, 3)",0.17768623220358015
2017-03-13,True,False,"(2, 1, 2, 3)",0.1331777361177396
2017-03-14,True,False,"(5, 1, 2, 3)",0.25683621258286765
2017-03-15,True,False,"(4, 1, 2, 3)",0.11761544816878439
2017-03-16,True,False,"(1, 1, 2, 2)",0.10043206536027756
2017-03-17,True,False,"(1, 1, 2, 2)",0.11023021732678488
2017-03-20,True,False,"(2, 1, 2, 2)",0.11023021732678488
2017-03-21,True,False,,
2017-03-22,True,False,,
2017-03-23,True,False,"(5, 1, 2, 2)",0.20338273720559125
2017-03-24,True,False,"(5, 1, 2, 2)",0.1301970218058091
2017-03-27,True,False,"(2, 1, 2, 3)",0.1265219303724904
2017-03-28,True,False,"(2, 1, 2, 3)",0.1220633695034614
2017-03-29,True,False,"(3, 1, 2, 3)",0.1107658018888297
2017-03-30,True,False,"(3, 1, 2, 3)",0.11832543494115211
2017-03-31,True,False,"(2, 1, 2, 3)",0.12254954495590928
2017-04-03,True,False,,
2017-04-04,True,False,"(5, 1, 2, 4)",0.24357916362708298
2017-04-05,True,False,,
2017-04-06,True,False,"(5, 1, 2, 3)",0.2563306507725458
2017-04-07,True,False,,
2017-04-10,True,False,,
2017-04-11,True,False,,
2017-04-12,True,False,,
2017-04-13,True,False,"(4, 1, 2, 4)",0.5518677776210482
2017-04-17,True,False,"(3, 1, 2, 2)",0.4921837346197471
2017-04-18,True,False,"(3, 1, 2, 2)",0.7784412197757821
2017-04-19,True,False,"(4, 1, 2, 2)",0.9134991926644783
2017-04-20,True,False,"(3, 1, 2, 4)",0.8986908558529864
2017-04-21,True,False,"(4, 1, 2, 2)",0.9121034782494726
2017-04-24,True,False,"(4, 1, 2, 3)",0.9123003175580509
