,0,1
Start,2015-11-30 00:00:00,2021-02-04 00:00:00
End,2021-02-03 00:00:00,2024-10-10 00:00:00
Period,1304 days 00:00:00,927 days 00:00:00
Start Value,100.0,100.0
End Value,2275.7133590304597,62.52926171152845
Total Return [%],2175.7133590304597,-37.47073828847155
Benchmark Return [%],1793.1893950465137,-70.54518076581247
Max Gross Exposure [%],100.0,100.0
Total Fees Paid,0.0,0.0
Max Drawdown [%],61.529139146791614,74.64015891926816
Max Drawdown Duration,433 days 00:00:00,637 days 00:00:00
Total Trades,2,24
Total Closed Trades,1,23
Total Open Trades,1,1
Open Trade PnL,2186.9571410503117,27.272830090548467
Win Rate [%],0.0,34.78260869565217
Best Trade [%],-11.243782019851807,20.525610466826315
Worst Trade [%],-11.243782019851807,-21.91116563797523
Avg Winning Trade [%],,5.585686523096059
Avg Losing Trade [%],-11.243782019851807,-9.037126893243467
Avg Winning Trade Duration,,4 days 09:00:00
Avg Losing Trade Duration,82 days 00:00:00,28 days 11:12:00
Profit Factor,0.0,0.41546867093284834
Expectancy,-11.243782019851807,-2.814937755609567
Sharpe Ratio,1.704084615556725,0.042767246313994964
Calmar Ratio,2.2722633563499564,-0.22614238192822836
Omega Ratio,1.303488489489208,1.0069508114166013
Sortino Ratio,2.4566104664081005,0.061238238527905095
