Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-07,False,True,,
2000-01-10,False,True,,
2000-01-11,False,True,,
2000-01-12,False,True,,
2000-01-13,False,True,"(1, 1, 2, 5)",0.02512193697617005
2000-01-14,False,True,"(1, 1, 2, 5)",0.024930519908403104
2000-01-18,False,True,"(3, 1, 2, 5)",0.019964958230397883
2000-01-19,False,True,"(4, 1, 2, 5)",0.0626018521466326
2000-01-20,False,True,"(5, 1, 7, 2)",0.3633487495300002
2000-01-21,False,True,"(4, 1, 2, 3)",0.24720375625994634
2000-01-24,False,True,,
2000-01-25,False,True,,
2000-01-26,False,True,,
2000-01-27,False,True,"(1, 1, 6, 5)",0.025246047295495757
2000-01-28,False,True,"(3, 1, 7, 5)",0.017440002248176417
2000-01-31,False,True,"(2, 1, 6, 4)",0.026639481492884143
2000-02-01,False,True,"(1, 1, 2, 5)",0.023977769508451915
2000-02-02,False,True,"(2, 1, 2, 2)",0.017471270222598635
2000-02-03,False,True,"(2, 1, 6, 5)",0.02334625936202273
2000-02-04,False,True,,
2000-02-07,False,True,,
2000-02-08,False,True,,
2000-02-09,False,True,,
2000-02-10,False,True,,
2000-02-11,False,True,,
2000-02-14,False,True,,
2000-02-15,False,True,,
2000-02-16,False,True,,
2000-02-17,False,True,,
2000-02-18,False,True,,
2000-02-22,False,True,,
2000-02-23,False,True,,
2000-02-24,False,True,,
2000-02-25,False,True,,
2000-02-28,False,True,"(1, 1, 2, 4)",0.1124223786332437
2000-02-29,False,True,"(1, 1, 2, 4)",0.07562023575503954
2000-03-01,False,True,"(3, 1, 2, 4)",0.12942028035126335
2000-03-02,False,True,"(4, 1, 2, 4)",0.372738402219574
2000-03-03,False,True,"(3, 1, 2, 4)",0.13675960491004943
2000-03-06,False,True,,
2000-03-07,False,True,,
2000-03-08,False,True,,
2000-03-09,True,False,"(1, 1, 2, 4)",0.7785908459597646
2000-03-10,True,False,"(3, 1, 2, 4)",0.8751385636170724
2000-03-13,True,False,"(3, 1, 2, 4)",0.8246361891073427
2000-03-14,True,False,,
2000-03-15,True,False,,
2000-03-16,True,False,"(1, 1, 2, 5)",0.8019783048538596
2000-03-17,True,False,"(2, 1, 2, 5)",0.5353683091628375
2000-03-20,True,False,"(5, 1, 2, 5)",0.15763735169733947
2000-03-21,True,False,"(3, 1, 2, 5)",0.5974624441203246
2000-03-22,True,False,"(5, 3, 2, 5)",0.4011358950308486
2000-03-23,True,False,"(1, 1, 2, 5)",0.33313123187078825
2000-03-24,True,False,"(3, 3, 2, 5)",0.13941069055286545
2000-03-27,True,False,"(5, 3, 2, 5)",0.29693723002407146
2000-03-28,True,False,"(5, 3, 2, 4)",0.42110311483518503
2000-03-29,True,False,"(1, 1, 6, 5)",0.2119538426417956
2000-03-30,True,False,,
2000-03-31,True,False,"(2, 1, 6, 5)",0.23711382540276885
2000-04-03,True,False,"(1, 1, 6, 5)",0.184297324843096
2000-04-04,True,False,"(1, 1, 6, 5)",0.17792117062693413
2000-04-05,True,False,"(3, 1, 6, 5)",0.050803131013469505
2000-04-06,True,False,"(4, 1, 2, 5)",0.06410503130842131
2000-04-07,True,False,,
2000-04-10,True,False,"(5, 2, 2, 5)",0.05281865767998232
2000-04-11,True,False,"(5, 1, 2, 5)",0.032543302653847875
2000-04-12,True,False,,
2000-04-13,True,False,"(2, 1, 2, 5)",0.04019850394758475
2000-04-14,True,False,,
2000-04-17,True,False,"(4, 1, 2, 4)",0.3882209273931707
2000-04-18,True,False,"(1, 1, 2, 4)",0.219600631957098
2000-04-19,True,False,,
2000-04-20,True,False,"(2, 1, 2, 4)",0.24099633947779642
2000-04-24,True,False,"(1, 1, 2, 4)",0.13146942762441144
2000-04-25,True,False,"(1, 1, 2, 5)",0.36427015554058373
2000-04-26,True,False,"(2, 1, 2, 4)",0.06266908225517917
2000-04-27,True,False,,
2000-04-28,True,False,"(5, 1, 2, 4)",0.22471042838435995
2000-05-01,True,False,"(5, 1, 2, 4)",0.15358496041682682
2000-05-02,True,False,"(5, 1, 2, 4)",0.17215552830926056
2000-05-03,True,False,,
2000-05-04,True,False,,
2000-05-05,True,False,,
2000-05-08,True,False,,
2000-05-09,True,False,"(1, 1, 2, 4)",0.6993653593681775
2000-05-10,True,False,"(4, 1, 2, 4)",0.88180735229513
2000-05-11,True,False,"(2, 1, 2, 5)",0.5933404442389848
2000-05-12,True,False,"(5, 1, 2, 5)",0.5787735805321106
2000-05-15,True,False,"(5, 1, 2, 5)",0.599182468059059
2000-05-16,True,False,"(5, 3, 2, 5)",0.5070614724727608
2000-05-17,True,False,"(5, 1, 6, 5)",0.6229037821272075
2000-05-18,True,False,"(5, 3, 6, 5)",0.857332986243709
2000-05-19,True,False,,
2000-05-22,True,False,"(5, 1, 2, 4)",0.7858190737002773
2000-05-23,True,False,"(1, 1, 2, 5)",0.7353288568019442
2000-05-24,True,False,"(5, 1, 2, 5)",0.5419172863901547
2000-05-25,True,False,"(4, 1, 6, 4)",0.7783280976973508
2000-05-26,True,False,"(4, 1, 6, 4)",0.8121576947852029
2000-05-30,True,False,"(4, 1, 6, 4)",0.6358566701583293
2000-05-31,True,False,"(5, 3, 6, 5)",0.16441221287810173
2000-06-01,True,False,"(1, 1, 6, 5)",0.0937267441703124
2000-06-02,True,False,"(1, 1, 6, 5)",0.17558947604844727
2000-06-05,True,False,"(3, 1, 6, 5)",0.07805004705303818
2000-06-06,True,False,"(4, 1, 2, 5)",0.06846806135760913
2000-06-07,True,False,"(3, 1, 2, 5)",0.0733759906976584
2000-06-08,True,False,,
2000-06-09,True,False,,
2000-06-12,True,False,,
2000-06-13,True,False,"(1, 1, 2, 4)",0.039853092557441606
2000-06-14,True,False,"(1, 1, 2, 5)",0.05778284102191695
2000-06-15,True,False,,
2000-06-16,True,False,,
2000-06-19,True,False,"(3, 1, 6, 4)",0.4221666708254862
2000-06-20,True,False,"(1, 1, 2, 4)",0.22393213502779524
2000-06-21,True,False,,
2000-06-22,True,False,"(2, 1, 2, 4)",0.2212370144413121
2000-06-23,True,False,,
2000-06-26,True,False,,
2000-06-27,True,False,,
2000-06-28,True,False,,
2000-06-29,True,False,,
2000-06-30,True,False,,
2000-07-03,True,False,,
2000-07-05,True,False,"(1, 1, 2, 3)",0.682029608340529
2000-07-06,True,False,"(1, 1, 2, 4)",0.21798352615938002
2000-07-07,True,False,"(1, 1, 2, 5)",0.11894676206575046
2000-07-10,True,False,"(3, 3, 2, 5)",0.11642280010857244
2000-07-11,True,False,"(1, 1, 2, 5)",0.1884941914610517
2000-07-12,True,False,"(2, 1, 2, 5)",0.07154230711351284
2000-07-13,True,False,"(5, 1, 2, 5)",0.034086632649190964
2000-07-14,True,False,"(5, 3, 2, 5)",0.12081655052722229
2000-07-17,True,False,,
2000-07-18,True,False,,
2000-07-19,True,False,,
2000-07-20,True,False,,
2000-07-21,True,False,,
2000-07-24,True,False,"(3, 1, 2, 3)",0.2878275270920784
2000-07-25,True,False,"(3, 1, 2, 3)",0.26207572143550995
2000-07-26,True,False,,
2000-07-27,True,False,,
2000-07-28,True,False,,
2000-07-31,True,False,,
2000-08-01,True,False,"(1, 1, 2, 4)",0.8751132482370596
2000-08-02,True,False,"(3, 1, 2, 4)",0.9507635502209286
2000-08-03,True,False,"(1, 1, 2, 5)",0.23793548107139434
2000-08-04,True,False,"(1, 1, 2, 5)",0.15529673839197847
2000-08-07,True,False,"(3, 3, 2, 5)",0.15737300534313944
2000-08-08,True,False,"(3, 1, 2, 5)",0.0891974796792243
2000-08-09,True,False,"(5, 3, 2, 5)",0.11298990335568289
2000-08-10,True,False,"(4, 1, 2, 5)",0.1739131477376189
2000-08-11,True,False,"(1, 1, 2, 5)",0.1251331276941297
2000-08-14,True,False,"(2, 1, 2, 5)",0.13296967553272737
2000-08-15,True,False,,
2000-08-16,True,False,,
2000-08-17,True,False,"(5, 1, 6, 5)",0.17482633089898525
2000-08-18,True,False,,
2000-08-21,True,False,,
2000-08-22,True,False,,
2000-08-23,True,False,"(2, 1, 7, 5)",0.4332816305180778
2000-08-24,True,False,,
2000-08-25,True,False,,
2000-08-28,True,False,"(1, 1, 2, 3)",0.8935450258020082
2000-08-29,True,False,"(3, 1, 2, 3)",0.9191448945409946
2000-08-30,True,False,"(3, 1, 2, 3)",0.9512199562546447
2000-08-31,True,False,"(3, 1, 2, 3)",0.9507233053938522
2000-09-01,True,False,"(5, 1, 2, 3)",0.9446083088545678
2000-09-05,True,False,"(5, 1, 7, 4)",0.9659752709306356
2000-09-06,True,False,"(5, 1, 6, 2)",0.9731035963318055
2000-09-07,True,False,"(5, 1, 2, 3)",0.9321419599281344
2000-09-08,True,False,"(1, 1, 2, 5)",0.2390738355912355
2000-09-11,True,False,"(1, 1, 6, 5)",0.18290927647183197
2000-09-12,True,False,"(3, 3, 6, 5)",0.22395454632170633
2000-09-13,True,False,"(1, 1, 6, 5)",0.1823413882283133
2000-09-14,True,False,"(3, 3, 6, 5)",0.19941620496265197
2000-09-15,True,False,"(4, 3, 6, 5)",0.15276739042292908
2000-09-18,True,False,,
2000-09-19,True,False,"(4, 1, 2, 2)",0.5690081087483306
2000-09-20,True,False,"(5, 1, 2, 2)",0.8404469617116043
2000-09-21,True,False,,
