,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2004-10-28 00:00:00,2000-01-07 00:00:00,2008-04-28 00:00:00,2000-01-07 00:00:00,2012-03-14 00:00:00,2000-01-07 00:00:00,2015-02-06 00:00:00,2000-01-07 00:00:00,2018-02-21 00:00:00,2000-01-07 00:00:00,2021-04-29 00:00:00
End,2004-10-27 00:00:00,2008-04-25 00:00:00,2008-04-25 00:00:00,2012-03-13 00:00:00,2012-03-13 00:00:00,2015-02-05 00:00:00,2015-02-05 00:00:00,2018-02-20 00:00:00,2018-02-20 00:00:00,2021-04-28 00:00:00,2021-04-28 00:00:00,2024-10-10 00:00:00
Period,1207 days 00:00:00,879 days 00:00:00,2086 days 00:00:00,978 days 00:00:00,3064 days 00:00:00,729 days 00:00:00,3793 days 00:00:00,765 days 00:00:00,4558 days 00:00:00,802 days 00:00:00,5360 days 00:00:00,869 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,84.63334335618187,14.227172295390218,84.98204202677961,2.0866952336679674,46.92618233907644,52.1606874973438,61.97276440887717,54.58518129897668,100.09542540112577,29.870911985919605,120.53628999631515,52.523668256862706
Total Return [%],-15.366656643818132,-85.77282770460978,-15.017957973220392,-97.91330476633203,-53.07381766092356,-47.8393125026562,-38.02723559112283,-45.41481870102332,0.09542540112576603,-70.1290880140804,20.536289996315148,-47.476331743137294
Benchmark Return [%],79.0762389971903,-0.07815943429547723,79.8140527712629,-1.373651326881209,79.20399370252657,31.97753380496522,136.66461513125458,57.522979343659685,282.2492921675014,19.350311455762316,360.30986278289987,-16.25617515373846
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],60.15449544714322,89.89104584810337,60.15449544714322,99.16723519545639,81.4731805732689,64.13392410192418,81.4731805732689,70.85375602454323,81.4731805732689,86.79152382032979,81.4731805732689,72.40913312804905
Max Drawdown Duration,1165 days 00:00:00,817 days 00:00:00,2044 days 00:00:00,927 days 00:00:00,2145 days 00:00:00,709 days 00:00:00,2145 days 00:00:00,709 days 00:00:00,2357 days 00:00:00,794 days 00:00:00,2357 days 00:00:00,687 days 00:00:00
Total Trades,1,5,1,7,2,2,2,5,2,7,2,5
Total Closed Trades,0,4,0,6,1,1,1,4,1,6,1,4
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-15.366656643818132,-6.1872832890753,-15.01795797322039,0.4808528634477416,10.741086658569387,-5.0306274875983945,25.787668728370114,12.366323829583877,63.91032972061871,11.888475755125057,84.3511943158081,18.616297595476503
Win Rate [%],,50.0,,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
Best Trade [%],,2.554220176604858,,-47.4684734425876,-63.81490431949294,-42.808685015057804,-63.81490431949294,1.6684029704518144,-63.81490431949294,-0.9601496135303904,-63.81490431949294,-18.49971053180276
Worst Trade [%],,-57.43343681585566,,-52.81378723854242,-63.81490431949294,-42.808685015057804,-63.81490431949294,-37.44740104216609,-63.81490431949294,-34.58463670313131,-63.81490431949294,-29.568811158854015
Avg Winning Trade [%],,1.954874303719883,,,,,,1.1481704230912544,,,,
Avg Losing Trade [%],,-55.647215248821624,,-49.72769477508022,-63.81490431949294,-42.808685015057804,-63.81490431949294,-35.73793653001477,-63.81490431949294,-24.100939246823014,-63.81490431949294,-23.585404193144957
Avg Winning Trade Duration,,8 days 00:00:00,,,,,,1 days 00:00:00,,,,
Avg Losing Trade Duration,,369 days 00:00:00,,24 days 08:00:00,2247 days 00:00:00,36 days 00:00:00,2247 days 00:00:00,99 days 00:00:00,2247 days 00:00:00,81 days 16:00:00,2247 days 00:00:00,116 days 12:00:00
Profit Factor,,0.047221067222227256,,0.0,0.0,0.0,0.0,0.03839067566567511,0.0,0.0,0.0,0.0
Expectancy,,-19.89638610388362,,-16.399026271629964,-63.814904319492946,-42.808685015057804,-63.814904319492946,-14.4452856326518,-63.814904319492946,-13.669593961534241,-63.814904319492946,-16.523157334653447
Sharpe Ratio,0.1928240478810281,-0.046466732940748094,0.17539505567401478,-0.8976852740626263,0.1309259767317996,-0.5170341392375308,0.18011645489011488,-0.07022765642945246,0.2560664222706465,-0.5720365106184403,0.2827280870111306,-0.41542887712852283
Calmar Ratio,-0.08179236934926001,-0.617440256984422,-0.046667048447801944,-0.7704747967888345,-0.1057859917412211,-0.43362193179710995,-0.05523252328628185,-0.35407994022033346,9.375130493382742e-05,-0.48736964017680723,0.015711231659234055,-0.3272627462217016
Omega Ratio,1.0418782894410563,0.9785814306868929,1.0347432706165567,0.8304121363928861,1.0251051010850711,0.8792223523023458,1.0347601370149004,0.9781123802749487,1.0492258895362938,0.8945747704091752,1.053415929925947,0.9387282900511928
Sortino Ratio,0.2223385684212967,-0.0800709867308405,0.21313977204929002,-1.0407048882008192,0.17333583099874816,-0.5505582765241467,0.23864868351057833,-0.09902906794244185,0.3404690906359578,-0.7325860129491361,0.3805303395642401,-0.5386246403612515
