Date,entry_signal,exit_signal,max_combs,max_probs
2009-06-30,False,True,,
2009-07-01,False,True,,
2009-07-02,False,True,,
2009-07-06,False,True,,
2009-07-07,False,True,,
2009-07-08,False,True,,
2009-07-09,True,False,"(1, 1, 6, 5)",0.9999058448351059
2009-07-10,False,True,,
2009-07-13,True,False,"(2, 1, 5, 5)",0.99997290598874
2009-07-14,True,False,"(1, 1, 5, 2)",0.9999759195064701
2009-07-15,True,False,"(2, 2, 2, 2)",0.9999922660698224
2009-07-16,True,False,"(2, 2, 7, 2)",0.9998391948301935
2009-07-17,True,False,"(3, 3, 7, 2)",0.999821402370718
2009-07-20,True,False,"(5, 4, 7, 2)",0.9995703953650155
2009-07-21,True,False,"(5, 4, 7, 2)",0.9996876738082516
2009-07-22,True,False,"(5, 3, 8, 2)",0.9997501227236142
2009-07-23,True,False,"(5, 2, 2, 5)",0.9945585312963043
2009-07-24,True,False,"(5, 2, 2, 5)",0.9941859407460337
2009-07-27,True,False,"(5, 4, 2, 5)",0.9980781652004715
2009-07-28,True,False,"(5, 4, 2, 5)",0.9974843719494274
2009-07-29,True,False,"(5, 1, 2, 5)",0.9966760676688103
2009-07-30,True,False,"(5, 2, 2, 5)",0.9927442680531106
2009-07-31,True,False,"(1, 1, 8, 5)",0.9916635041876635
2009-08-03,True,False,"(3, 2, 8, 5)",0.8523875454866444
2009-08-04,True,False,"(3, 3, 8, 5)",0.6886810427910867
2009-08-05,True,False,"(2, 2, 8, 5)",0.4599940563625295
2009-08-06,True,False,"(5, 2, 8, 5)",0.0517287140361591
2009-08-07,True,False,"(4, 2, 8, 5)",0.0928654252271238
2009-08-10,True,False,"(4, 2, 8, 5)",0.06408422273988978
2009-08-11,True,False,,
2009-08-12,True,False,"(3, 1, 2, 5)",0.02018612333237934
2009-08-13,True,False,"(1, 1, 6, 2)",0.039856329646100586
2009-08-14,True,False,"(4, 1, 7, 5)",0.019578019624975348
2009-08-17,True,False,,
2009-08-18,True,False,"(4, 1, 5, 3)",0.77307516589019
2009-08-19,True,False,"(1, 1, 2, 2)",0.7234121548367193
2009-08-20,False,True,"(1, 1, 2, 5)",0.029797080715190494
2009-08-21,False,True,"(2, 2, 2, 5)",0.0705145898712536
2009-08-24,False,True,"(2, 1, 2, 2)",0.01953219869141287
2009-08-25,False,True,"(2, 1, 7, 2)",0.06406267461712516
2009-08-26,False,True,"(2, 1, 2, 5)",0.01687826298845426
2009-08-27,False,True,"(4, 2, 8, 5)",0.02450101840506935
2009-08-28,False,True,"(3, 2, 7, 2)",0.06697753588736112
2009-08-31,False,True,,
2009-09-01,False,True,,
2009-09-02,False,True,,
