,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2005-03-15 00:00:00,2000-01-07 00:00:00,2008-07-31 00:00:00,2000-01-07 00:00:00,2011-12-23 00:00:00,2000-01-07 00:00:00,2014-10-29 00:00:00,2000-01-07 00:00:00,2018-04-11 00:00:00,2000-01-07 00:00:00,2021-07-13 00:00:00
End,2005-03-14 00:00:00,2008-07-29 00:00:00,2008-07-29 00:00:00,2011-12-22 00:00:00,2011-12-22 00:00:00,2014-10-28 00:00:00,2014-10-28 00:00:00,2018-04-10 00:00:00,2018-04-10 00:00:00,2021-07-12 00:00:00,2021-07-12 00:00:00,2024-10-10 00:00:00
Period,1301 days 00:00:00,850 days 00:00:00,2151 days 00:00:00,858 days 00:00:00,3010 days 00:00:00,715 days 00:00:00,3725 days 00:00:00,867 days 00:00:00,4592 days 00:00:00,819 days 00:00:00,5411 days 00:00:00,818 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,13.960734788881567,67.3391582915115,16.495347959422674,1.6791128426027626,6.695573973483775,105.00697147245835,10.909786440511795,66.79156712844558,14.556270368668095,33.36684681588548,18.314532408842766,38.480366070961296
Total Return [%],-86.03926521111843,-32.660841708488505,-83.50465204057733,-98.32088715739724,-93.30442602651623,5.006971472458346,-89.0902135594882,-33.20843287155442,-85.4437296313319,-66.63315318411452,-81.68546759115723,-61.51963392903871
Benchmark Return [%],65.33372300896889,18.832790008520007,95.35055508910236,-4.848811281788523,89.53150710297248,62.051244787019314,208.8231530904741,32.4673058430637,312.04411626215443,27.13801319898095,418.42918069175124,-8.6576626024502
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],93.78274179840463,49.08065797157687,93.78274179840463,99.4761478411429,97.91110472637446,34.498022602460736,97.91110472637446,54.93979811907727,97.91110472637446,83.72535595531949,97.91110472637446,79.33711159413386
Max Drawdown Duration,1288 days 00:00:00,820 days 00:00:00,2138 days 00:00:00,839 days 00:00:00,2997 days 00:00:00,497 days 00:00:00,3712 days 00:00:00,853 days 00:00:00,4579 days 00:00:00,803 days 00:00:00,5398 days 00:00:00,750 days 00:00:00
Total Trades,3,1,3,9,5,2,5,3,5,6,5,13
Total Closed Trades,2,0,2,8,4,1,4,2,4,5,4,12
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-1.1568113680622023,-32.660841708488505,1.3778018024788992,0.8965557054935945,3.5750754179071347,5.622690677586519,7.78928788493515,0.7376600492592047,11.435771813091442,12.315633487577756,15.19403385326612,12.210279758615009
Win Rate [%],0.0,,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,41.66666666666667
Best Trade [%],-60.908087197836345,,-60.908087197836345,-40.20583152072438,-47.89856624107773,-0.6157192051281726,-47.89856624107773,3.0903547821491912,-47.89856624107773,-11.70775686020323,-47.89856624107773,4.7339284955178265
Worst Trade [%],-61.328200455550316,,-61.328200455550316,-54.052617823354765,-61.328200455550316,-0.6157192051281726,-61.328200455550316,-35.92620064333694,-61.328200455550316,-34.01740111073706,-61.328200455550316,-23.26855129665799
Avg Winning Trade [%],,,,,,,,3.0903547821491912,,,,2.2375866928092276
Avg Losing Trade [%],-61.11814382669334,,-61.11814382669334,-45.30475512360512,-57.62920297556923,-0.6157192051281726,-57.62920297556923,-35.92620064333694,-57.62920297556923,-26.37910476916311,-57.62920297556923,-18.384035445780082
Avg Winning Trade Duration,,,,,,,,10 days 00:00:00,,,,2 days 00:00:00
Avg Losing Trade Duration,13 days 12:00:00,,13 days 12:00:00,15 days 09:00:00,571 days 06:00:00,2 days 00:00:00,571 days 06:00:00,296 days 00:00:00,571 days 06:00:00,94 days 00:00:00,571 days 06:00:00,54 days 20:34:17.142857143
Profit Factor,0.0,,0.0,0.0,0.0,0.0,0.0,0.08344090683140681,0.0,0.0,0.0,0.13548257046565754
Expectancy,-42.44122692152811,,-42.44122692152811,-12.402180357861353,-24.21987536110584,-0.6157192051281726,-24.21987536110584,-16.973046460406813,-24.21987536110584,-15.789757334338455,-24.21987536110584,-6.144159473971142
Sharpe Ratio,-0.3877755189661084,-0.14645702985233058,-0.20076679872802275,-1.1937135010102005,-0.1604064007425408,0.3153766913566551,-0.05106310204383289,-0.12582848228585897,0.008927092913080959,-0.728019627424433,0.06745665281239005,-0.4938793080897716
Calmar Ratio,-0.4525631173761538,-0.3181859201272468,-0.28092788978011346,-0.8285744867084975,-0.2855000315223828,0.07320530448881778,-0.19930595519617192,-0.28441834577684033,-0.14505602574098095,-0.46206106326289537,-0.11049940866297898,-0.4373432579285713
Omega Ratio,0.9168270131423756,0.9648152083306446,0.9562566860788893,0.7853456445196454,0.9678798235576075,1.1063396084911858,0.9894934808911315,0.96840519205619,1.0018418684212311,0.8724062579431948,1.013645057408175,0.9127803578616753
Sortino Ratio,-0.4355508922147927,-0.17580761159089486,-0.23281668976565037,-1.3882577059925918,-0.1972098524830655,0.4518307702817314,-0.06298168901549299,-0.165648829672797,0.01105798011000327,-0.8891583135491121,0.08488298615691191,-0.678253893375646
