,0,1
Start,2012-03-29 00:00:00,2019-08-12 00:00:00
End,2019-08-09 00:00:00,2024-10-08 00:00:00
Period,1853 days 00:00:00,1299 days 00:00:00
Start Value,100.0,100.0
End Value,14776.305477642722,662.2835075636792
Total Return [%],14676.305477642723,562.2835075636792
Benchmark Return [%],-99.99978888166099,-99.83745484856905
Max Gross Exposure [%],100.0,100.0
Total Fees Paid,0.0,0.0
Max Drawdown [%],41.58342124794684,62.43284735763659
Max Drawdown Duration,214 days 00:00:00,1088 days 00:00:00
Total Trades,107,19
Total Closed Trades,106,19
Total Open Trades,1,0
Open Trade PnL,391.3650357490824,0.0
Win Rate [%],60.37735849056604,47.368421052631575
Best Trade [%],110.45392022008255,669.2307692307692
Worst Trade [%],-13.383985973115141,-39.14448294033752
Avg Winning Trade [%],11.767937022788507,83.83913610809134
Avg Losing Trade [%],-3.855189702282776,-8.038662671519022
Avg Winning Trade Duration,4 days 01:30:00,5 days 10:40:00
Avg Losing Trade Duration,2 days 08:24:00,2 days 07:12:00
Profit Factor,6.133984838750275,1.5915201861048576
Expectancy,133.45112328710076,29.593868819141
Sharpe Ratio,1.555364791036824,1.0232352699438985
Calmar Ratio,4.028531733289569,1.122787723907396
Omega Ratio,1.6575583812635653,1.9159098634843827
Sortino Ratio,2.893141235146218,2.2407150892420336
