,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,1.584786021734927e-08,2012-05-02,6310000128.0,0.0,2012-05-08,7864999936.0,0.0,24.643419595188945,0.24643419595188945,Long,Closed,0
1,1,0,1.718034713930348e-08,2012-05-09,7255000064.0,0.0,2012-05-11,8060000256.0,0.0,13.830182745765939,0.1109579855132582,Long,Closed,1
2,2,0,1.6653470299268934e-08,2012-05-14,8314999808.0,0.0,2012-05-22,10480000000.0,0.0,36.054766395383524,0.26037284930746674,Long,Closed,2
3,3,0,1.941361137390391e-08,2012-05-25,8990000128.0,0.0,2012-05-29,9070000128.0,0.0,1.5530889099123044,0.00889877629154129,Long,Closed,3
4,4,0,4.167608528130655e-08,2012-07-06,4224999936.0000005,0.0,2012-07-09,4075000064.0,0.0,-6.251407457657081,-0.035502928821819595,Long,Closed,4
5,5,0,6.506898793771038e-08,2012-08-16,2609999872.0,0.0,2012-08-17,2560000000.0,0.0,-3.2534410680550536,-0.01915704001996206,Long,Closed,5
6,6,0,6.785197750631855e-08,2012-08-20,2455000064.0,0.0,2012-08-21,2740000000.0,0.0,19.337809246774242,0.11608958393900891,Long,Closed,6
7,7,0,1.2861599048882818e-07,2012-11-02,1445500032.0,0.0,2012-11-05,1435000064.0,0.0,-1.3504637844210094,-0.0072639002196854124,Long,Closed,7
8,8,0,3.515503896816987e-07,2013-01-25,525000000.0,0.0,2013-02-06,536000000.0,0.0,3.8670542864986714,0.020952380952380875,Long,Closed,8
9,9,0,6.058874883260144e-07,2013-04-24,311000000.0,0.0,2013-04-30,320000000.0,0.0,5.4529873949341265,0.028938906752411557,Long,Closed,9
10,10,0,6.528080682300492e-07,2013-05-08,297000000.0,0.0,2013-05-09,307000000.0,0.0,6.528080682300498,0.0336700336700337,Long,Closed,10
11,11,0,6.725237481430373e-07,2013-05-10,298000000.0,0.0,2013-05-13,290500000.0,0.0,-5.043928111072802,-0.025167785234899438,Long,Closed,11
12,12,0,6.783616279012233e-07,2013-05-20,288000000.0,0.0,2013-05-29,300000000.0,0.0,8.140339534814672,0.04166666666666662,Long,Closed,12
13,13,0,6.694358170077861e-07,2013-05-30,304000000.0,0.0,2013-06-07,304150016.0,0.0,0.10042608352424054,0.0004934736842105288,Long,Closed,13
14,14,0,6.171837358408343e-07,2013-06-11,329900000.0,0.0,2013-06-14,349900000.0,0.0,12.343674716816707,0.06062443164595342,Long,Closed,14
15,15,0,6.166550233315475e-07,2013-06-17,350200000.0,0.0,2013-06-18,348700000.0,0.0,-0.9249825349973264,-0.0042832667047401725,Long,Closed,15
16,16,0,1.385933655402582e-06,2013-09-23,155150000.0,0.0,2013-09-25,149750000.0,0.0,-7.484041739173932,-0.034805027392845585,Long,Closed,16
17,17,0,1.5891544019642928e-06,2013-10-22,130600000.0,0.0,2013-10-25,125850000.0,0.0,-7.548483409330402,-0.03637059724349163,Long,Closed,17
18,18,0,2.499938518590078e-06,2014-01-08,80000000.0,0.0,2014-01-15,76850000.0,0.0,-7.874806333558752,-0.03937500000000003,Long,Closed,18
19,19,0,2.467826270438632e-06,2014-01-16,77850000.0,0.0,2014-01-22,75300000.0,0.0,-6.292956989618517,-0.032755298651252436,Long,Closed,19
20,20,0,2.2769468803408363e-06,2014-01-23,81612496.0,0.0,2014-02-07,89612496.0,0.0,18.215575042726698,0.09802420452867908,Long,Closed,20
21,21,0,2.669844857137791e-06,2014-02-20,76425000.0,0.0,2014-02-21,79350000.0,0.0,7.809296207128028,0.03827281648675167,Long,Closed,21
22,22,0,2.701334898487519e-06,2014-02-24,78425000.0,0.0,2014-03-05,79012496.0,0.0,1.5870234475218297,0.00749118265859104,Long,Closed,22
23,23,0,2.561526707007567e-06,2014-03-07,83325000.0,0.0,2014-03-18,80125000.0,0.0,-8.196885462424206,-0.038403840384038365,Long,Closed,23
24,24,0,2.8902283254341785e-06,2014-04-02,71012496.0,0.0,2014-04-03,68250000.0,0.0,-7.984244188098614,-0.038901547693803065,Long,Closed,24
