,0,1,2,3,4,5,6,7,8,9
Start,2002-03-27 00:00:00,2007-04-04 00:00:00,2002-03-27 00:00:00,2010-07-26 00:00:00,2002-03-27 00:00:00,2014-02-03 00:00:00,2002-03-27 00:00:00,2017-10-05 00:00:00,2002-03-27 00:00:00,2021-02-11 00:00:00
End,2007-04-03 00:00:00,2010-07-23 00:00:00,2010-07-23 00:00:00,2014-01-31 00:00:00,2014-01-31 00:00:00,2017-10-04 00:00:00,2017-10-04 00:00:00,2021-02-10 00:00:00,2021-02-10 00:00:00,2024-09-27 00:00:00
Period,1264 days 00:00:00,833 days 00:00:00,2097 days 00:00:00,887 days 00:00:00,2984 days 00:00:00,926 days 00:00:00,3910 days 00:00:00,843 days 00:00:00,4753 days 00:00:00,913 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,128.52840922126566,0.1068073933222422,197.67495627062124,1.6673685422236844,116.34990560707112,0.03292958403628177,101.15448315180747,28.200784216400578,193.83936043263063,46.568929354835994
Total Return [%],28.52840922126566,-99.89319260667776,97.67495627062124,-98.33263145777632,16.349905607071122,-99.96707041596372,1.1544831518074687,-71.79921578359942,93.83936043263063,-53.431070645164006
Benchmark Return [%],910.6188365947389,50.0833539583934,1454.3181117741374,-40.863465661724106,814.85926695085,-10.289643153249283,695.3776655185364,95.01199096996275,1424.158823046257,-0.6314547258512437
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],90.17421612983213,99.97032332671448,90.17421612983213,98.49217022209035,90.17421612983213,99.9934338443993,93.2080402195302,89.91830219724044,93.2080402195302,65.7798444105639
Max Drawdown Duration,1190 days 00:00:00,778 days 00:00:00,1190 days 00:00:00,884 days 00:00:00,1437 days 00:00:00,897 days 00:00:00,2363 days 00:00:00,835 days 00:00:00,3206 days 00:00:00,882 days 00:00:00
Total Trades,3,12,3,5,3,14,3,5,3,4
Total Closed Trades,2,11,2,4,2,13,2,4,2,3
Total Open Trades,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,96.23841537610423,0.021933037031776348,165.3849624254598,-1.3970597281480088,84.05991176190969,0.020996074192573495,68.86448930664602,10.446905583188347,161.5493665874692,-0.1974940930953295
Win Rate [%],50.0,27.27272727272727,50.0,0.0,50.0,0.0,50.0,0.0,50.0,33.33333333333333
Best Trade [%],3.3088253082699457,5.978258028216153,3.3088253082699457,-56.046721518036435,3.3088253082699457,-47.43098815568984,3.3088253082699457,-1.956945245005173,3.3088253082699457,4.680100443153492
Worst Trade [%],-68.7442057841533,-65.74924531395322,-68.7442057841533,-61.34300676890064,-68.7442057841533,-52.46161175073104,-68.7442057841533,-49.242824890735136,-68.7442057841533,-36.74224615543352
Avg Winning Trade [%],3.3088253082699457,3.503504732576824,3.3088253082699457,,3.3088253082699457,,3.3088253082699457,,3.3088253082699457,4.680100443153492
Avg Losing Trade [%],-68.7442057841533,-56.113703749013,-68.7442057841533,-58.11092361210988,-68.7442057841533,-50.07200473897626,-68.7442057841533,-32.668055619825516,-68.7442057841533,-33.05880202189299
Avg Winning Trade Duration,12 days 00:00:00,6 days 08:00:00,12 days 00:00:00,,12 days 00:00:00,,12 days 00:00:00,,12 days 00:00:00,1 days 00:00:00
Avg Losing Trade Duration,59 days 00:00:00,43 days 12:00:00,59 days 00:00:00,181 days 06:00:00,59 days 00:00:00,34 days 11:04:36.923076923,59 days 00:00:00,146 days 18:00:00,59 days 00:00:00,76 days 00:00:00
Profit Factor,0.04659081598644368,0.09747202455826363,0.04659081598644368,0.0,0.04659081598644368,0.0,0.04659081598644368,0.0,0.04659081598644368,0.08081166118220393
Expectancy,-33.85500307741928,-9.083193240337232,-33.85500307741928,-24.23389293240708,-33.85500307741928,-7.691389730012023,-33.85500307741928,-20.561530341696944,-33.85500307741928,-17.744525517356227
Sharpe Ratio,0.5988981402395798,-0.08190532719940045,0.5979044194636125,-1.3819419818201062,0.443988164531137,-1.7962786219731708,0.40667160825092236,-0.2192298536395536,0.44658635390195317,-0.1918439719187683
Calmar Ratio,0.08335560349768747,-0.9503928404732634,0.13965595970815403,-0.8269592741640303,0.020732775609281152,-0.9576651805383478,0.0011502389787816686,-0.4692443868210578,0.05593982953408064,-0.40022162284550644
Omega Ratio,1.2207116209945463,0.9744746861949686,1.1616042350875941,0.7112550993707217,1.1118668860831307,0.685634243654169,1.090583481944672,0.9551236862382628,1.096233098022935,0.9660516845207864
Sortino Ratio,1.1170772078298379,-0.13909278591607288,1.043675644646253,-1.4650513618627325,0.7638605775932397,-1.963374903770708,0.6845486203852149,-0.2872079245905557,0.7420699533262258,-0.2727268844570117
