,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2004-12-23 00:00:00,2000-01-10 00:00:00,2008-01-29 00:00:00,2000-01-10 00:00:00,2011-08-16 00:00:00,2000-01-10 00:00:00,2014-07-16 00:00:00,2000-01-10 00:00:00,2018-01-08 00:00:00,2000-01-10 00:00:00,2021-08-02 00:00:00
End,2004-12-22 00:00:00,2008-01-28 00:00:00,2008-01-28 00:00:00,2011-08-15 00:00:00,2011-08-15 00:00:00,2014-07-15 00:00:00,2014-07-15 00:00:00,2018-01-05 00:00:00,2018-01-05 00:00:00,2021-07-30 00:00:00,2021-07-30 00:00:00,2024-09-27 00:00:00
Period,1245 days 00:00:00,778 days 00:00:00,2023 days 00:00:00,895 days 00:00:00,2918 days 00:00:00,732 days 00:00:00,3650 days 00:00:00,877 days 00:00:00,4527 days 00:00:00,897 days 00:00:00,5424 days 00:00:00,795 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,36.88989866065036,210.56871334690845,94.01872151256902,9.580311860929626,109.6246252006949,232.07960422205952,357.0194120520353,21.786345846579394,329.1307961810092,57.98161617379632,281.7413099945242,127.93010062182258
Total Return [%],-63.11010133934965,110.56871334690845,-5.981278487430984,-90.41968813907037,9.624625200694894,132.07960422205952,257.0194120520353,-78.2136541534206,229.13079618100923,-42.01838382620368,181.74130999452422,27.930100621822575
Benchmark Return [%],111.80002537435531,157.29273506088265,439.8000082680498,16.728487039136873,529.3998965068465,229.9734798329701,1949.794748078763,-10.106411258428349,1789.6747758479978,-13.08450901431748,1517.5923158470596,7.311787832784877
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],95.36175233173797,33.62283387987656,95.36175233173797,97.16749239684728,95.36175233173797,44.65763238318166,95.36175233173797,91.0908914501425,95.36175233173797,76.82611431417203,95.36175233173797,54.84141851538207
Max Drawdown Duration,1193 days 00:00:00,399 days 00:00:00,1971 days 00:00:00,805 days 00:00:00,2453 days 00:00:00,245 days 00:00:00,2453 days 00:00:00,872 days 00:00:00,2453 days 00:00:00,849 days 00:00:00,2453 days 00:00:00,557 days 00:00:00
Total Trades,7,1,7,10,7,2,7,9,7,7,7,5
Total Closed Trades,6,0,6,9,6,1,6,8,6,6,6,4
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,27.994631922013642,110.56871334690845,85.1234547739323,5.534170309151337,100.72935846205817,160.26568099318877,348.12414531339857,11.584142850485236,320.23552944237247,29.09350303759682,272.8460432558875,67.63230230837868
Win Rate [%],0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Best Trade [%],-28.517997428162463,,-28.517997428162463,-25.221172794755812,-28.517997428162463,-28.186076771129265,-28.517997428162463,-22.291677677364472,-28.517997428162463,-12.71565714274677,-28.517997428162463,-9.594357842895619
Worst Trade [%],-46.48014704386392,,-46.48014704386392,-36.245448445124666,-46.48014704386392,-28.186076771129265,-46.48014704386392,-27.503221648007266,-46.48014704386392,-21.959431953112706,-46.48014704386392,-15.022785948949945
Avg Winning Trade [%],,,,,,,,,,,,
Avg Losing Trade [%],-32.861864733026756,,-32.861864733026756,-29.888859821027648,-32.861864733026756,-28.186076771129265,-32.861864733026756,-24.808315388189406,-32.861864733026756,-18.637629286627686,-32.861864733026756,-11.84994294797088
Avg Winning Trade Duration,,,,,,,,,,,,
Avg Losing Trade Duration,64 days 16:00:00,,64 days 16:00:00,21 days 13:20:00,64 days 16:00:00,28 days 00:00:00,64 days 16:00:00,56 days 03:00:00,64 days 16:00:00,90 days 12:00:00,64 days 16:00:00,59 days 00:00:00
Profit Factor,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expectancy,-15.184122210227216,,-15.184122210227216,-10.661539827580189,-15.184122210227216,-28.186076771129265,-15.184122210227216,-11.224724625488234,-15.184122210227216,-11.851981143966748,-15.184122210227216,-9.925550421639029
Sharpe Ratio,0.25932430286161073,0.9356806152472994,0.43214791173988076,-0.9029251112207135,0.42527176487845486,1.1128104412363784,0.5469651082403215,-0.9361053642495311,0.4901009583117029,-0.021498663582468325,0.4496836336003103,0.47466745652039966
Calmar Ratio,-0.26583113854043056,1.2436352217306117,-0.011604504920345132,-0.6337258857207535,0.012122960412580553,1.1681424519718013,0.14231547687210874,-0.5155901583442001,0.10571772096493484,-0.2589124903214288,0.07570190570266548,0.21832019093507965
Omega Ratio,1.041602131888874,1.1554083039129956,1.0730885137352995,0.868259190979073,1.07024804929931,1.1942232414238603,1.0923839478159298,0.8572912519154359,1.0829522072905329,0.9967955299127302,1.074902404297919,1.0719101031544411
Sortino Ratio,0.3878273126282833,1.409085304434177,0.6503865979797051,-1.1434602085953738,0.6377666513204855,1.5612821033315087,0.8216558396585983,-1.155448317865565,0.7320374195767848,-0.028937805785976052,0.6627739294102799,0.7069232314796552
