,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2006-08-18 00:00:00,2000-01-07 00:00:00,2009-10-12 00:00:00,2000-01-07 00:00:00,2012-10-09 00:00:00,2000-01-07 00:00:00,2015-11-25 00:00:00,2000-01-07 00:00:00,2018-10-23 00:00:00,2000-01-07 00:00:00,2021-08-16 00:00:00
End,2006-08-17 00:00:00,2009-10-09 00:00:00,2009-10-09 00:00:00,2012-10-08 00:00:00,2012-10-08 00:00:00,2015-11-24 00:00:00,2015-11-24 00:00:00,2018-10-22 00:00:00,2018-10-22 00:00:00,2021-08-13 00:00:00,2021-08-13 00:00:00,2024-10-10 00:00:00
Period,1662 days 00:00:00,792 days 00:00:00,2454 days 00:00:00,755 days 00:00:00,3209 days 00:00:00,787 days 00:00:00,3996 days 00:00:00,732 days 00:00:00,4728 days 00:00:00,707 days 00:00:00,5435 days 00:00:00,794 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,37.10109115633121,28.746273930407057,41.49653955329165,101.03519069219688,63.41690707990659,111.61400280558486,93.73965516884432,91.76976044974037,110.92923795149406,102.78395790195599,159.85988678338606,115.7047236141129
Total Return [%],-62.898908843668785,-71.25372606959294,-58.50346044670835,1.0351906921968776,-36.58309292009341,11.61400280558486,-6.2603448311556775,-8.230239550259626,10.92923795149406,2.7839579019559864,59.85988678338606,15.704723614112892
Benchmark Return [%],14.172567239124657,11.181082929463383,27.698844014476066,52.17881662451176,95.15520600645206,49.25000360817007,188.46852610454675,18.028433675265543,241.36666831268136,43.47541713244849,391.94277321141476,21.203564625813364
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],75.2061927397383,78.77975025063778,75.2061927397383,34.143189441442985,75.2061927397383,27.73399252694409,75.2061927397383,24.035629999215246,75.2061927397383,33.57997025467125,75.2061927397383,16.302377121351668
Max Drawdown Duration,1649 days 00:00:00,754 days 00:00:00,2441 days 00:00:00,739 days 00:00:00,3196 days 00:00:00,474 days 00:00:00,3983 days 00:00:00,720 days 00:00:00,4058 days 00:00:00,637 days 00:00:00,4058 days 00:00:00,486 days 00:00:00
Total Trades,2,4,2,1,2,1,2,1,2,2,2,1
Total Closed Trades,1,3,1,0,1,0,1,0,1,1,1,0
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-12.66707676369218,-4.359339486019408,-8.27162836673174,1.0351906921968776,13.648739159883206,11.61400280558486,43.971487248820935,-8.230239550259626,61.16107003147067,25.959160717860513,110.09171886336267,15.704723614112893
Win Rate [%],0.0,33.33333333333333,0.0,,0.0,,0.0,,0.0,0.0,0.0,
Best Trade [%],-50.23183207997661,1.1106731329394108,-50.23183207997661,,-50.23183207997661,,-50.23183207997661,,-50.23183207997661,-23.175202815904527,-50.23183207997661,
Worst Trade [%],-50.23183207997661,-44.49047320644459,-50.23183207997661,,-50.23183207997661,,-50.23183207997661,,-50.23183207997661,-23.175202815904527,-50.23183207997661,
Avg Winning Trade [%],,1.1106731329394108,,,,,,,,,,
Avg Losing Trade [%],-50.23183207997661,-42.7530402318333,-50.23183207997661,,-50.23183207997661,,-50.23183207997661,,-50.23183207997661,-23.175202815904527,-50.23183207997661,
Avg Winning Trade Duration,,6 days 00:00:00,,,,,,,,,,
Avg Losing Trade Duration,20 days 00:00:00,301 days 00:00:00,20 days 00:00:00,,20 days 00:00:00,,20 days 00:00:00,,20 days 00:00:00,40 days 00:00:00,20 days 00:00:00,
Profit Factor,0.0,0.016332213184862738,0.0,,0.0,,0.0,,0.0,0.0,0.0,
Expectancy,-50.231832079976606,-22.298128861191188,-50.231832079976606,,-50.231832079976606,,-50.231832079976606,,-50.231832079976606,-23.175202815904527,-50.231832079976606,
Sharpe Ratio,-0.39271513080683346,-0.4811836859195562,-0.22080856820305836,0.18354351262919122,-0.006972339721150794,0.35333393348505715,0.1380900209249687,-0.09587898495236143,0.18269187972709347,0.19101623998736372,0.2750967668598033,0.4850914214563633
Calmar Ratio,-0.2601863595597592,-0.5547534168244139,-0.1630542279139777,0.01461859118623713,-0.0671274453973389,0.1885048426613091,-0.00782876191059345,-0.17441709163800517,0.010689907038069074,0.04251688650545656,0.04255885152095257,0.42543551697426657
Omega Ratio,0.9071554713976913,0.8390616178388248,0.9524317893506375,1.0461317908707626,0.9985166949002588,1.0838247557279175,1.0289683639818796,0.9802808429852028,1.0376642140069519,1.0377346855824479,1.0560801393263184,1.0753292559787309
Sortino Ratio,-0.4276217602872902,-0.6313819934040427,-0.24788146111911938,0.19924284483671137,-0.007927503684057464,0.3918538596861105,0.15874596017272913,-0.10724720653717511,0.2115329991332182,0.24087460220279214,0.32516908327492167,0.6454974012307834
