,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2005-07-06 00:00:00,2000-01-10 00:00:00,2009-01-05 00:00:00,2000-01-10 00:00:00,2012-06-13 00:00:00,2000-01-10 00:00:00,2015-11-16 00:00:00,2000-01-10 00:00:00,2018-08-08 00:00:00,2000-01-10 00:00:00,2021-08-30 00:00:00
End,2005-07-05 00:00:00,2009-01-02 00:00:00,2009-01-02 00:00:00,2012-06-12 00:00:00,2012-06-12 00:00:00,2015-11-13 00:00:00,2015-11-13 00:00:00,2018-08-07 00:00:00,2018-08-07 00:00:00,2021-08-27 00:00:00,2021-08-27 00:00:00,2024-10-10 00:00:00
Period,1378 days 00:00:00,881 days 00:00:00,2259 days 00:00:00,867 days 00:00:00,3126 days 00:00:00,862 days 00:00:00,3988 days 00:00:00,686 days 00:00:00,4674 days 00:00:00,770 days 00:00:00,5444 days 00:00:00,784 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,961.9645796984656,169.0098731914978,1661.5255773071622,436.17450212897506,7247.150914565101,347.18936493581674,30305.709418828275,555.9197366493032,178894.56718545253,614.6347572427201,1099548.188740721,787.7474199286785
Total Return [%],861.9645796984656,69.0098731914978,1561.5255773071622,336.17450212897506,7147.150914565102,247.18936493581674,30205.709418828275,455.9197366493033,178794.56718545253,514.6347572427201,1099448.188740721,687.7474199286785
Benchmark Return [%],-48.40667574617854,-31.08199325986162,-64.77072311857522,10.158278760829154,-61.19203496753559,72.93541019790395,-33.32105233868769,190.29673583562018,99.18070357874586,185.27751795871788,474.5148465165155,53.78715770660845
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],38.85943892313166,48.69572034301916,48.695720343019175,29.433680985677952,48.695720343019175,21.85820370149759,48.695720343019175,13.682033650382792,48.695720343019175,13.481327079555639,48.695720343019175,13.666392763469029
Max Drawdown Duration,154 days 00:00:00,161 days 00:00:00,161 days 00:00:00,41 days 00:00:00,199 days 00:00:00,111 days 00:00:00,199 days 00:00:00,83 days 00:00:00,199 days 00:00:00,89 days 00:00:00,199 days 00:00:00,54 days 00:00:00
Total Trades,132,87,219,72,291,79,370,72,442,80,522,86
Total Closed Trades,132,87,219,71,290,79,370,72,442,79,521,85
Total Open Trades,0,0,0,1,1,0,0,0,0,1,1,1
Open Trade PnL,0.0,0.0,0.0,-51.82632200364122,-861.1075958680685,0.0,0.0,0.0,0.0,6.059301782492298,10839.76169824996,11.355066001007117
Win Rate [%],59.09090909090909,51.724137931034484,56.16438356164384,69.01408450704226,59.310344827586206,63.29113924050633,60.27027027027027,70.83333333333334,62.217194570135746,68.35443037974683,63.14779270633397,63.52941176470588
Best Trade [%],22.523364485981308,16.11428397042411,22.523364485981308,21.120286175847543,22.523364485981308,17.49607190094817,22.523364485981308,23.737378505258988,23.73737850525898,22.380792763991593,23.73737850525898,20.066670735677086
Worst Trade [%],-11.297071129707104,-29.76510780305181,-29.765107803051805,-5.67297265702158,-29.765107803051805,-3.723846878049317,-29.765107803051805,-2.829866777582913,-29.765107803051805,-4.681290573579176,-29.765107803051805,-5.3913996002804625
Avg Winning Trade [%],5.338431980703386,3.0734535474762286,4.528182493232439,4.157829666152812,4.422675001796963,3.242948027874092,4.172652789240853,4.068111316927127,4.155488648153873,4.240943129193608,4.169514611607203,5.003927520871597
Avg Losing Trade [%],-3.203311298933044,-1.8911374864908268,-2.6328009456972965,-1.8834828492193791,-2.49899414275481,-1.182173395010873,-2.243208817653469,-1.305668130094114,-2.1251972698117063,-1.5514831097258641,-2.0472469763217824,-1.7184916629365734
Avg Winning Trade Duration,4 days 01:50:46.153846153,3 days 17:36:00,3 days 23:01:27.804878048,5 days 09:18:22.040816326,4 days 08:47:26.511627907,5 days 05:16:48,4 days 13:46:32.825112107,5 days 20:14:07.058823529,4 days 19:32:56.727272727,4 days 21:20:00,4 days 19:50:31.003039513,4 days 18:40:00
Avg Losing Trade Duration,1 days 19:50:46.153846153,2 days 06:36:00,2 days 00:31:18.260869565,2 days 16:48:00,2 days 03:25:42.857142857,2 days 05:20:00,2 days 03:47:54.820143884,1 days 21:42:51.428571428,2 days 02:52:04.528301886,2 days 01:55:12,2 days 02:44:20.869565217,2 days 06:58:03.870967741
Profit Factor,2.331467553255597,1.5443202579259045,1.8245623781266327,7.50137044748924,3.775480971078933,4.730415594639252,4.484179434791737,6.63487642033679,6.2154182655054075,5.096994225586577,5.246561790807,6.376825514584748
Expectancy,6.341404352210449,0.7203538602849417,6.754283393809869,5.380744210745473,27.081674883780558,3.0668478222463547,80.28851820640912,6.332218564573658,400.6101596346227,6.437663993167441,2068.066700954992,7.957557105031427
Sharpe Ratio,1.5187987784774142,1.3083594268963636,1.4408232674368968,1.2496325470530467,1.386281353396986,1.034694971601642,1.316228954601001,1.5219872083527881,1.291593438235584,1.8823141074341576,1.262934098270641,2.816746011333019
Calmar Ratio,2.113885854076589,0.498742599013254,1.180235864201141,2.9186059661290655,1.3325896378901108,3.174665345081262,1.4108445553768567,10.89854395515979,1.632043544116345,10.124867596080932,1.778714926422772,11.810760949841244
Omega Ratio,1.4046902200706022,1.3479795089752216,1.3837723989793274,1.342855012310985,1.3751928434732372,1.2599297262988414,1.3628263576268933,1.3373226245464593,1.3616188495065245,1.4114693127778268,1.3641550220937957,1.71870415438986
Sortino Ratio,2.556145943049921,2.1686773799994343,2.41112453968049,1.998218888293772,2.3020171053921255,1.5822860063518283,2.174777621449852,2.3187840081301383,2.130068962620433,3.0059658658110453,2.082297401695893,5.182953921185993
