,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-06 00:00:00,2005-01-25 00:00:00,2000-01-06 00:00:00,2008-03-13 00:00:00,2000-01-06 00:00:00,2011-06-02 00:00:00,2000-01-06 00:00:00,2014-10-29 00:00:00,2000-01-06 00:00:00,2018-01-25 00:00:00,2000-01-06 00:00:00,2021-10-04 00:00:00
End,2005-01-24 00:00:00,2008-03-12 00:00:00,2008-03-12 00:00:00,2011-06-01 00:00:00,2011-06-01 00:00:00,2014-10-28 00:00:00,2014-10-28 00:00:00,2018-01-24 00:00:00,2018-01-24 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,2024-10-10 00:00:00
Period,1268 days 00:00:00,788 days 00:00:00,2056 days 00:00:00,812 days 00:00:00,2868 days 00:00:00,858 days 00:00:00,3726 days 00:00:00,815 days 00:00:00,4541 days 00:00:00,929 days 00:00:00,5470 days 00:00:00,760 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,332.26293306782316,284.35666396561976,966.449939081095,451.4354802556109,4362.897923920802,259.4319174264491,11318.749739386478,222.84563062569526,25223.339235680032,313.0317791618902,78957.06757348836,251.56176445549912
Total Return [%],232.26293306782316,184.3566639656198,866.449939081095,351.4354802556109,4262.897923920802,159.43191742644908,11218.749739386478,122.84563062569526,25123.339235680032,213.03177916189023,78857.06757348836,151.56176445549912
Benchmark Return [%],12.977860139121988,25.918634018747568,43.1874141219474,-19.963398302838197,13.889539233216318,10.754690977999925,25.192139132624792,27.2715889070404,59.557172689388224,-20.42987670441969,26.38198838448109,32.60675777368232
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],69.69492587640038,64.38477838046829,69.69492587640038,61.35090705327516,69.69492587640038,54.31189828569523,69.69492587640038,44.94764050664155,69.69492587640038,31.546107929647988,69.69492587640038,15.40397734382104
Max Drawdown Duration,135 days 00:00:00,50 days 00:00:00,135 days 00:00:00,71 days 00:00:00,135 days 00:00:00,39 days 00:00:00,135 days 00:00:00,72 days 00:00:00,135 days 00:00:00,53 days 00:00:00,135 days 00:00:00,101 days 00:00:00
Total Trades,77,46,123,59,182,48,230,40,270,57,327,41
Total Closed Trades,77,46,123,59,182,48,230,40,270,56,326,41
Total Open Trades,0,0,0,0,0,0,0,0,0,1,1,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.745852408452492,-4728.329945603866,0.0
Win Rate [%],74.02597402597402,86.95652173913044,78.86178861788618,67.79661016949152,75.27472527472527,83.33333333333334,76.95652173913044,70.0,75.92592592592592,76.78571428571429,76.07361963190185,80.48780487804879
Best Trade [%],8.90858115594755,8.76641820301182,8.90858115594755,21.475816505224724,21.475816505224724,20.35894097756165,21.475816505224724,11.16928456453478,21.475816505224724,38.85491862173438,38.85491862173439,9.669396736053791
Worst Trade [%],-3.4552860499546965,-2.431469261645468,-3.4552860499546965,-6.8416165950412875,-6.841616595041286,-4.602044721855726,-6.841616595041286,-4.344984963039417,-6.841616595041286,-3.9419118170217824,-6.841616595041286,-4.106546905215793
Avg Winning Trade [%],2.5612419992157234,2.811066490173414,2.687971413783904,4.928505738640822,3.3421420195815448,2.7905240266935816,3.2174825861605347,3.5425023484922944,3.261875529308288,3.4288450085185924,3.2908258825584618,3.3372896859734538
