,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2006-07-05 00:00:00,2000-01-07 00:00:00,2009-11-06 00:00:00,2000-01-07 00:00:00,2012-10-17 00:00:00,2000-01-07 00:00:00,2015-10-06 00:00:00,2000-01-07 00:00:00,2018-08-23 00:00:00,2000-01-07 00:00:00,2021-08-11 00:00:00
End,2006-07-03 00:00:00,2009-11-05 00:00:00,2009-11-05 00:00:00,2012-10-16 00:00:00,2012-10-16 00:00:00,2015-10-05 00:00:00,2015-10-05 00:00:00,2018-08-21 00:00:00,2018-08-21 00:00:00,2021-08-10 00:00:00,2021-08-10 00:00:00,2024-10-10 00:00:00
Period,1630 days 00:00:00,843 days 00:00:00,2473 days 00:00:00,742 days 00:00:00,3215 days 00:00:00,745 days 00:00:00,3960 days 00:00:00,725 days 00:00:00,4685 days 00:00:00,746 days 00:00:00,5432 days 00:00:00,797 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,775.1952370169342,758.9198730208799,7761.782105511541,322.80291070342776,33859.23883930113,220.0643012845453,74512.09737197336,435.7354989885718,376307.16715758067,248.4763407319832,1004682.3708308679,219.5184349454844
Total Return [%],675.1952370169342,658.9198730208799,7661.782105511541,222.80291070342776,33759.23883930113,120.06430128454531,74412.09737197336,335.7354989885718,376207.16715758067,148.4763407319832,1004582.3708308679,119.51843494548437
Benchmark Return [%],149.7490747235057,39.953238126912495,250.6217054549048,44.76120689847416,416.22393448824715,40.546056637351334,610.7737169582952,184.86650928518307,1915.2979047153462,38.929152600188274,2672.096238799158,6.00663080737287
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],39.489982108415326,37.04995016742991,39.489982108415326,27.003304078672773,39.489982108415326,21.209742877712205,39.489982108415326,17.13672119071404,39.489982108415326,11.024946524768689,39.489982108415326,8.484523796995399
Max Drawdown Duration,104 days 00:00:00,70 days 00:00:00,104 days 00:00:00,53 days 00:00:00,104 days 00:00:00,69 days 00:00:00,104 days 00:00:00,45 days 00:00:00,104 days 00:00:00,62 days 00:00:00,104 days 00:00:00,148 days 00:00:00
