,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-14 00:00:00,2005-10-05 00:00:00,2000-01-14 00:00:00,2008-08-13 00:00:00,2000-01-14 00:00:00,2011-09-20 00:00:00,2000-01-14 00:00:00,2014-12-26 00:00:00,2000-01-14 00:00:00,2018-05-09 00:00:00,2000-01-14 00:00:00,2021-06-29 00:00:00
End,2005-10-04 00:00:00,2008-08-12 00:00:00,2008-08-12 00:00:00,2011-09-19 00:00:00,2011-09-19 00:00:00,2014-12-24 00:00:00,2014-12-24 00:00:00,2018-05-08 00:00:00,2018-05-08 00:00:00,2021-06-28 00:00:00,2021-06-28 00:00:00,2024-09-19 00:00:00
Period,1438 days 00:00:00,718 days 00:00:00,2156 days 00:00:00,782 days 00:00:00,2938 days 00:00:00,822 days 00:00:00,3760 days 00:00:00,847 days 00:00:00,4607 days 00:00:00,790 days 00:00:00,5397 days 00:00:00,812 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,745.154192368634,240.1253250733524,2688.4905491794157,360.25526107876925,14437.930745147558,211.68885451897683,40216.431317797935,252.47549848639602,132512.96560269804,395.7835298338732,622945.6792842614,341.16824832551697
Total Return [%],645.154192368634,140.1253250733524,2588.4905491794157,260.25526107876925,14337.930745147556,111.68885451897683,40116.431317797935,152.47549848639602,132412.96560269804,295.7835298338732,622845.6792842614,241.16824832551694
Benchmark Return [%],187.62360256343112,68.24750525520886,377.2989482803341,55.984598029926566,639.2345946987999,40.318525131411405,940.9787195472582,18.40714389686571,1130.791100405577,118.44390962596178,2599.0684060824115,49.82362423217932
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],41.6680419923949,38.88639227440853,41.6680419923949,41.0233570996713,41.6680419923949,31.735251465706803,41.6680419923949,24.593824961189263,41.6680419923949,17.39120810115735,41.6680419923949,10.083272662643054
Max Drawdown Duration,99 days 00:00:00,65 days 00:00:00,99 days 00:00:00,146 days 00:00:00,146 days 00:00:00,31 days 00:00:00,146 days 00:00:00,76 days 00:00:00,146 days 00:00:00,50 days 00:00:00,146 days 00:00:00,93 days 00:00:00
Total Trades,98,42,141,52,193,61,254,57,311,66,376,65
Total Closed Trades,97,41,140,51,192,60,253,56,310,65,375,64
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-366.45844449556955,-103.61374073189896,-1160.0798984352937,-95.23949316044184,-3816.9080510742606,-57.07530136550801,-10843.107175029858,-33.1976519711113,-17423.945452573273,-33.454322293149744,-52655.615898539894,25.762072303160664
Win Rate [%],71.1340206185567,70.73170731707317,70.71428571428572,70.58823529411765,70.83333333333334,71.66666666666667,71.14624505928853,75.0,71.93548387096774,69.23076923076923,71.46666666666667,62.5
Best Trade [%],21.698113207547173,19.217588390248963,21.698113207547173,15.553462462851842,21.698113207547173,14.464408537148248,21.698113207547173,12.772347696326051,21.698113207547173,17.14996438140905,21.698113207547173,15.305284764242188
Worst Trade [%],-6.521739130434778,-2.4259467993900663,-6.521739130434778,-4.4308085558952675,-6.521739130434778,-3.883496375745158,-6.521739130434778,-1.8216372789072992,-6.521739130434778,-3.6695122030813683,-6.521739130434778,-3.092944796447636
Avg Winning Trade [%],4.3825640539607615,5.05660572377407,4.554561421349883,5.278612347696855,4.743134235757856,2.767530840968583,4.267447537726099,2.9441563912154707,4.011604572440943,3.9824113441193965,4.025797894828406,3.587209135462403
Avg Losing Trade [%],-1.7094169758336244,-1.326218109891069,-1.5827910748522769,-2.0501024721333563,-1.7079637705525654,-1.0624830732710877,-1.5645236156011273,-1.0935661637113627,-1.4878561234330252,-1.3641259881754122,-1.4645108148938528,-1.0016012877053075
Avg Winning Trade Duration,5 days 10:46:57.391304347,5 days 09:55:51.724137931,5 days 10:40:00,6 days 17:20:00,5 days 19:14:07.058823529,5 days 02:13:57.209302325,5 days 15:28:00,5 days 13:08:34.285714285,5 days 15:16:57.040358744,5 days 19:44:00,5 days 16:39:24.179104477,6 days 10:12:00
Avg Losing Trade Duration,1 days 18:00:00,1 days 20:00:00,1 days 18:08:46.829268292,1 days 19:12:00,1 days 18:25:42.857142857,1 days 16:30:00,1 days 18:00:00,2 days 05:08:34.285714285,1 days 19:48:50.232558139,2 days 13:12:00,1 days 23:05:39.622641509,2 days 04:00:00
Profit Factor,8.034407762916818,8.63182627159385,8.292956553042984,8.064686393495588,8.173928153403216,7.710685053531922,7.972764528684867,7.9768879695101536,8.042492093827228,5.010163675535236,5.488404244166297,5.506728578024016
Expectancy,10.428996256331994,5.944855263542716,26.77550319724793,6.9704853772394335,94.55645206365531,2.7865395007440483,201.01989471586103,3.3155919724554876,482.5468203361404,5.065197725031121,1797.5506434935864,3.3657215003493173
Sharpe Ratio,1.7028076121543172,1.4968290228137138,1.6660833888875795,1.486034782068744,1.6364936239946741,1.26056346996892,1.5715337462142411,1.0122675987509886,1.4899426196741394,1.1307596100139718,1.4299068635116845,1.5367425575736344
Calmar Ratio,1.595794854355932,1.442619929975069,1.789997350372626,1.996078983083511,2.051321345007989,1.2451623781887031,1.8956214579757167,1.9943673942345796,1.8420228335350384,5.106993210526592,1.9333536855529219,7.300153289293346
Omega Ratio,1.6098441522054256,1.5668703491047244,1.6066621143072968,1.507731063946368,1.589875111711392,1.3956205002219346,1.555767511315119,1.3092685116871967,1.5296664290036601,1.2891757838878786,1.5125902467434889,1.4181530486728262
Sortino Ratio,3.145555626467234,2.7235884363072818,3.0689089852758005,2.5879065721330172,2.9839471579972545,2.1287006449756514,2.835501148095331,1.5963994026285748,2.666890937354368,1.725064551897666,2.549806717206088,2.303592219776373
