,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2006-11-16 00:00:00,2000-01-10 00:00:00,2010-04-15 00:00:00,2000-01-10 00:00:00,2013-03-06 00:00:00,2000-01-10 00:00:00,2015-11-24 00:00:00,2000-01-10 00:00:00,2018-11-09 00:00:00,2000-01-10 00:00:00,2021-09-10 00:00:00
End,2006-11-15 00:00:00,2010-04-14 00:00:00,2010-04-14 00:00:00,2013-03-05 00:00:00,2013-03-05 00:00:00,2015-11-23 00:00:00,2015-11-23 00:00:00,2018-11-08 00:00:00,2018-11-08 00:00:00,2021-09-09 00:00:00,2021-09-09 00:00:00,2024-10-10 00:00:00
Period,1724 days 00:00:00,856 days 00:00:00,2580 days 00:00:00,727 days 00:00:00,3307 days 00:00:00,687 days 00:00:00,3994 days 00:00:00,746 days 00:00:00,4740 days 00:00:00,712 days 00:00:00,5452 days 00:00:00,776 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,916.1046506719495,218.8886767262657,2005.2493472836088,208.92281280834044,5941.035780856498,184.1198686275901,14396.666962192521,203.14976484320488,35919.6068809907,309.54184157818145,121592.88937401523,323.68692920371984
Total Return [%],816.1046506719493,118.88867672626569,1905.2493472836086,108.92281280834044,5841.035780856498,84.1198686275901,14296.666962192521,103.14976484320488,35819.6068809907,209.54184157818148,121492.88937401523,223.68692920371979
Benchmark Return [%],-37.19603037656442,3.6924420867129104,-34.54809874498736,116.00984406616735,42.029193977470825,99.11462322557061,182.8410287094592,50.11471524073088,328.1109536343384,91.83251578134349,712.4754643466184,33.16821755353014
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],49.003976703645215,38.23611708681997,49.003976703645215,29.64861652388762,49.003976703645215,25.741281303550256,49.003976703645215,21.938867398257372,49.003976703645215,14.762013925594605,49.003976703645215,9.910863107411657
Max Drawdown Duration,183 days 00:00:00,42 days 00:00:00,183 days 00:00:00,30 days 00:00:00,183 days 00:00:00,113 days 00:00:00,183 days 00:00:00,86 days 00:00:00,183 days 00:00:00,97 days 00:00:00,183 days 00:00:00,102 days 00:00:00
Total Trades,108,49,157,58,214,61,275,68,343,72,415,80
Total Closed Trades,108,48,156,57,213,60,274,67,342,71,414,80
Total Open Trades,0,1,1,1,1,1,1,1,1,1,1,0
Open Trade PnL,0.0,-72.79654445369061,-666.8925292687329,-53.57837894585097,-1523.5821407861195,-33.22409463105572,-2597.8523072441676,-13.82658997399247,-2444.7268090798752,-17.752156230827325,-6973.325343417382,0.0
Win Rate [%],63.888888888888886,70.83333333333334,66.02564102564102,78.94736842105263,69.48356807511738,71.66666666666667,70.07299270072993,62.68656716417911,68.71345029239765,71.83098591549296,69.32367149758454,66.25
Best Trade [%],14.088050314465411,15.499486184637817,15.499486184637828,11.19656534074541,15.499486184637828,8.924546071100838,15.499486184637828,10.34665436751796,15.499486184637828,19.01952541816909,19.01952541816908,14.261531042811232
Worst Trade [%],-8.976379154235358,-3.70370338847595,-8.976379154235358,-3.0691921580297974,-8.976379154235358,-2.0441879721957146,-8.976379154235358,-2.7725968473869345,-8.976379154235358,-3.5255324592466475,-8.976379154235358,-3.6432239169558955
Avg Winning Trade [%],4.382973787720697,3.807285169483926,4.192940651603704,2.5344401647979407,3.7324046667079323,2.119230751373384,3.376420507875075,2.3571144705504308,3.197076545792675,2.8820677654301177,3.138290230961762,2.9344038225966833
Avg Losing Trade [%],-1.861142347896292,-1.2745349132512325,-1.7001128560329415,-1.2403864254730201,-1.6125459168786704,-0.6853554017705106,-1.4155179324181857,-0.7952809580961143,-1.2723863229592463,-1.1685772124816387,-1.2556429180435031,-1.2355158281976368
Avg Winning Trade Duration,5 days 12:10:26.086956521,5 days 05:38:49.411764705,5 days 10:01:09.902912621,5 days 20:16:00,5 days 14:25:56.756756756,5 days 08:55:48.837209302,5 days 13:45:00,5 days 13:42:51.428571428,5 days 14:17:52.340425531,5 days 13:38:49.411764705,5 days 14:33:01.881533101,5 days 06:47:32.830188679
Avg Losing Trade Duration,2 days 07:08:06.486486486,2 days 13:42:51.428571428,2 days 08:56:28.235294117,2 days 10:00:00,2 days 09:08:34.285714285,2 days 11:17:38.823529411,2 days 09:36:00,2 days 07:00:00,2 days 09:00:00,1 days 22:48:00,2 days 07:21:17.419354838,2 days 04:26:40
Profit Factor,5.0431420351474525,7.14822229074601,6.276554462443068,7.957358835298963,7.394838996060721,6.571588404221686,7.037080559012746,4.896716469987445,5.720344791321854,5.001191565731023,5.222976734352311,4.093292593810366
Expectancy,7.455498959054402,3.9934421079157567,16.365548433020106,2.850898100950727,34.40402627361478,1.9557327209774304,61.40349564781155,1.727247079839815,111.2002904058571,3.2013239128029416,308.5271214608312,2.796086615046497
