Date,entry_signal,exit_signal,max_combs,max_probs
2000-05-31,False,True,,
2000-06-01,False,True,,
2000-06-02,True,False,"(1, 1, 2, 2)",0.5832881148302164
2000-06-05,True,False,"(2, 1, 2, 2)",0.4718060988583172
2000-06-06,False,True,,
2000-06-07,False,True,,
2000-06-08,False,True,"(2, 1, 2, 2)",0.24108809889367744
2000-06-09,False,True,,
2000-06-12,False,True,,
2000-06-13,False,True,,
2000-06-14,False,True,"(1, 1, 2, 2)",0.17976858080823158
2000-06-15,False,True,"(2, 1, 2, 2)",0.17349932208697613
2000-06-16,False,True,"(5, 1, 2, 2)",0.1787658531764057
2000-06-19,False,True,"(5, 1, 2, 2)",0.11588800040211607
2000-06-20,False,True,"(2, 1, 2, 2)",0.14046780218596872
2000-06-21,False,True,"(5, 1, 2, 2)",0.13748498277175775
2000-06-22,False,True,,
2000-06-23,False,True,,
2000-06-26,False,True,"(5, 1, 2, 2)",0.4715455904561969
2000-06-27,True,False,"(2, 1, 2, 2)",0.5831093226408073
2000-06-28,False,True,"(2, 1, 2, 2)",0.5844082012051243
2000-06-29,False,True,,
2000-06-30,False,True,,
2000-07-03,False,True,"(1, 1, 2, 2)",0.4206695311228928
2000-07-05,True,False,"(3, 1, 2, 2)",0.6743415855927573
2000-07-06,False,True,"(2, 1, 2, 2)",0.7275200352807547
2000-07-07,False,True,"(1, 1, 2, 2)",0.3033076663535897
2000-07-10,False,True,"(2, 1, 2, 2)",0.3276611315932548
2000-07-11,False,True,"(2, 1, 2, 2)",0.19895109434214553
2000-07-12,False,True,"(1, 1, 2, 2)",0.17944676894503842
2000-07-13,False,True,"(1, 1, 2, 2)",0.13882221124974667
2000-07-14,False,True,"(1, 1, 2, 2)",0.16198070745896068
2000-07-17,False,True,"(2, 1, 2, 2)",0.16209142787996644
2000-07-18,False,True,"(5, 1, 2, 2)",0.12185863182776281
2000-07-19,False,True,,
2000-07-20,False,True,"(5, 1, 2, 2)",0.12751696492247058
2000-07-21,False,True,,
2000-07-24,False,True,,
2000-07-25,False,True,,
2000-07-26,False,True,,
2000-07-27,False,True,,
2000-07-28,False,True,,
2000-07-31,False,True,,
2000-08-01,True,False,"(1, 1, 2, 2)",0.614363689794369
2000-08-02,True,False,"(1, 1, 2, 2)",0.6760097121944039
2000-08-03,True,False,"(1, 1, 2, 2)",0.7739291941694497
2000-08-04,True,False,"(1, 1, 2, 2)",0.6785491654996599
2000-08-07,True,False,"(5, 1, 2, 2)",0.5806765443273866
2000-08-08,True,False,"(1, 1, 2, 2)",0.5934272767321848
2000-08-09,True,False,"(3, 1, 2, 2)",0.392599335729103
2000-08-10,False,True,"(4, 1, 2, 2)",0.7616040184520783
2000-08-11,True,False,"(3, 1, 2, 2)",0.7370894028108019
