,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-05-31 00:00:00,2007-05-22 00:00:00,2000-05-31 00:00:00,2010-08-05 00:00:00,2000-05-31 00:00:00,2013-04-30 00:00:00,2000-05-31 00:00:00,2016-05-31 00:00:00,2000-05-31 00:00:00,2019-03-19 00:00:00,2000-05-31 00:00:00,2021-11-17 00:00:00
End,2007-05-21 00:00:00,2010-08-04 00:00:00,2010-08-04 00:00:00,2013-04-29 00:00:00,2013-04-29 00:00:00,2016-05-27 00:00:00,2016-05-27 00:00:00,2019-03-18 00:00:00,2019-03-18 00:00:00,2021-11-16 00:00:00,2021-11-16 00:00:00,2024-10-10 00:00:00
Period,1752 days 00:00:00,808 days 00:00:00,2560 days 00:00:00,687 days 00:00:00,3247 days 00:00:00,777 days 00:00:00,4024 days 00:00:00,704 days 00:00:00,4728 days 00:00:00,674 days 00:00:00,5402 days 00:00:00,728 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,260.0979847736895,248.55617441824927,901.5562883935321,150.41614720890942,1356.0862339211953,152.26562254906364,2574.964503190634,205.23572611249364,6118.739999389637,224.43019073669433,13694.93952190684,209.11766977517118
Total Return [%],160.09798477368952,148.55617441824927,801.5562883935321,50.41614720890942,1256.0862339211953,52.265622549063636,2474.964503190634,105.23572611249364,6018.739999389637,124.43019073669434,13594.939521906837,109.1176697751712
Benchmark Return [%],19.591816712781917,-20.392997570883708,-4.958561296243236,49.66303864841737,42.07885850327236,39.36752159348147,98.44460677225595,42.87773448044485,183.0903621336186,73.60208155722034,391.6744570968864,28.814283360560268
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],37.32970485543848,30.567707542601525,37.32970485543848,23.76607963958148,37.32970485543848,19.389798575944415,37.32970485543848,14.238514855599249,37.32970485543848,10.877564885028285,37.32970485543848,9.7124291530538
Max Drawdown Duration,101 days 00:00:00,73 days 00:00:00,101 days 00:00:00,27 days 00:00:00,101 days 00:00:00,39 days 00:00:00,101 days 00:00:00,23 days 00:00:00,101 days 00:00:00,66 days 00:00:00,101 days 00:00:00,42 days 00:00:00
Total Trades,102,50,152,55,207,56,262,57,319,74,393,70
Total Closed Trades,101,50,152,54,206,55,261,57,319,74,393,70
Total Open Trades,1,0,0,1,1,1,1,0,0,0,0,0
Open Trade PnL,-98.32219003386774,0.0,0.0,-31.86659670477877,-287.2953064889391,-21.32384300177432,-360.6075874643743,0.0,0.0,0.0,0.0,0.0
Win Rate [%],79.20792079207921,78.0,78.94736842105263,70.37037037037037,76.69902912621359,70.9090909090909,75.47892720306514,87.71929824561403,77.74294670846395,68.91891891891892,76.08142493638677,64.28571428571429
Best Trade [%],5.9905350545557345,9.42396894359996,9.423968943599977,7.670846695192666,9.423968943599977,6.49357293912058,9.423968943599977,5.859521664885621,9.423968943599977,7.035316944462864,9.423968943599977,9.080115691796168
Worst Trade [%],-2.0237194388431483,-4.491942394712567,-4.491942394712574,-2.222033569466108,-4.491942394712574,-1.6818430386688388,-4.491942394712574,-2.109993854300149,-4.491942394712574,-2.941970285588254,-4.491942394712574,-3.265232924538507
Avg Winning Trade [%],1.8364443863401252,2.7018093599491726,2.112375233415408,1.7798286087392885,2.032395665455329,1.6624088315005676,1.9741615557069299,1.5194015993190833,1.8808000346801315,2.0520134131011605,1.9090871081044716,2.058737332085953
Avg Losing Trade [%],-0.8137336358397764,-1.0715863747317718,-0.9023705148339001,-0.413009244336223,-0.739250091334675,-0.5459361902942881,-0.6909216160745788,-0.44386825523927254,-0.6665642424710985,-0.9470277258015102,-0.735188286264709,-0.6841737269400461
Avg Winning Trade Duration,5 days 18:18:00,5 days 00:36:55.384615384,5 days 12:36:00,5 days 18:18:56.842105263,5 days 13:58:28.860759493,6 days 06:46:09.230769230,5 days 18:23:45.380710659,5 days 22:33:36,5 days 19:56:07.741935483,5 days 23:03:31.764705882,5 days 20:32:54.581939799,6 days 05:52:00
Avg Losing Trade Duration,2 days 17:08:34.285714285,1 days 17:27:16.363636363,2 days 09:00:00,3 days 09:00:00,2 days 17:00:00,1 days 12:00:00,2 days 09:45:00,2 days 10:17:08.571428571,2 days 09:48:10.140845070,3 days 05:13:02.608695652,2 days 14:33:11.489361702,2 days 02:52:48
Profit Factor,9.209545516026852,11.127774224923948,10.465475045857614,10.009136512622984,10.240503333609347,6.7594903769177765,8.40171230742744,23.331223268118745,12.495108546337118,4.385686986987346,5.914622909621966,5.926983244607965
Expectancy,2.5586155921540326,2.9711234883649857,5.273396634167975,1.5237545169201518,7.492143400049196,1.3379902827425083,10.864260883735664,1.8462408089911164,18.86752350905842,1.6814890640093831,34.59272142978839,1.5588238539310173
Sharpe Ratio,1.313334595058511,1.1860554509077719,1.292380540397277,1.034745851367222,1.2421863537231839,0.7870353943410529,1.1756903194199086,0.8630848626281296,1.1318775992493224,1.0137511878539254,1.0923732755805042,1.6649514355498287
Calmar Ratio,0.5902991536751484,1.6644393383321179,0.9864429473481138,1.0191503159959407,0.9122682989257741,1.1261966914052535,0.917920508067175,3.1727485746848556,1.001399773617771,5.049518706458261,1.0563144847559598,4.6080778444907455
Omega Ratio,1.4999896242674267,1.4116613701466012,1.4835299473762513,1.3025087220111886,1.4460793146831177,1.2333922374908766,1.4213403756565006,1.2346328178608503,1.406628466681187,1.2205956815543442,1.3942721820402537,1.3864471064548813
Sortino Ratio,2.340356950218735,2.004858916700592,2.279330542339147,1.673958035561648,2.1635276353376907,1.2198700324325074,2.031846535761296,1.311770528527103,1.9478163873422911,1.4791914968885571,1.8753549882684566,2.438384372309398
