Date,entry_signal,exit_signal,max_combs,max_probs
2000-06-22,False,True,,
2000-06-23,False,True,,
2000-06-26,False,True,,
2000-06-27,False,True,,
2000-06-28,True,False,"(2, 1, 2, 2)",0.7141352438785766
2000-06-29,True,False,"(3, 1, 2, 2)",0.7027081477593878
2000-06-30,True,False,,
2000-07-03,True,False,,
2000-07-05,True,False,"(1, 1, 2, 2)",0.4493511181682936
2000-07-06,True,False,"(1, 1, 2, 2)",0.30651843583405314
2000-07-07,True,False,"(1, 1, 2, 2)",0.304761564752602
2000-07-10,True,False,"(2, 1, 2, 2)",0.28790551295348427
2000-07-11,False,True,"(3, 1, 2, 2)",0.3012554663834153
2000-07-12,True,False,"(4, 1, 2, 2)",0.526002486897723
2000-07-13,True,False,"(5, 1, 2, 2)",0.6755796776714462
2000-07-14,False,True,,
2000-07-17,False,True,,
2000-07-18,True,False,"(1, 1, 2, 2)",0.7154489261466584
2000-07-19,True,False,"(3, 1, 2, 2)",0.7071645473748719
2000-07-20,False,True,"(2, 1, 2, 2)",0.7071645473748719
2000-07-21,True,False,"(1, 1, 2, 2)",0.7234511586367757
2000-07-24,True,False,"(1, 1, 2, 2)",0.7178361870239244
2000-07-25,True,False,"(2, 1, 2, 2)",0.7228312276453248
2000-07-26,True,False,"(2, 1, 2, 2)",0.5028403553501418
2000-07-27,True,False,"(1, 1, 2, 2)",0.40126622553584046
2000-07-28,True,False,"(2, 1, 2, 2)",0.4852170444185592
2000-07-31,False,True,"(3, 1, 2, 2)",0.4651191814921788
2000-08-01,False,True,"(3, 1, 2, 2)",0.36067061504120185
2000-08-02,False,True,"(1, 1, 2, 2)",0.36342808558094974
2000-08-03,False,True,"(3, 1, 2, 2)",0.36329832000930123
2000-08-04,False,True,,
2000-08-07,False,True,,
2000-08-08,True,False,"(4, 1, 2, 2)",0.5373776396209212
2000-08-09,True,False,"(1, 1, 2, 2)",0.4576888832534926
2000-08-10,True,False,"(1, 1, 2, 2)",0.40237514560882653
2000-08-11,True,False,"(1, 1, 2, 2)",0.2942386305618974
2000-08-14,True,False,"(1, 1, 2, 2)",0.28128561103935606
2000-08-15,True,False,"(4, 1, 2, 2)",0.28128561103935606
2000-08-16,False,True,"(2, 1, 2, 2)",0.28128561103935606
2000-08-17,False,True,"(1, 1, 2, 2)",0.25681895095330975
2000-08-18,False,True,,
2000-08-21,False,True,,
2000-08-22,False,True,,
2000-08-23,False,True,,
2000-08-24,False,True,,
2000-08-25,False,True,,
2000-08-28,False,True,,
2000-08-29,False,True,,
2000-08-30,False,True,,
2000-08-31,True,False,"(1, 1, 2, 2)",0.635288885198217
2000-09-01,True,False,"(2, 1, 2, 2)",0.663436763313116
2000-09-05,True,False,"(2, 1, 2, 2)",0.6705465797157355
2000-09-06,True,False,"(1, 1, 2, 2)",0.65117067259905
2000-09-07,True,False,"(2, 1, 2, 2)",0.6586678653012223
2000-09-08,True,False,"(2, 1, 2, 2)",0.4137943520175404
2000-09-11,True,False,"(1, 1, 2, 2)",0.4333156653303424
2000-09-12,True,False,"(1, 1, 2, 2)",0.2560301626000008
2000-09-13,True,False,"(2, 1, 2, 2)",0.43202861412609084
2000-09-14,False,True,"(3, 1, 2, 2)",0.3800830869080058
2000-09-15,False,True,"(3, 1, 2, 2)",0.3544070876000944
2000-09-18,False,True,,
2000-09-19,False,True,"(5, 1, 2, 2)",0.44190519968441105
2000-09-20,False,True,,
2000-09-21,False,True,,
2000-09-22,False,True,,
2000-09-25,False,True,,
2000-09-26,False,True,,
2000-09-27,False,True,"(1, 1, 2, 2)",0.2431592864140234
2000-09-28,False,True,"(1, 1, 2, 2)",0.2429982311461134
2000-09-29,False,True,"(2, 1, 2, 2)",0.21791568811435783
2000-10-02,False,True,"(5, 1, 2, 2)",0.25407691134250926
2000-10-03,False,True,,
2000-10-04,False,True,,
2000-10-05,False,True,"(5, 1, 2, 2)",0.3554674047413911
2000-10-06,False,True,,
2000-10-09,False,True,,
2000-10-10,False,True,,
2000-10-11,False,True,,
2000-10-12,False,True,,
2000-10-13,False,True,,
2000-10-16,False,True,"(1, 1, 2, 2)",0.25267541074713357
2000-10-17,False,True,,
2000-10-18,False,True,,
2000-10-19,False,True,,
2000-10-20,False,True,"(2, 1, 2, 2)",0.39750628037028185
2000-10-23,False,True,,
2000-10-24,False,True,,
2000-10-25,False,True,,
2000-10-26,False,True,,
2000-10-27,False,True,"(1, 1, 2, 2)",0.45411919522746547
2000-10-30,False,True,"(1, 1, 2, 2)",0.4867355012679972
2000-10-31,False,True,"(2, 1, 2, 2)",0.47141115012354035
2000-11-01,False,True,"(2, 1, 2, 2)",0.4187306469787673
2000-11-02,False,True,"(1, 1, 2, 2)",0.4101714247340822
2000-11-03,False,True,"(2, 1, 2, 2)",0.4053112364284151
2000-11-06,False,True,"(2, 1, 2, 2)",0.48544850583362564
2000-11-07,True,False,"(1, 1, 2, 2)",0.5007968491389314
2000-11-08,True,False,"(1, 1, 2, 2)",0.3800830869080058
2000-11-09,True,False,"(4, 1, 2, 2)",0.48617183054578766
2000-11-10,False,True,,
2000-11-13,True,False,"(3, 1, 2, 2)",0.6498032684697989
2000-11-14,False,True,"(1, 1, 2, 2)",0.45663833052128133
