,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-06-22 00:00:00,2006-02-23 00:00:00,2000-06-22 00:00:00,2009-08-26 00:00:00,2000-06-22 00:00:00,2012-08-01 00:00:00,2000-06-22 00:00:00,2015-09-18 00:00:00,2000-06-22 00:00:00,2018-06-25 00:00:00,2000-06-22 00:00:00,2021-05-25 00:00:00
End,2006-02-22 00:00:00,2009-08-25 00:00:00,2009-08-25 00:00:00,2012-07-31 00:00:00,2012-07-31 00:00:00,2015-09-17 00:00:00,2015-09-17 00:00:00,2018-06-22 00:00:00,2018-06-22 00:00:00,2021-05-24 00:00:00,2021-05-24 00:00:00,2024-10-01 00:00:00
Period,1424 days 00:00:00,883 days 00:00:00,2307 days 00:00:00,739 days 00:00:00,3046 days 00:00:00,787 days 00:00:00,3833 days 00:00:00,696 days 00:00:00,4529 days 00:00:00,734 days 00:00:00,5263 days 00:00:00,844 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,215.95247362637306,228.33213941351036,973.0550478155251,405.44302634175375,4055.0578772778713,142.29388707753134,5790.688094078893,143.50558085753391,10949.549239996002,209.73589445258264,27542.795118337614,286.01241590170196
Total Return [%],115.95247362637306,128.33213941351036,873.0550478155251,305.44302634175375,3955.0578772778713,42.29388707753134,5690.688094078893,43.50558085753393,10849.549239996002,109.73589445258266,27442.795118337614,186.01241590170193
Benchmark Return [%],164.43419060036913,-32.329385104157936,78.46501210537473,81.01687755745519,224.4940898958776,24.00023596830392,301.2049266334949,25.229366021305168,400.7574846562701,35.46020925981988,575.9738826839948,11.601441699122518
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],62.17364716848523,74.84402850799788,74.84402850799788,41.94796745559506,74.84402850799788,33.73786924030952,74.84402850799788,26.46824360985054,74.84402850799788,17.027405189017276,74.84402850799788,9.736511945262134
Max Drawdown Duration,69 days 00:00:00,187 days 00:00:00,187 days 00:00:00,51 days 00:00:00,187 days 00:00:00,71 days 00:00:00,187 days 00:00:00,26 days 00:00:00,187 days 00:00:00,66 days 00:00:00,187 days 00:00:00,51 days 00:00:00
Total Trades,143,81,224,70,294,68,363,63,427,81,507,72
Total Closed Trades,142,81,224,70,294,67,362,62,426,80,506,71
Total Open Trades,1,0,0,0,0,1,1,1,1,1,1,1
Open Trade PnL,-196.5024571423066,0.0,0.0,0.0,0.0,-43.62784511544422,-1775.4469181284512,-27.942638583677194,-2132.0376199942293,-14.17915583437454,-1862.0255017218915,1.0450856923528704
Win Rate [%],68.30985915492957,66.66666666666666,67.41071428571429,80.0,70.40816326530613,70.1492537313433,70.44198895027624,77.41935483870968,71.36150234741784,71.25,71.34387351778656,74.64788732394366
Best Trade [%],6.4498883001367915,24.76553326392059,24.765533263920602,17.642893702839398,24.765533263920602,4.729998674516789,24.765533263920602,3.827753045530713,24.765533263920602,9.538885285098338,24.765533263920602,6.485928034438588
Worst Trade [%],-2.0279677597792842,-53.98444587216736,-53.98444587216736,-2.6331232236490743,-53.98444587216736,-1.9392223003399898,-53.98444587216736,-1.8329917802469342,-53.98444587216736,-3.1150728022860887,-53.98444587216736,-3.28369841043112
Avg Winning Trade [%],1.7628632425592528,4.0414682574963425,2.603882931191314,2.8576233158952946,2.687552481229915,1.5769464591448037,2.473712403263975,1.3437667789371877,2.2947429962118915,1.862662407005359,2.227602425881839,2.321809122182975
Avg Losing Trade [%],-0.6230797808267196,-3.7954016951930707,-1.8290623591791926,-1.1000584365765742,-1.708991124868173,-0.5539413623702921,-1.4889816462971481,-0.7047276330202656,-1.3969668159512016,-1.0695136676412857,-1.3462346380440313,-0.8805335402344369
Avg Winning Trade Duration,5 days 22:30:55.670103092,4 days 01:20:00,5 days 07:37:44.900662251,5 days 03:25:42.857142857,5 days 06:36:31.304347826,6 days 01:31:54.893617021,5 days 09:41:38.823529411,5 days 14:00:00,5 days 10:34:44.210526315,4 days 18:06:18.947368421,5 days 08:22:36.232686980,4 days 23:32:49.811320754
Avg Losing Trade Duration,2 days 08:22:19.534883720,2 days 04:26:40,2 days 07:05:54.929577464,2 days 10:17:08.571428571,2 days 07:37:24.705882352,1 days 22:48:00,2 days 05:56:34.285714285,1 days 20:34:17.142857142,2 days 04:36:00,2 days 01:05:27.272727272,2 days 04:03:22.816901408,1 days 16:00:00
Profit Factor,5.667738518701488,1.6956628125410773,2.02034242688677,9.231169777409653,4.223914505338608,7.385582200166652,5.207776097668266,6.385797132014284,5.48102933285043,4.182777710846324,4.658647413259602,8.222715128297299
Expectancy,2.1784611065460417,1.5843474001667945,3.789965433635095,4.363471804882197,13.354395544410277,1.2824139133279933,20.531319237082226,1.1523906361485665,30.359867041598225,1.5268171119880984,57.58023858843589,2.605173664920409
Sharpe Ratio,3.1671652575684917,2.413482064152258,2.911804219756347,2.030362836458327,2.7146209990074834,1.4145083520330841,2.4991752970804124,1.0334115556408483,2.3349579531005262,0.9077325514433575,2.187373845774572,1.2193579747131402
Calmar Ratio,0.3508811303474755,0.5434705301170293,0.5789381876789801,2.3754933450608844,0.7461146176745054,0.5267965812553573,0.6304154956857835,0.7879394135718651,0.6146368255416471,2.6152327477325943,0.6365945667134455,5.908946435557038
Omega Ratio,2.286826237303733,1.855780095418709,2.1568953221451057,1.6337200788590494,2.0615157718758677,1.4302858956277082,1.9831400372651071,1.2838350785884614,1.9321828399336372,1.2104948963794473,1.8935210629037844,1.337486918717825
Sortino Ratio,7.859196467514754,5.0844432278297855,6.956788294564074,3.815879137780263,6.322895996322337,2.4517177340515635,5.725965977589534,1.6625047073657233,5.308444095075703,1.382662037720957,4.9558240245615615,1.8275531173857342
