,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2004-10-22 00:00:00,2000-01-07 00:00:00,2008-03-14 00:00:00,2000-01-07 00:00:00,2011-09-16 00:00:00,2000-01-07 00:00:00,2014-09-19 00:00:00,2000-01-07 00:00:00,2018-04-19 00:00:00,2000-01-07 00:00:00,2021-06-16 00:00:00
End,2004-10-21 00:00:00,2008-03-13 00:00:00,2008-03-13 00:00:00,2011-09-15 00:00:00,2011-09-15 00:00:00,2014-09-18 00:00:00,2014-09-18 00:00:00,2018-04-18 00:00:00,2018-04-18 00:00:00,2021-06-15 00:00:00,2021-06-15 00:00:00,2024-10-01 00:00:00
Period,1203 days 00:00:00,853 days 00:00:00,2056 days 00:00:00,885 days 00:00:00,2941 days 00:00:00,756 days 00:00:00,3697 days 00:00:00,901 days 00:00:00,4598 days 00:00:00,795 days 00:00:00,5393 days 00:00:00,829 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,11361.42598149367,319.9650595451839,38397.52071795446,785.8261948425716,308795.9783291755,468.1977437581357,1445775.8033530617,576.3154500281364,8332229.327492098,616.1589015929724,50004419.23721702,445.0711970960121
Total Return [%],11261.42598149367,219.96505954518392,38297.52071795446,685.8261948425716,308695.9783291755,368.1977437581357,1445675.8033530617,476.31545002813647,8332129.327492098,516.1589015929724,50004319.23721702,345.0711970960121
Benchmark Return [%],940.4210140830612,53.23828961710853,1483.9999550267298,49.03395030833779,2303.3684981496717,82.16474467852679,4406.94740696957,18.107151051330717,5228.000038548487,89.9152987224394,9906.736996299273,-33.45535255245385
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],14.648785946798695,8.225703489104932,14.648785946798695,18.357998934583637,18.357998934583627,6.319553778970402,18.357998934583627,7.129274109638062,18.357998934583627,14.424078788293357,18.357998934583627,15.382747647834675
Max Drawdown Duration,141 days 00:00:00,132 days 00:00:00,141 days 00:00:00,194 days 00:00:00,212 days 00:00:00,83 days 00:00:00,212 days 00:00:00,67 days 00:00:00,212 days 00:00:00,62 days 00:00:00,212 days 00:00:00,101 days 00:00:00
Total Trades,70,47,116,50,166,56,222,59,281,62,343,67
Total Closed Trades,69,46,115,50,166,56,222,58,280,61,342,67
Total Open Trades,1,1,1,0,0,0,0,1,1,1,1,0
Open Trade PnL,285.06969786333684,8.675292835477933,1041.081600778809,0.0,0.0,0.0,0.0,24.138403839299258,348987.2020242354,8.503746587293676,690122.1557275876,0.0
Win Rate [%],73.91304347826086,65.21739130434783,71.30434782608695,66.0,69.87951807228916,76.78571428571429,71.62162162162163,75.86206896551724,72.5,73.77049180327869,72.80701754385966,64.17910447761194
