,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2005-04-11 00:00:00,2000-01-07 00:00:00,2008-12-01 00:00:00,2000-01-07 00:00:00,2012-04-27 00:00:00,2000-01-07 00:00:00,2015-03-17 00:00:00,2000-01-07 00:00:00,2018-07-25 00:00:00,2000-01-07 00:00:00,2021-10-15 00:00:00
End,2005-04-08 00:00:00,2008-11-28 00:00:00,2008-11-28 00:00:00,2012-04-26 00:00:00,2012-04-26 00:00:00,2015-03-16 00:00:00,2015-03-16 00:00:00,2018-07-24 00:00:00,2018-07-24 00:00:00,2021-10-14 00:00:00,2021-10-14 00:00:00,2024-10-10 00:00:00
Period,1319 days 00:00:00,918 days 00:00:00,2237 days 00:00:00,858 days 00:00:00,3095 days 00:00:00,724 days 00:00:00,3819 days 00:00:00,846 days 00:00:00,4665 days 00:00:00,813 days 00:00:00,5478 days 00:00:00,751 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,387.42810128235254,144.13931098213845,1111.6952348990988,256.52657666001556,4398.962201605467,212.1317070833593,12558.227901195214,279.00377097090245,43754.71074902411,391.07323977430264,197634.62361561065,510.6247826108652
Total Return [%],287.42810128235254,44.13931098213844,1011.6952348990986,156.52657666001556,4298.962201605467,112.13170708335929,12458.227901195214,179.00377097090245,43654.71074902411,291.07323977430264,197534.62361561065,410.6247826108652
Benchmark Return [%],-15.782418192845427,-28.92980165044987,-40.08028929085034,56.80660579597636,-14.37845984407138,92.06006925456596,66.13422459761557,43.57761577618127,137.7596129669679,161.80934741507943,543.0148808922257,295.08017350620565
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],53.55200399270542,48.9809654896837,53.55200399270542,38.599673395374104,53.55200399270542,25.44373339140887,53.55200399270542,19.617572336085665,53.55200399270542,12.327801181213047,53.55200399270542,11.691305122803628
