,0,1,2,3,4,5,6,7,8,9,10,11
Start,2001-06-26 00:00:00,2004-12-13 00:00:00,2001-06-26 00:00:00,2008-07-31 00:00:00,2001-06-26 00:00:00,2011-09-19 00:00:00,2001-06-26 00:00:00,2014-08-28 00:00:00,2001-06-26 00:00:00,2018-01-25 00:00:00,2001-06-26 00:00:00,2021-04-22 00:00:00
End,2004-12-10 00:00:00,2008-07-30 00:00:00,2008-07-30 00:00:00,2011-09-16 00:00:00,2011-09-16 00:00:00,2014-08-27 00:00:00,2014-08-27 00:00:00,2018-01-24 00:00:00,2018-01-24 00:00:00,2021-04-21 00:00:00,2021-04-21 00:00:00,2024-10-10 00:00:00
Period,869 days 00:00:00,914 days 00:00:00,1783 days 00:00:00,790 days 00:00:00,2573 days 00:00:00,740 days 00:00:00,3313 days 00:00:00,858 days 00:00:00,4171 days 00:00:00,815 days 00:00:00,4986 days 00:00:00,874 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,273.88088949121175,93.2820813000608,258.44914524190153,215.03489922877367,1264.2856098187488,192.84995459418957,2514.5473927568864,216.49564620539567,5443.885627089957,234.36873358228559,14991.920767582571,221.03613257293995
Total Return [%],173.88088949121178,-6.717918699939204,158.44914524190153,115.03489922877368,1164.2856098187488,92.84995459418957,2414.5473927568864,116.49564620539567,5343.885627089957,134.36873358228559,14891.920767582571,121.03613257293998
Benchmark Return [%],23.524635596724842,2.029137756383781,26.35496778889046,24.307339937867,56.136146380157314,67.72935914900957,160.46690350903714,30.509691696675432,240.40362073060143,43.8832804029595,388.46587622866826,29.61101455556645
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],63.98283461449851,60.374050116413244,63.98283461449851,62.04585545181304,63.98283461449851,50.543195354585265,63.98283461449851,21.241561350548253,63.98283461449851,16.640664524083633,63.98283461449851,9.710695662531757
