,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,0,3.2372936864968356,2001-07-16,30.88999938964844,0.0,2001-07-17,31.450000762939453,0.0,1.8128889101845544,0.018128889101845545,Long,Closed,0
1,1,0,3.2885301008050316,2001-08-10,30.959999084472656,0.0,2001-08-24,32.0,0.0,3.420074315576457,0.03359176183079842,Long,Closed,1
2,2,0,3.2379373300234158,2001-08-27,32.5,0.0,2001-08-28,31.899999618530277,0.0,-1.9427636331891023,-0.018461550199068366,Long,Closed,2
3,3,0,3.21876594270574,2001-08-29,32.09000015258789,0.0,2001-08-30,32.650001525878906,0.0,1.802513348217559,0.017450962001502285,Long,Closed,3
4,4,0,3.213844357456294,2001-08-31,32.70000076293945,0.0,2001-09-17,32.95000076293945,0.0,0.8034610893640632,0.007645259760462584,Long,Closed,4
5,5,0,3.170543987793034,2001-09-25,33.400001525878906,0.0,2001-09-26,33.25,0.0,-0.47558643603515804,-0.004491063443894929,Long,Closed,5
6,6,0,3.1033436504520777,2001-10-10,33.970001220703125,0.0,2001-10-12,33.150001525878906,0.0,-2.5447408463053875,-0.024138936277825904,Long,Closed,6
7,7,0,3.0801150313751626,2001-10-15,33.400001525878906,0.0,2001-10-16,34.0,0.0,1.8480643189425479,0.01796402535060384,Long,Closed,7
8,8,0,3.0710825733975264,2001-10-17,34.099998474121094,0.0,2001-10-25,34.90999984741211,0.0,2.487581101942098,0.023753707024524767,Long,Closed,8
9,9,0,3.1672524963527744,2001-10-30,33.849998474121094,0.0,2001-11-12,34.400001525878906,0.0,1.7419985386815853,0.01624824450666674,Long,Closed,9
10,10,0,3.352415098688591,2001-12-12,32.5,0.0,2001-12-26,34.06999969482422,0.0,5.263290681865186,0.04830768291766822,Long,Closed,10
11,11,0,3.4094561608729674,2002-01-07,33.5,0.0,2002-01-24,33.97999954223633,0.0,1.636537396493864,0.0143283445443681,Long,Closed,11
12,12,0,3.4480155966366826,2002-01-25,33.599998474121094,0.0,2002-01-28,33.970001220703125,0.0,1.2757752410132497,0.011011987005505618,Long,Closed,12
13,13,0,3.299411099345113,2002-01-29,35.5,0.0,2002-02-06,37.5,0.0,6.598822198690229,0.05633802816901411,Long,Closed,13
14,14,0,3.3458063211744276,2002-02-08,36.97999954223633,0.0,2002-02-11,36.95000076293945,0.0,-0.10037010539900848,-0.0008112163241812499,Long,Closed,14
15,15,0,3.25335647684323,2002-02-13,38.0,0.0,2002-02-21,38.18999862670898,0.0,0.61813326279497,0.004999963860762558,Long,Closed,15
16,16,0,3.2653267246802704,2002-03-07,38.04999923706055,0.0,2002-03-11,37.52000045776367,0.0,-1.730619178086016,-0.013929008933610208,Long,Closed,16
17,17,0,3.2497362791883204,2002-03-15,37.70000076293945,0.0,2002-03-25,38.95000076293945,0.0,4.06217034898539,0.03315649800274791,Long,Closed,17
18,18,0,3.25224143136611,2002-04-18,38.91999816894531,0.0,2002-04-19,39.790000915527344,0.0,2.8294589778363957,0.022353617356442142,Long,Closed,18
19,19,0,3.2986666082483613,2002-04-22,39.22999954223633,0.0,2002-05-06,40.380001068115234,0.0,3.793471632851407,0.02931433951817345,Long,Closed,19
20,20,0,3.3400240119582336,2002-05-09,39.880001068115234,0.0,2002-05-10,40.150001525878906,0.0,0.9018080121703917,0.006770322229994769,Long,Closed,20
21,21,0,3.2811835742911044,2002-05-20,40.869998931884766,0.0,2002-05-21,40.31999969482422,0.0,-1.8046484625157007,-0.013457285329935816,Long,Closed,21
22,22,0,3.1574538400044716,2002-05-24,41.900001525878906,0.0,2002-06-04,41.880001068115234,0.0,-0.06315052216774575,-0.00047733787673770353,Long,Closed,22
23,23,0,3.1672855135787263,2002-06-05,41.75,0.0,2002-06-14,43.20000076293945,0.0,4.592566411136232,0.034730557196154574,Long,Closed,23
24,24,0,3.8651618843299174,2002-07-22,35.400001525878906,0.0,2002-07-26,37.04999923706055,0.0,6.377508262490892,0.04661010282656132,Long,Closed,24
25,25,0,3.8599528505487766,2002-07-31,37.09999847412109,0.0,2002-08-13,38.34000015258789,0.0,4.786348013483206,0.03342322720934235,Long,Closed,25
