,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-06 00:00:00,2005-08-03 00:00:00,2000-01-06 00:00:00,2009-01-22 00:00:00,2000-01-06 00:00:00,2012-05-03 00:00:00,2000-01-06 00:00:00,2015-04-14 00:00:00,2000-01-06 00:00:00,2018-07-09 00:00:00,2000-01-06 00:00:00,2021-05-21 00:00:00
End,2005-08-02 00:00:00,2009-01-21 00:00:00,2009-01-21 00:00:00,2012-05-02 00:00:00,2012-05-02 00:00:00,2015-04-13 00:00:00,2015-04-13 00:00:00,2018-07-06 00:00:00,2018-07-06 00:00:00,2021-05-20 00:00:00,2021-05-20 00:00:00,2024-10-10 00:00:00
Period,1400 days 00:00:00,873 days 00:00:00,2273 days 00:00:00,827 days 00:00:00,3100 days 00:00:00,739 days 00:00:00,3839 days 00:00:00,815 days 00:00:00,4654 days 00:00:00,723 days 00:00:00,5377 days 00:00:00,853 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,346.58922945167166,142.09554040022746,736.8078180357704,284.48827739183594,2153.3109882448625,270.85215864831923,5832.289294072661,221.2220029401317,12902.307193610408,259.3344432742451,33978.29020659574,216.00341284803883
Total Return [%],246.58922945167166,42.09554040022746,636.8078180357704,184.48827739183594,2053.3109882448625,170.8521586483192,5732.289294072661,121.22200294013167,12802.30719361041,159.33444327424507,33878.29020659574,116.00341284803883
Benchmark Return [%],46.471155370539805,-36.76455742324194,-7.223965497311003,25.694130604997945,16.897174151858785,115.58656891042713,153.065278145336,19.295633875156227,201.16120323787158,53.60861364008531,365.2794833246924,-22.478908892566686
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],41.479916580967576,38.14267026767617,41.479916580967576,31.612490145205086,41.479916580967576,26.336259308722664,41.479916580967576,22.172379002077307,41.479916580967576,17.102365532956746,41.479916580967576,13.686042733574894
Max Drawdown Duration,51 days 00:00:00,96 days 00:00:00,122 days 00:00:00,85 days 00:00:00,122 days 00:00:00,42 days 00:00:00,122 days 00:00:00,61 days 00:00:00,122 days 00:00:00,46 days 00:00:00,122 days 00:00:00,104 days 00:00:00
Total Trades,117,65,182,56,239,64,303,72,375,79,454,82
Total Closed Trades,116,65,182,56,239,64,303,72,375,78,453,81
Total Open Trades,1,0,0,0,0,0,0,0,0,1,1,1
