,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2006-06-19 00:00:00,2000-01-10 00:00:00,2009-07-17 00:00:00,2000-01-10 00:00:00,2012-08-08 00:00:00,2000-01-10 00:00:00,2015-09-15 00:00:00,2000-01-10 00:00:00,2018-08-29 00:00:00,2000-01-10 00:00:00,2021-07-15 00:00:00
End,2006-06-16 00:00:00,2009-07-16 00:00:00,2009-07-16 00:00:00,2012-08-07 00:00:00,2012-08-07 00:00:00,2015-09-14 00:00:00,2015-09-14 00:00:00,2018-08-28 00:00:00,2018-08-28 00:00:00,2021-07-12 00:00:00,2021-07-12 00:00:00,2024-10-10 00:00:00
Period,1618 days 00:00:00,775 days 00:00:00,2393 days 00:00:00,772 days 00:00:00,3165 days 00:00:00,779 days 00:00:00,3944 days 00:00:00,745 days 00:00:00,4689 days 00:00:00,721 days 00:00:00,5410 days 00:00:00,816 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,1254.1901845599245,264.117805388062,4232.724536578444,351.24403649970355,18279.173626755142,225.58694792081516,48731.66006418349,214.4849936551272,104522.09799670226,354.7359999310047,411094.1655888459,453.2848800012925
Total Return [%],1154.1901845599245,164.11780538806198,4132.724536578444,251.24403649970355,18179.173626755142,125.58694792081518,48631.66006418349,114.48499365512718,104422.09799670227,254.7359999310047,410994.16558884585,353.2848800012925
Benchmark Return [%],-50.963278157135996,52.19954291144238,-24.840376979636513,48.38570381489333,12.041479678614198,25.089638407555448,38.63953349404958,34.219493962434775,88.21160344649603,86.59293280337292,252.99451711573678,113.3788440756537
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],34.76577338098084,28.864679783359303,34.76577338098084,22.27120654297631,34.76577338098084,19.252017391498295,34.76577338098084,16.491166000306496,34.76577338098084,12.311376343017502,34.76577338098084,11.145483294569908
Max Drawdown Duration,91 days 00:00:00,100 days 00:00:00,100 days 00:00:00,39 days 00:00:00,100 days 00:00:00,65 days 00:00:00,100 days 00:00:00,47 days 00:00:00,102 days 00:00:00,31 days 00:00:00,102 days 00:00:00,95 days 00:00:00
Total Trades,118,66,183,63,245,65,311,66,377,67,444,71
Total Closed Trades,117,65,182,62,244,65,311,65,376,66,443,71
Total Open Trades,1,1,1,1,1,0,0,1,1,1,1,0
Open Trade PnL,-325.474104467173,-45.465162887288955,-728.6199816396838,-62.49252713796676,-3252.1883227206526,0.0,0.0,-20.93870911576522,-10203.780548122915,13.94706705001073,16162.88702711591,0.0
Win Rate [%],65.8119658119658,66.15384615384615,66.48351648351648,77.41935483870968,69.26229508196722,67.6923076923077,68.81028938906752,73.84615384615385,69.68085106382979,74.24242424242425,70.42889390519187,69.01408450704226
Best Trade [%],22.544434050514507,20.462049237797036,22.544434050514507,19.239267389181464,22.544434050514507,11.923872120643788,22.544434050514507,11.604024405727074,22.544434050514507,17.1213777686979,22.544434050514507,19.32290401662288
Worst Trade [%],-8.721422523285352,-7.479384795802475,-8.721422523285352,-2.9940066657099718,-8.721422523285352,-3.8824443806547397,-8.721422523285352,-3.1216939920434292,-8.721422523285352,-2.249998204848346,-8.721422523285352,-3.3166513022221373
Avg Winning Trade [%],4.971533815722378,3.5168658699881403,4.4152120650572515,3.3572584253802793,4.144325252359924,2.322615050331555,3.7544824885877555,2.24692562240447,3.478288864248831,2.9042351119529846,3.3802294716906696,3.7910481924909485
Avg Losing Trade [%],-2.4449733709393904,-1.624503454100744,-2.1737129234868067,-0.9743870598967905,-1.933847750768804,-0.865321188809128,-1.6747909815292776,-1.1475250436613074,-1.592556844430603,-0.9618449794493885,-1.5118257257130077,-1.1768307857358635
Avg Winning Trade Duration,4 days 16:31:10.129870129,4 days 15:37:40.465116279,4 days 16:51:34.214876033,4 days 20:00:00,4 days 18:44:44.023668639,4 days 23:27:16.363636363,4 days 19:37:34.205607476,5 days 10:00:00,4 days 22:15:34.351145038,5 days 10:46:31.836734693,5 days 00:27:41.538461538,5 days 09:18:22.040816326
Avg Losing Trade Duration,2 days 05:11:21.081081081,2 days 13:12:00,2 days 07:42:51.428571428,2 days 08:34:17.142857142,2 days 07:53:08.571428571,2 days 06:51:25.714285714,2 days 07:18:15.652173913,3 days 02:49:24.705882352,2 days 10:20:55.045871559,2 days 07:30:00,2 days 09:59:02.400000,1 days 22:54:32.727272727
Profit Factor,6.538498432937783,4.641716686121329,5.155672287324297,9.619906895518316,7.994704413920264,5.367115756091771,6.177227039623382,5.736041670275603,5.913692942650793,7.800014528062624,7.134384801615915,7.001529040019596
Expectancy,12.461561379033798,3.135813978553694,26.136798077349816,5.0602671554462955,86.93651236766505,1.932106891089464,154.73038678668163,2.083441581090652,302.0100899128472,3.6147849096215934,884.2930570728844,4.975843380299894
Sharpe Ratio,1.1448983722358486,1.0993586836292633,1.1516123191194851,1.1440570050301535,1.1639972443187958,0.9383531022068827,1.133785548586848,0.8690484932584377,1.0943928516404067,1.3036469662441337,1.0901219510285265,2.136016046208726
Calmar Ratio,2.2125177527866597,2.009325940131656,2.2163716314758584,3.6423032744891293,2.3681266772267677,2.4102067028823257,2.223879461111326,2.748885865681579,2.0652189599383504,7.297210901304824,2.1664135597863297,8.667753184203027
Omega Ratio,1.3275407290114252,1.2968907977719253,1.3242793828773025,1.3159445973279829,1.3271434391497454,1.2517029307407954,1.3167532174026169,1.2181448880121593,1.3052089441539738,1.314884573188508,1.3073874783429318,1.639590723305495
Sortino Ratio,1.818667928432448,1.741699920984851,1.8306363788184752,1.7984369086184198,1.8474012038371743,1.4501329833706729,1.7936616172697433,1.3049053766229897,1.7247405923796808,2.0178675952651255,1.717444059089248,4.033044067536421
