,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2006-05-17 00:00:00,2000-01-07 00:00:00,2009-09-08 00:00:00,2000-01-07 00:00:00,2012-10-09 00:00:00,2000-01-07 00:00:00,2015-10-01 00:00:00,2000-01-07 00:00:00,2018-10-19 00:00:00,2000-01-07 00:00:00,2021-09-07 00:00:00
End,2006-05-16 00:00:00,2009-09-04 00:00:00,2009-09-04 00:00:00,2012-10-08 00:00:00,2012-10-08 00:00:00,2015-09-30 00:00:00,2015-09-30 00:00:00,2018-10-18 00:00:00,2018-10-18 00:00:00,2021-09-03 00:00:00,2021-09-03 00:00:00,2024-10-10 00:00:00
Period,1597 days 00:00:00,833 days 00:00:00,2430 days 00:00:00,779 days 00:00:00,3209 days 00:00:00,748 days 00:00:00,3957 days 00:00:00,769 days 00:00:00,4726 days 00:00:00,724 days 00:00:00,5450 days 00:00:00,779 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,272.7745441013016,109.27345072149161,503.9300305550852,157.80935915497375,1242.7551721483453,174.95244229678204,2174.230525443108,165.24474263634582,3619.881395811809,213.31167499914022,9367.609923171185,201.23455369107893
Total Return [%],172.77454410130161,9.273450721491614,403.9300305550852,57.80935915497375,1142.7551721483453,74.95244229678204,2074.230525443108,65.24474263634582,3519.881395811809,113.31167499914024,9267.609923171185,101.23455369107891
Benchmark Return [%],74.03292356877857,5.090637680336929,82.86164167157722,33.81869226534335,147.850221939502,44.46907667418025,257.6646002389597,25.622117131722288,347.16183626475436,55.52575971115428,610.6585887417702,21.81443130154108
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],49.53184135478128,43.08146293592869,49.53184135478128,36.796639993566735,49.53184135478128,29.54408776440714,49.53184135478128,24.643045813829218,49.53184135478128,16.50613929948193,49.53184135478128,11.795459052713905
Max Drawdown Duration,97 days 00:00:00,134 days 00:00:00,134 days 00:00:00,197 days 00:00:00,197 days 00:00:00,90 days 00:00:00,197 days 00:00:00,42 days 00:00:00,197 days 00:00:00,71 days 00:00:00,197 days 00:00:00,69 days 00:00:00
Total Trades,99,57,158,42,200,52,252,56,309,57,366,62
Total Closed Trades,98,56,157,42,200,52,252,55,308,57,366,62
Total Open Trades,1,1,1,0,0,0,0,1,1,0,0,0
Open Trade PnL,-179.90563235640388,-57.0489839742489,-263.08948832001727,0.0,0.0,0.0,0.0,-28.14792652815126,-616.6135995876521,0.0,0.0,0.0
Win Rate [%],76.53061224489795,64.28571428571429,71.97452229299363,71.42857142857143,72.0,75.0,72.61904761904762,74.54545454545455,73.05194805194806,77.19298245614034,73.77049180327869,75.80645161290323
Best Trade [%],11.38996138996139,10.532994227607674,11.38996138996139,7.877836960850644,11.38996138996139,6.210038207955422,11.38996138996139,5.979997966186115,11.38996138996139,11.802900396116625,11.802900396116629,5.984467841917361
Worst Trade [%],-3.8251366120218573,-2.830582661531285,-3.8251366120218573,-1.6180814431725477,-3.8251366120218573,-1.3142676816090326,-3.8251366120218573,-2.6892117709410686,-3.8251366120218573,-1.6825838863304705,-3.8251366120218573,-3.427704647070019
Avg Winning Trade [%],2.5029807959512973,2.1979846528851947,2.3824519425247392,1.819047390681124,2.267077526678626,1.6624521705994946,2.1382229425961885,1.8816596831466585,2.0853180806876424,1.9523228595980668,2.069473643098163,1.8833783872924332
Avg Losing Trade [%],-1.4670200589923865,-1.3113820710324777,-1.3720046382883981,-0.6670564207353704,-1.2181977544586469,-0.6130029773027176,-1.102498752943543,-0.7073046482578094,-1.0350265887289054,-0.6380388748355279,-0.9807019541961273,-1.1369911090457012
Avg Winning Trade Duration,5 days 08:57:36,4 days 19:20:00,5 days 04:14:52.035398230,6 days 04:48:00,5 days 09:20:00,5 days 19:41:32.307692307,5 days 11:32:27.540983606,6 days 18:08:46.829268292,5 days 16:44:48,5 days 23:27:16.363636363,5 days 17:52:00,5 days 01:01:16.595744680
Avg Losing Trade Duration,2 days 00:00:00,1 days 10:48:00,1 days 17:18:08.372093023,1 days 12:00:00,1 days 16:08:43.636363636,1 days 18:27:41.538461538,1 days 16:35:17.647058823,2 days 03:25:42.857142857,1 days 18:26:20.487804878,2 days 01:50:46.153846153,1 days 19:27:09.473684210,2 days 12:48:00
Profit Factor,7.377211387784876,2.8978690922622965,4.049606844145491,7.2325514259385,4.916667545345544,7.371784343214639,5.736175612927961,6.732877707122973,6.204303140213845,9.345484163167399,7.662148351623792,4.986811418233896
Expectancy,3.5731264773945486,1.1843291909953664,4.216133342204072,1.3764133132136607,5.687251568692705,1.4413931210919622,8.205515931212014,1.6980485302635833,13.3987079328731,1.9879241227919335,25.28133041153939,1.6328153821141762
Sharpe Ratio,1.8763742848104792,1.6408799960849463,1.8314325777472,1.301956658497433,1.7316836182185946,1.1872517514631178,1.640869367179586,0.9363188770495966,1.5470330349269363,0.8813898002814802,1.4729163395933957,0.9935234305606175
Calmar Ratio,0.5204318766171787,0.09197389146488011,0.5551383890053062,0.6476841129893022,0.6701151383075825,1.062222466575108,0.663170498605364,1.0924278731727561,0.6448691232188754,2.8178082296986906,0.7173757458742854,3.2869682978750023
Omega Ratio,1.781651034038706,1.6104238483068614,1.7342744916213562,1.5160487718075857,1.7032194714701407,1.3878832819838214,1.657231752442565,1.2791797006372982,1.6164527869891687,1.2346520194573953,1.59276117223716,1.2742086173829368
Sortino Ratio,3.81559426839582,3.0960511886493816,3.64943984355504,2.3335587609792534,3.407932155704903,1.9985694018637012,3.186356346864574,1.4824027734463288,2.9755413181944292,1.3435778073049627,2.8218392201539855,1.4737528455382363
